survey version standard standard_catagory shift Foundation-g Foundation-r Foundation-i Foundation-z 
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd072324_v2.fits stis_ngsl_v2 0 6.726 6.035 5.798 5.687
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd111721_v2.fits stis_ngsl_v2 0 8.27 7.721 7.491 7.391
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd160762_v2.fits stis_ngsl_v2 0 3.552 3.922 4.247 4.466
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd124186_v2.fits stis_ngsl_v2 0 6.634 5.727 5.419 5.254
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd146233_v2.fits stis_ngsl_v2 0 5.739 5.362 5.286 5.285
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd041357_v2.fits stis_ngsl_v2 0 5.347 5.333 5.436 5.528
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd025329_v2.fits stis_ngsl_v2 0 8.815 8.193 7.952 7.855
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd072968_v2.fits stis_ngsl_v2 0 5.591 5.822 6.039 6.18
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_g115-58_v2.fits stis_ngsl_v2 0 12.303 12.029 11.975 12.004
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd004813_v2.fits stis_ngsl_v2 0 5.319 5.041 4.99 5.009
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd142926_v2.fits stis_ngsl_v2 0 5.554 5.848 6.138 6.31
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd164257_v2.fits stis_ngsl_v2 0 6.702 6.817 6.975 7.047
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd196725_v2.fits stis_ngsl_v2 0 6.334 5.191 4.75 4.52
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd030614_v2.fits stis_ngsl_v2 0 4.184 4.316 4.501 4.641
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd022484_v2.fits stis_ngsl_v2 0 4.445 4.138 4.057 4.047
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd079469_v2.fits stis_ngsl_v2 0 3.733 4.002 4.265 4.434
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_g18-39_v2.fits stis_ngsl_v2 0 10.53 10.25 10.15 10.142
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_g12-21_v2.fits stis_ngsl_v2 0 10.352 10.066 9.999 10.013
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd025893_v2.fits stis_ngsl_v2 0 7.511 6.951 6.785 6.743
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd132345_v2.fits stis_ngsl_v2 0 6.362 5.468 5.167 4.996
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd091316_v2.fits stis_ngsl_v2 0 3.643 3.973 4.265 4.483
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd117880_v2.fits stis_ngsl_v2 0 8.99 9.145 9.34 9.433
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_cd-621346_v2.fits stis_ngsl_v2 0 10.07 9.618 9.459 9.392
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_gl109_v2.fits stis_ngsl_v2 0 11.253 9.992 8.787 8.256
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd016031_v2.fits stis_ngsl_v2 0 9.894 9.651 9.569 9.563
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_bd371458_v2.fits stis_ngsl_v2 0 9.193 8.815 8.694 8.645
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd081797_v2.fits stis_ngsl_v2 0 2.714 1.653 1.264 1.052
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd067390_v2.fits stis_ngsl_v2 0 9.593 9.476 9.501 9.543
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd061603_v2.fits stis_ngsl_v2 0 6.562 5.385 4.831 4.554
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd062412_v2.fits stis_ngsl_v2 0 5.986 5.324 5.101 5.002
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd031219_v2.fits stis_ngsl_v2 0 8.339 8.018 7.98 8.003
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd002857_v2.fits stis_ngsl_v2 0 10.271 10.393 10.522 10.574
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd114710_v2.fits stis_ngsl_v2 0 4.412 4.074 3.987 3.989
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd198809_v2.fits stis_ngsl_v2 0 4.847 4.298 4.12 4.06
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_g88-27_v2.fits stis_ngsl_v2 0 10.831 10.565 10.491 10.489
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd210807_v2.fits stis_ngsl_v2 0 5.156 4.533 4.345 4.27
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd201091_v2.fits stis_ngsl_v2 0 5.731 4.76 4.38 4.203
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd165341_v2.fits stis_ngsl_v2 0 4.526 3.962 3.799 3.752
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd131873_v2.fits stis_ngsl_v2 0 2.705 1.592 1.121 0.89
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_cd-3018140_v2.fits stis_ngsl_v2 0 10.15 9.967 9.937 9.946
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd184266_v2.fits stis_ngsl_v2 0 7.811 7.419 7.272 7.223
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd057060_v2.fits stis_ngsl_v2 0 5.087 5.401 5.682 5.871
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd045282_v2.fits stis_ngsl_v2 0 8.274 7.818 7.659 7.595
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd176437_v2.fits stis_ngsl_v2 0 3.101 3.349 3.57 3.658
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd185144_v2.fits stis_ngsl_v2 0 4.953 4.406 4.227 4.177
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd057727_v2.fits stis_ngsl_v2 0 5.345 4.73 4.53 4.454
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_g188-30_v2.fits stis_ngsl_v2 0 11.466 11.075 10.939 10.885
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_bd+112998_v2.fits stis_ngsl_v2 0 9.309 8.878 8.694 8.613
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd204155_v2.fits stis_ngsl_v2 0 8.666 8.33 8.223 8.2
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_g029-023_v2.fits stis_ngsl_v2 0 10.384 10.105 10.034 10.037
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd122956_v2.fits stis_ngsl_v2 0 7.638 6.908 6.596 6.445
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd128279_v2.fits stis_ngsl_v2 0 8.274 7.817 7.621 7.543
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd205811_v2.fits stis_ngsl_v2 0 6.058 6.281 6.495 6.639
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd217107_v2.fits stis_ngsl_v2 0 6.414 5.95 5.827 5.793
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_g194-22_v2.fits stis_ngsl_v2 0 9.923 9.713 9.674 9.68
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd039587_v2.fits stis_ngsl_v2 0 4.555 4.205 4.126 4.131
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_g24-3_v2.fits stis_ngsl_v2 0 10.617 10.317 10.208 10.19
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd163810_v2.fits stis_ngsl_v2 0 10.149 9.798 9.702 9.68
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd108945_v2.fits stis_ngsl_v2 0 5.389 5.572 5.815 5.963
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd085380_v2.fits stis_ngsl_v2 0 6.599 6.266 6.185 6.19
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd002665_v2.fits stis_ngsl_v2 0 8.047 7.483 7.242 7.137
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_lhs482_v2.fits stis_ngsl_v2 0 12.718 11.367 10.549 10.158
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd065354_v2.fits stis_ngsl_v2 0 7.499 6.285 5.779 5.501
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd167006_v2.fits stis_ngsl_v2 0 5.583 4.302 3.36 2.932
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd204867_v2.fits stis_ngsl_v2 0 3.166 2.644 2.497 2.458
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd222404_v2.fits stis_ngsl_v2 0 3.594 2.879 2.642 2.526
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd174240_v2.fits stis_ngsl_v2 0 6.119 6.314 6.512 6.626
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd134113_v2.fits stis_ngsl_v2 0 8.446 8.091 7.977 7.961
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd105546_v2.fits stis_ngsl_v2 0 8.869 8.41 8.234 8.175
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd148293_v2.fits stis_ngsl_v2 0 5.679 4.906 4.648 4.519
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd212593_v2.fits stis_ngsl_v2 0 4.481 4.582 4.75 4.812
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd005544_v2.fits stis_ngsl_v2 0 8.065 7.27 6.977 6.828
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd232078_v2.fits stis_ngsl_v2 0 9.312 7.743 6.991 6.601
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd196218_v2.fits stis_ngsl_v2 0 7.565 7.296 7.221 7.233
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd076932_v2.fits stis_ngsl_v2 0 5.945 5.644 5.553 5.532
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd190404_v2.fits stis_ngsl_v2 0 7.616 7.021 6.829 6.759
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd000886_v2.fits stis_ngsl_v2 0 2.598 3.013 3.358 3.6
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd167946_v2.fits stis_ngsl_v2 0 7.249 7.428 7.646 7.79
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd210745_v2.fits stis_ngsl_v2 0 3.989 2.839 2.43 2.206
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd004727_v2.fits stis_ngsl_v2 0 4.335 4.667 4.97 5.184
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_g169-28_v2.fits stis_ngsl_v2 0 11.509 11.197 11.098 11.074
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd029391_v2.fits stis_ngsl_v2 0 5.196 5.163 5.237 5.316
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd009051_v2.fits stis_ngsl_v2 0 9.262 8.686 8.461 8.368
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd041667_v2.fits stis_ngsl_v2 0 8.858 8.173 7.875 7.728
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd065228_v2.fits stis_ngsl_v2 0 4.395 3.965 3.841 3.806
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd173819_v2.fits stis_ngsl_v2 0 6.536 5.439 4.722 4.343
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd005395_v2.fits stis_ngsl_v2 0 4.966 4.319 4.079 3.968
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd103036_v2.fits stis_ngsl_v2 0 8.647 7.725 7.355 7.176
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_gj825_v2.fits stis_ngsl_v2 0 7.314 6.073 5.426 5.143
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd043042_v2.fits stis_ngsl_v2 0 5.338 5.114 5.115 5.164
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd143459_v2.fits stis_ngsl_v2 0 5.453 5.641 5.813 5.899
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd164402_v2.fits stis_ngsl_v2 0 5.576 5.774 5.997 6.158
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd175640_v2.fits stis_ngsl_v2 0 6.055 6.298 6.544 6.702
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd146051_v2.fits stis_ngsl_v2 0 3.394 2.189 1.491 1.164
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd105740_v2.fits stis_ngsl_v2 0 8.791 8.099 7.819 7.687
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd113002_v2.fits stis_ngsl_v2 0 8.998 8.494 8.3 8.22
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd174959_v2.fits stis_ngsl_v2 0 5.921 6.213 6.49 6.677
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd074721_v2.fits stis_ngsl_v2 0 8.579 8.769 8.97 9.069
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hr0753_v2.fits stis_ngsl_v2 0 6.595 5.908 5.695 5.588
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_bd511696_v2.fits stis_ngsl_v2 0 10.112 9.747 9.639 9.621
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd128801_v2.fits stis_ngsl_v2 0 8.634 8.871 9.108 9.247
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd027295_v2.fits stis_ngsl_v2 0 5.32 5.625 5.894 6.06
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hr8086_v2.fits stis_ngsl_v2 0 6.659 5.482 4.945 4.702
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd010780_v2.fits stis_ngsl_v2 0 5.903 5.375 5.21 5.156
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd113092_v2.fits stis_ngsl_v2 0 5.888 4.935 4.545 4.342
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd083212_v2.fits stis_ngsl_v2 0 8.753 7.972 7.645 7.489
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_bd413931_v2.fits stis_ngsl_v2 0 10.515 10.108 9.982 9.949
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd147394_v2.fits stis_ngsl_v2 0 3.667 4.028 4.335 4.532
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd102212_v2.fits stis_ngsl_v2 0 4.641 3.485 2.812 2.499
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd140232_v2.fits stis_ngsl_v2 0 5.791 5.821 5.929 6.03
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_bd+363168_v2.fits stis_ngsl_v2 0 10.139 6.411 5.111 4.329
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd197177_v2.fits stis_ngsl_v2 0 6.041 5.335 5.095 4.988
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd205202_v2.fits stis_ngsl_v2 0 8.2 8.005 7.967 7.981
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd159181_v2.fits stis_ngsl_v2 0 3.127 2.492 2.27 2.183
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd149382_v2.fits stis_ngsl_v2 0 8.684 9.153 9.526 9.799
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd048279_v2.fits stis_ngsl_v2 0 7.905 7.949 8.07 8.172
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd161770_v2.fits stis_ngsl_v2 0 9.945 9.448 9.233 9.143
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd017925_v2.fits stis_ngsl_v2 0 6.375 5.757 5.576 5.523
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_g20-15_v2.fits stis_ngsl_v2 0 10.83 10.395 10.227 10.164
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_g243-62_v2.fits stis_ngsl_v2 0 11.878 11.238 10.976 10.858
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd156283_v2.fits stis_ngsl_v2 0 3.721 2.677 2.276 2.064
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd166208_v2.fits stis_ngsl_v2 0 5.319 4.698 4.487 4.396
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd060319_v2.fits stis_ngsl_v2 0 9.067 8.764 8.679 8.668
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd052973_v2.fits stis_ngsl_v2 0 4.153 3.599 3.436 3.391
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd034797_v2.fits stis_ngsl_v2 0 6.364 6.663 6.932 7.112
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd175545_v2.fits stis_ngsl_v2 0 7.858 6.993 6.679 6.521
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd095735_v2.fits stis_ngsl_v2 0 8.127 6.87 5.903 5.468
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd136726_v2.fits stis_ngsl_v2 0 5.555 4.529 4.14 3.947
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd040573_v2.fits stis_ngsl_v2 0 7.343 7.584 7.811 7.963
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd204041_v2.fits stis_ngsl_v2 0 6.397 6.477 6.604 6.7
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd028946_v2.fits stis_ngsl_v2 0 8.188 7.674 7.511 7.465
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd143107_v2.fits stis_ngsl_v2 0 4.665 3.792 3.481 3.323
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_g202-65_v2.fits stis_ngsl_v2 0 11.6 11.521 11.564 11.616
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd204543_v2.fits stis_ngsl_v2 0 8.69 8.026 7.747 7.622
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd172230_v2.fits stis_ngsl_v2 0 7.177 7.166 7.258 7.324
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd160922_v2.fits stis_ngsl_v2 0 4.866 4.66 4.638 4.667
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd082395_v2.fits stis_ngsl_v2 0 5.364 4.639 4.4 4.288
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_g262-14_v2.fits stis_ngsl_v2 0 11.77 11.205 10.971 10.877
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd026297_v2.fits stis_ngsl_v2 0 7.92 7.082 6.72 6.554
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd110885_v2.fits stis_ngsl_v2 0 9.386 8.988 8.844 8.804
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd201377_v2.fits stis_ngsl_v2 0 6.637 6.709 6.834 6.942
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_g13-35_v2.fits stis_ngsl_v2 0 9.786 9.537 9.465 9.461
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd050420_v2.fits stis_ngsl_v2 0 6.203 6.097 6.115 6.145
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd206778_v2.fits stis_ngsl_v2 0 3.079 1.93 1.526 1.333
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_g188-22_v2.fits stis_ngsl_v2 0 10.231 9.94 9.859 9.86
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd093813_v2.fits stis_ngsl_v2 0 3.584 2.697 2.364 2.201
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd175865_v2.fits stis_ngsl_v2 0 4.572 3.285 1.616 0.873
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd006734_v2.fits stis_ngsl_v2 0 6.755 6.167 5.958 5.882
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd038237_v2.fits stis_ngsl_v2 0 7.117 7.197 7.34 7.445
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd072184_v2.fits stis_ngsl_v2 0 6.303 5.523 5.265 5.135
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd052089_v2.fits stis_ngsl_v2 0 1.308 1.709 2.011 2.24
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd086322_v2.fits stis_ngsl_v2 0 7.282 6.562 6.306 6.192
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd137909_v2.fits stis_ngsl_v2 0 3.799 3.809 3.967 4.09
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd173158_v2.fits stis_ngsl_v2 0 8.595 7.343 6.803 6.494
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd121146_v2.fits stis_ngsl_v2 0 6.846 5.973 5.651 5.494
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_bd+75d325_v2.fits stis_ngsl_v2 0 9.263 9.759 10.165 10.457
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd017361_v2.fits stis_ngsl_v2 0 4.936 4.155 3.888 3.766
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_bd592723_v2.fits stis_ngsl_v2 0 10.614 10.336 10.248 10.237
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd166229_v2.fits stis_ngsl_v2 0 5.926 5.126 4.854 4.711
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd164967_v2.fits stis_ngsl_v2 0 7.144 7.246 7.386 7.486
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd224926_v2.fits stis_ngsl_v2 0 4.935 5.25 5.535 5.731
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_cd-259286_v2.fits stis_ngsl_v2 0 11.112 10.824 10.746 10.723
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd071160_v2.fits stis_ngsl_v2 0 8.581 7.46 6.987 6.737
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd106304_v2.fits stis_ngsl_v2 0 8.938 9.143 9.353 9.456
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_g187-40_v2.fits stis_ngsl_v2 0 10.72 10.411 10.323 10.319
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd019787_v2.fits stis_ngsl_v2 0 4.719 4.013 3.784 3.686
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_g231-52_v2.fits stis_ngsl_v2 0 10.649 10.255 10.12 10.082
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd141851_v2.fits stis_ngsl_v2 0 5.057 5.155 5.303 5.421
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd082734_v2.fits stis_ngsl_v2 0 5.371 4.693 4.485 4.389
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd163641_v2.fits stis_ngsl_v2 0 6.147 6.351 6.561 6.682
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd176232_v2.fits stis_ngsl_v2 0 6.023 6.041 6.179 6.281
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd005256_v2.fits stis_ngsl_v2 0 9.008 8.512 8.35 8.286
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd003712_v2.fits stis_ngsl_v2 0 3.068 2.39 2.149 2.003
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd101013_v2.fits stis_ngsl_v2 0 6.492 5.807 5.595 5.486
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd109387_v2.fits stis_ngsl_v2 0 3.641 3.887 4.092 4.258
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd118055_v2.fits stis_ngsl_v2 0 9.411 8.441 7.997 7.782
