survey version standard standard_catagory shift CFA3S-B CFA3S-V CFA3S-R CFA3S-I 
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_g12-21_v2.fits stis_ngsl_v2 0 10.626 10.1968 9.8765 9.6003
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd025893_v2.fits stis_ngsl_v2 0 7.94 7.2086 6.7303 6.361
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd132345_v2.fits stis_ngsl_v2 0 6.9897 5.8629 5.205 4.6879
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd091316_v2.fits stis_ngsl_v2 0 3.6493 3.8186 3.884 3.9594
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd117880_v2.fits stis_ngsl_v2 0 9.1103 9.0622 9.0306 8.9951
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_cd-621346_v2.fits stis_ngsl_v2 0 10.4467 9.8182 9.4012 9.026
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_gl109_v2.fits stis_ngsl_v2 0 12.0103 10.6073 9.3874 8.0965
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd016031_v2.fits stis_ngsl_v2 0 10.1378 9.7709 9.4581 9.1615
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_bd371458_v2.fits stis_ngsl_v2 0 9.5047 8.9882 8.6099 8.2699
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd081797_v2.fits stis_ngsl_v2 0 3.4142 2.1255 1.3606 0.7647
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd067390_v2.fits stis_ngsl_v2 0 9.8231 9.5236 9.3145 9.1211
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd061603_v2.fits stis_ngsl_v2 0 7.3143 5.9184 5.0395 4.2928
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd062412_v2.fits stis_ngsl_v2 0 6.4956 5.6162 5.0861 4.6519
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd031219_v2.fits stis_ngsl_v2 0 8.6692 8.155 7.8366 7.5875
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd002857_v2.fits stis_ngsl_v2 0 10.4125 10.3284 10.2624 10.1547
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd114710_v2.fits stis_ngsl_v2 0 4.7333 4.2288 3.8784 3.5829
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd198809_v2.fits stis_ngsl_v2 0 5.2906 4.542 4.0742 3.6885
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_g88-27_v2.fits stis_ngsl_v2 0 11.0902 10.692 10.374 10.0855
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd210807_v2.fits stis_ngsl_v2 0 5.6437 4.8039 4.3051 3.9084
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd201091_v2.fits stis_ngsl_v2 0 6.2737 5.231 4.4713 3.8896
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd165341_v2.fits stis_ngsl_v2 0 4.9584 4.2196 3.7424 3.3725
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd131873_v2.fits stis_ngsl_v2 0 3.4197 2.0946 1.273 0.6079
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_cd-3018140_v2.fits stis_ngsl_v2 0 10.3894 10.0462 9.7902 9.5373
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd184266_v2.fits stis_ngsl_v2 0 8.1229 7.6031 7.2066 6.8472
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd057060_v2.fits stis_ngsl_v2 0 5.087 5.2662 5.3088 5.3644
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd045282_v2.fits stis_ngsl_v2 0 8.6255 8.0282 7.6007 7.2271
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd176437_v2.fits stis_ngsl_v2 0 3.169 3.2339 3.2413 3.2242
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd185144_v2.fits stis_ngsl_v2 0 5.3689 4.661 4.1817 3.799
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd057727_v2.fits stis_ngsl_v2 0 5.8211 5.0039 4.4989 4.0927
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_g188-30_v2.fits stis_ngsl_v2 0 11.8073 11.2511 10.8657 10.5125
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_bd+112998_v2.fits stis_ngsl_v2 0 9.6465 9.0815 8.6548 8.2544
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd204155_v2.fits stis_ngsl_v2 0 8.9803 8.4826 8.13 7.8085
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_g029-023_v2.fits stis_ngsl_v2 0 10.647 10.235 9.9151 9.6295
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd122956_v2.fits stis_ngsl_v2 0 8.1382 7.2391 6.6424 6.1238
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd128279_v2.fits stis_ngsl_v2 0 8.6094 8.0339 7.5899 7.181
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd205811_v2.fits stis_ngsl_v2 0 6.17 6.164 6.1722 6.1655
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd217107_v2.fits stis_ngsl_v2 0 6.8147 6.1577 5.7429 5.4086
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_g194-22_v2.fits stis_ngsl_v2 0 10.1759 9.8037 9.5332 9.2741
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd039587_v2.fits stis_ngsl_v2 0 4.8869 4.3616 4.0115 3.7247
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_g24-3_v2.fits stis_ngsl_v2 0 10.8879 10.4599 10.1169 9.7944
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd163810_v2.fits stis_ngsl_v2 0 10.4564 9.9574 9.5999 9.2892
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd108945_v2.fits stis_ngsl_v2 0 5.5157 5.4749 5.4686 5.4911
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd085380_v2.fits stis_ngsl_v2 0 6.9195 6.4173 6.0725 5.782
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd002665_v2.fits stis_ngsl_v2 0 8.4483 7.7426 7.2415 6.7904
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_lhs482_v2.fits stis_ngsl_v2 0 13.4212 11.9942 10.9247 9.935
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd065354_v2.fits stis_ngsl_v2 0 8.2675 6.8275 5.9529 5.2473
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd167006_v2.fits stis_ngsl_v2 0 6.3931 4.9035 3.811 2.7319
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd204867_v2.fits stis_ngsl_v2 0 3.6053 2.8694 2.4296 2.0776
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd222404_v2.fits stis_ngsl_v2 0 4.1235 3.1985 2.6366 2.1859
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd174240_v2.fits stis_ngsl_v2 0 6.227 6.2157 6.2012 6.1728
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd134113_v2.fits stis_ngsl_v2 0 8.7617 8.2549 7.8883 7.5676
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd105546_v2.fits stis_ngsl_v2 0 9.2301 8.6208 8.1882 7.8032
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd148293_v2.fits stis_ngsl_v2 0 6.2483 5.2469 4.6563 4.1862
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd212593_v2.fits stis_ngsl_v2 0 4.591 4.5282 4.4603 4.389
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd005544_v2.fits stis_ngsl_v2 0 8.6396 7.6235 7.01 6.5067
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd232078_v2.fits stis_ngsl_v2 0 10.2278 8.4526 7.3181 6.405
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd196218_v2.fits stis_ngsl_v2 0 7.8547 7.4188 7.1053 6.8205
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd076932_v2.fits stis_ngsl_v2 0 6.2402 5.7792 5.4488 5.1406
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd190404_v2.fits stis_ngsl_v2 0 8.0439 7.301 6.7927 6.3936
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd000886_v2.fits stis_ngsl_v2 0 2.5822 2.8208 2.9367 3.0645
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd167946_v2.fits stis_ngsl_v2 0 7.3542 7.3363 7.3191 7.3176
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd210745_v2.fits stis_ngsl_v2 0 4.7499 3.3386 2.5395 1.9251
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd004727_v2.fits stis_ngsl_v2 0 4.3646 4.5105 4.58 4.6663
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_g169-28_v2.fits stis_ngsl_v2 0 11.8 11.341 10.9987 10.6837
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd029391_v2.fits stis_ngsl_v2 0 5.399 5.1687 5.0159 4.8726
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd009051_v2.fits stis_ngsl_v2 0 9.6846 8.9485 8.4483 8.0152
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd041667_v2.fits stis_ngsl_v2 0 9.3563 8.483 7.9124 7.4048
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd065228_v2.fits stis_ngsl_v2 0 4.7794 4.1537 3.7591 3.4242
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd173819_v2.fits stis_ngsl_v2 0 7.2913 5.9302 5.0362 4.1257
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd005395_v2.fits stis_ngsl_v2 0 5.4636 4.606 4.0768 3.6256
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd103036_v2.fits stis_ngsl_v2 0 9.2518 8.139 7.4385 6.8697
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_gj825_v2.fits stis_ngsl_v2 0 7.9578 6.6667 5.6941 4.8723
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd043042_v2.fits stis_ngsl_v2 0 5.607 5.2122 4.944 4.7338
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd143459_v2.fits stis_ngsl_v2 0 5.5543 5.5502 5.5219 5.4636
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd164402_v2.fits stis_ngsl_v2 0 5.6294 5.6797 5.667 5.6698
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd175640_v2.fits stis_ngsl_v2 0 6.1258 6.1812 6.1967 6.2208
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd146051_v2.fits stis_ngsl_v2 0 4.1596 2.7448 1.7929 0.92
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd105740_v2.fits stis_ngsl_v2 0 9.2864 8.4158 7.8437 7.3545
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd113002_v2.fits stis_ngsl_v2 0 9.3946 8.7236 8.2669 7.8598
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd174959_v2.fits stis_ngsl_v2 0 5.9647 6.0754 6.1196 6.1768
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd074721_v2.fits stis_ngsl_v2 0 8.6887 8.6724 8.6563 8.6266
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hr0753_v2.fits stis_ngsl_v2 0 7.049 6.2415 5.6723 5.2459
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_bd511696_v2.fits stis_ngsl_v2 0 10.4254 9.9146 9.5457 9.2275
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd128801_v2.fits stis_ngsl_v2 0 8.7127 8.7576 8.7669 8.7802
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd027295_v2.fits stis_ngsl_v2 0 5.3784 5.4775 5.5298 5.5744
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hr8086_v2.fits stis_ngsl_v2 0 7.2692 6.0468 5.1406 4.4163
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd010780_v2.fits stis_ngsl_v2 0 6.3188 5.6193 5.1554 4.781
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd113092_v2.fits stis_ngsl_v2 0 6.5333 5.3611 4.6434 4.0479
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd083212_v2.fits stis_ngsl_v2 0 9.2897 8.3243 7.701 7.1707
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_bd413931_v2.fits stis_ngsl_v2 0 10.848 10.2933 9.9003 9.5631
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd147394_v2.fits stis_ngsl_v2 0 3.6925 3.8557 3.9429 4.0265
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd102212_v2.fits stis_ngsl_v2 0 5.3811 4.0172 3.099 2.2492
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd140232_v2.fits stis_ngsl_v2 0 5.9632 5.8035 5.6829 5.575
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_bd+363168_v2.fits stis_ngsl_v2 0 12.5569 7.9831 5.7286 4.3076
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd197177_v2.fits stis_ngsl_v2 0 6.5721 5.6453 5.0914 4.6425
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd205202_v2.fits stis_ngsl_v2 0 8.4434 8.0958 7.8252 7.5693
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd159181_v2.fits stis_ngsl_v2 0 3.6176 2.7701 2.2552 1.8272
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd149382_v2.fits stis_ngsl_v2 0 8.6399 8.9362 9.0837 9.2423
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd048279_v2.fits stis_ngsl_v2 0 8.0092 7.9217 7.8157 7.7126
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd161770_v2.fits stis_ngsl_v2 0 10.2872 9.6869 9.214 8.7888
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd017925_v2.fits stis_ngsl_v2 0 6.8284 6.0427 5.5319 5.1478
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_g20-15_v2.fits stis_ngsl_v2 0 11.1479 10.6001 10.1751 9.7954
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_g243-62_v2.fits stis_ngsl_v2 0 12.3194 11.5442 10.9896 10.5197
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd156283_v2.fits stis_ngsl_v2 0 4.4224 3.139 2.3812 1.7754
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd166208_v2.fits stis_ngsl_v2 0 5.7982 4.9749 4.4646 4.043
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd060319_v2.fits stis_ngsl_v2 0 9.3594 8.9011 8.5707 8.2706
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd052973_v2.fits stis_ngsl_v2 0 4.606 3.8402 3.3803 3.0139
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd034797_v2.fits stis_ngsl_v2 0 6.409 6.5258 6.5679 6.6168
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd175545_v2.fits stis_ngsl_v2 0 8.4489 7.3833 6.7254 6.2045
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd095735_v2.fits stis_ngsl_v2 0 8.8331 7.474 6.3703 5.264
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd136726_v2.fits stis_ngsl_v2 0 6.2274 4.9908 4.237 3.6474
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd040573_v2.fits stis_ngsl_v2 0 7.4289 7.4666 7.4782 7.4852
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd204041_v2.fits stis_ngsl_v2 0 6.5541 6.4308 6.3448 6.2487
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd028946_v2.fits stis_ngsl_v2 0 8.6014 7.9093 7.455 7.086
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd143107_v2.fits stis_ngsl_v2 0 5.2806 4.1776 3.5257 3.0069
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_g202-65_v2.fits stis_ngsl_v2 0 11.8047 11.5501 11.3646 11.1887
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd204543_v2.fits stis_ngsl_v2 0 9.1599 8.3252 7.7713 7.2863
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd172230_v2.fits stis_ngsl_v2 0 7.3793 7.1615 7.0236 6.8937
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd160922_v2.fits stis_ngsl_v2 0 5.13 4.7511 4.485 4.2478
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd082395_v2.fits stis_ngsl_v2 0 5.9038 4.9591 4.3949 3.9464
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_g262-14_v2.fits stis_ngsl_v2 0 12.1751 11.4762 10.9651 10.522
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd026297_v2.fits stis_ngsl_v2 0 8.479 7.4625 6.7997 6.2396
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd110885_v2.fits stis_ngsl_v2 0 9.713 9.1734 8.7766 8.4222
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd201377_v2.fits stis_ngsl_v2 0 6.7988 6.6684 6.5762 6.4842
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_g13-35_v2.fits stis_ngsl_v2 0 10.0354 9.6559 9.3469 9.0581
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd050420_v2.fits stis_ngsl_v2 0 6.4165 6.1473 5.9337 5.7313
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd206778_v2.fits stis_ngsl_v2 0 3.8338 2.4322 1.6316 1.034
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_g188-22_v2.fits stis_ngsl_v2 0 10.5046 10.075 9.747 9.4556
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd093813_v2.fits stis_ngsl_v2 0 4.204 3.0928 2.4237 1.8856
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd175865_v2.fits stis_ngsl_v2 0 5.3641 3.9509 2.4392 0.8362
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd006734_v2.fits stis_ngsl_v2 0 7.2055 6.4341 5.9342 5.5193
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd038237_v2.fits stis_ngsl_v2 0 7.2852 7.1447 7.069 6.9921
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd072184_v2.fits stis_ngsl_v2 0 6.8679 5.8704 5.2731 4.8032
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd052089_v2.fits stis_ngsl_v2 0 1.2904 1.5275 1.6236 1.7086
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd086322_v2.fits stis_ngsl_v2 0 7.8129 6.8854 6.3138 5.8508
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd137909_v2.fits stis_ngsl_v2 0 4.0006 3.788 3.6826 3.6264
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd173158_v2.fits stis_ngsl_v2 0 9.3371 7.8981 6.9983 6.2597
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd121146_v2.fits stis_ngsl_v2 0 7.4371 6.3695 5.7028 5.1757
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_bd+75d325_v2.fits stis_ngsl_v2 0 9.1893 9.531 9.6968 9.8887
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd017361_v2.fits stis_ngsl_v2 0 5.4992 4.5025 3.9025 3.4283
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_bd592723_v2.fits stis_ngsl_v2 0 10.872 10.4685 10.1414 9.8382
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd166229_v2.fits stis_ngsl_v2 0 6.5042 5.4818 4.8727 4.3867
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd164967_v2.fits stis_ngsl_v2 0 7.2887 7.192 7.1177 7.0359
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd224926_v2.fits stis_ngsl_v2 0 4.9687 5.1045 5.1584 5.2249
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_cd-259286_v2.fits stis_ngsl_v2 0 11.3796 10.9587 10.632 10.3346
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd071160_v2.fits stis_ngsl_v2 0 9.2941 7.9674 7.1401 6.4662
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_hd106304_v2.fits stis_ngsl_v2 0 9.0382 9.0389 9.0326 9.0122
CFA3S CFA3S spectra/stis_ngsl_v2/h_stis_ngsl_g187-40_v2.fits stis_ngsl_v2 0 11.0144 10.5483 10.2161 9.9175
