survey version standard shift  PS1-g PS1-r PS1-i PS1-z 
PS1 PS1 gd153 0 13.1094 13.583 13.9701 14.2604
PS1 PS1 gd153 0 13.1085 13.5826 13.9701 14.2608
PS1 PS1 gd153 0 13.1103 13.5837 13.9708 14.2613
PS1 PS1 gd153 0 13.11 13.5834 13.9705 14.2609
PS1 PS1 gd153 0 13.1107 13.5834 13.97 14.2601
PS1 PS1 gd153 0 13.1092 13.5834 13.9711 14.2622
PS1 PS1 gd153 0 13.1106 13.583 13.9697 14.26
PS1 PS1 gd153 0 13.109 13.5823 13.9695 14.26
PS1 PS1 gd153 0 13.1104 13.5836 13.9705 14.2607
PS1 PS1 gd153 0 13.1088 13.5827 13.9701 14.2607
PS1 PS1 gd153 0 13.1092 13.5832 13.9708 14.2615
PS1 PS1 gd153 0 13.1092 13.583 13.9703 14.2609
PS1 PS1 gd153 0 13.1098 13.5825 13.9693 14.2597
PS1 PS1 gd153 0 13.1088 13.583 13.9706 14.2613
PS1 PS1 gd153 0 13.1091 13.5828 13.9702 14.2609
PS1 PS1 gd153 0 13.1093 13.5832 13.9708 14.2618
PS1 PS1 gd153 0 13.1095 13.5833 13.9705 14.2609
PS1 PS1 gd153 0 13.1097 13.583 13.97 14.2603
PS1 PS1 gd153 0 13.1103 13.5833 13.9701 14.2603
PS1 PS1 gd153 0 13.1093 13.5838 13.9716 14.2626
PS1 PS1 gd153 0 13.1095 13.5831 13.9706 14.2615
PS1 PS1 gd153 0 13.1103 13.584 13.9716 14.2626
PS1 PS1 gd153 0 13.1092 13.5838 13.9718 14.263
PS1 PS1 gd153 0 13.1088 13.5828 13.9706 14.2615
PS1 PS1 gd153 0 13.1112 13.5835 13.9698 14.2598
PS1 PS1 gd153 0 13.1099 13.5838 13.9712 14.2618
PS1 PS1 gd153 0 13.1103 13.5837 13.9706 14.2608
PS1 PS1 gd153 0 13.1109 13.5839 13.9707 14.2609
PS1 PS1 gd153 0 13.1092 13.583 13.9702 14.2607
PS1 PS1 gd153 0 13.1095 13.5828 13.9699 14.2603
PS1 PS1 gd153 0 13.11 13.5834 13.9706 14.2611
PS1 PS1 gd153 0 13.1091 13.5825 13.9697 14.2602
PS1 PS1 gd153 0 13.1102 13.5836 13.9707 14.2612
PS1 PS1 gd153 0 13.11 13.584 13.9714 14.262
PS1 PS1 gd153 0 13.1091 13.5829 13.9703 14.261
PS1 PS1 gd153 0 13.1099 13.5834 13.9706 14.261
PS1 PS1 gd153 0 13.1092 13.5823 13.9692 14.2596
PS1 PS1 gd153 0 13.1092 13.583 13.9703 14.2609
PS1 PS1 gd153 0 13.1102 13.5839 13.9712 14.2618
PS1 PS1 gd153 0 13.1097 13.5837 13.9712 14.2619
PS1 PS1 gd153 0 13.1101 13.5839 13.971 14.2614
PS1 PS1 gd153 0 13.1113 13.5842 13.9708 14.261
PS1 PS1 gd153 0 13.1095 13.5832 13.9705 14.2612
PS1 PS1 gd153 0 13.1102 13.5838 13.9711 14.2616
PS1 PS1 gd153 0 13.1097 13.583 13.9701 14.2607
PS1 PS1 gd153 0 13.1091 13.5834 13.9709 14.2615
PS1 PS1 gd153 0 13.1096 13.5832 13.9703 14.2607
PS1 PS1 gd153 0 13.1094 13.5829 13.9702 14.2608
PS1 PS1 gd153 0 13.1096 13.5838 13.9713 14.262
PS1 PS1 gd153 0 13.1099 13.5837 13.9711 14.2617
PS1 PS1 gd153 0 13.1099 13.5836 13.9706 14.2608
PS1 PS1 gd153 0 13.1099 13.5837 13.9713 14.2622
PS1 PS1 gd153 0 13.1087 13.5832 13.971 14.2618
PS1 PS1 gd153 0 13.1094 13.5831 13.9703 14.2607
PS1 PS1 gd153 0 13.1095 13.5832 13.9707 14.2616
PS1 PS1 gd153 0 13.1089 13.5828 13.97 14.2604
PS1 PS1 gd153 0 13.1097 13.583 13.9701 14.2607
PS1 PS1 gd153 0 13.1097 13.5837 13.9713 14.2621
PS1 PS1 gd153 0 13.1094 13.5835 13.9708 14.2612
PS1 PS1 gd153 0 13.1095 13.5835 13.9709 14.2615
PS1 PS1 gd153 0 13.1103 13.584 13.9712 14.2617
PS1 PS1 gd153 0 13.1103 13.5836 13.9706 14.2609
PS1 PS1 gd153 0 13.109 13.5832 13.9707 14.2614
PS1 PS1 gd153 0 13.1085 13.5828 13.9704 14.2611
PS1 PS1 gd153 0 13.1103 13.5836 13.9706 14.2611
PS1 PS1 gd153 0 13.11 13.583 13.9697 14.2599
PS1 PS1 gd153 0 13.1094 13.5835 13.971 14.2617
PS1 PS1 gd153 0 13.1093 13.5831 13.9705 14.2611
PS1 PS1 gd153 0 13.1098 13.5834 13.9707 14.2615
PS1 PS1 gd153 0 13.1105 13.5844 13.9716 14.2618
PS1 PS1 gd153 0 13.11 13.583 13.97 14.2606
PS1 PS1 gd153 0 13.1085 13.5829 13.9707 14.2616
PS1 PS1 gd153 0 13.1085 13.5826 13.9703 14.2613
PS1 PS1 gd153 0 13.1109 13.5842 13.9712 14.2616
PS1 PS1 gd153 0 13.1097 13.5837 13.9712 14.2619
PS1 PS1 gd153 0 13.1086 13.5827 13.9705 14.2615
PS1 PS1 gd153 0 13.1105 13.5841 13.9713 14.2618
PS1 PS1 gd153 0 13.1099 13.5837 13.9711 14.2616
PS1 PS1 gd153 0 13.1102 13.5836 13.9708 14.2614
PS1 PS1 gd153 0 13.109 13.5828 13.9699 14.2602
PS1 PS1 gd153 0 13.1105 13.5841 13.9712 14.2618
PS1 PS1 gd153 0 13.1091 13.5832 13.9705 14.261
PS1 PS1 gd153 0 13.1102 13.5842 13.9714 14.2618
PS1 PS1 gd153 0 13.1103 13.5835 13.9706 14.2611
PS1 PS1 gd153 0 13.1092 13.5829 13.9704 14.2612
PS1 PS1 gd153 0 13.1102 13.5837 13.9704 14.2605
PS1 PS1 gd153 0 13.1097 13.5834 13.9707 14.2612
PS1 PS1 gd153 0 13.1105 13.5836 13.9706 14.261
PS1 PS1 gd153 0 13.11 13.5831 13.9701 14.2606
PS1 PS1 gd153 0 13.11 13.5839 13.971 14.2613
PS1 PS1 gd153 0 13.1105 13.5836 13.9706 14.2609
PS1 PS1 gd153 0 13.1098 13.5834 13.9707 14.2614
PS1 PS1 gd153 0 13.1096 13.5836 13.9712 14.2621
PS1 PS1 gd153 0 13.109 13.5828 13.9703 14.2612
PS1 PS1 gd153 0 13.1094 13.5832 13.9707 14.2614
PS1 PS1 gd71 0 12.8045 13.2611 13.6412 13.9306
PS1 PS1 gd71 0 12.804 13.2609 13.6411 13.9305
PS1 PS1 gd71 0 12.804 13.2604 13.6402 13.9292
PS1 PS1 gd71 0 12.8057 13.2619 13.6417 13.9308
PS1 PS1 gd71 0 12.805 13.2614 13.6413 13.9305
PS1 PS1 gd71 0 12.8046 13.2611 13.641 13.9302
PS1 PS1 gd71 0 12.8049 13.2614 13.6414 13.9306
PS1 PS1 gd71 0 12.8053 13.2613 13.6409 13.9298
PS1 PS1 gd71 0 12.8046 13.2607 13.6403 13.9293
PS1 PS1 gd71 0 12.8052 13.2613 13.641 13.9299
PS1 PS1 gd71 0 12.8041 13.261 13.6411 13.9304
PS1 PS1 gd71 0 12.8057 13.2616 13.641 13.9299
PS1 PS1 gd71 0 12.8046 13.2605 13.64 13.9289
PS1 PS1 gd71 0 12.8047 13.261 13.6409 13.93
PS1 PS1 gd71 0 12.805 13.261 13.6404 13.9293
PS1 PS1 gd71 0 12.8047 13.2606 13.6403 13.9294
PS1 PS1 gd71 0 12.8045 13.2604 13.6401 13.9293
PS1 PS1 gd71 0 12.8046 13.2612 13.6411 13.9301
PS1 PS1 gd71 0 12.8044 13.2603 13.6399 13.929
PS1 PS1 gd71 0 12.8044 13.261 13.6409 13.93
PS1 PS1 gd71 0 12.8053 13.2612 13.6406 13.9296
PS1 PS1 gd71 0 12.8046 13.2611 13.6411 13.9303
PS1 PS1 gd71 0 12.805 13.261 13.6407 13.9298
PS1 PS1 gd71 0 12.8036 13.2602 13.6401 13.9293
PS1 PS1 gd71 0 12.8053 13.2617 13.6415 13.9305
PS1 PS1 gd71 0 12.8061 13.262 13.6414 13.9304
PS1 PS1 gd71 0 12.8047 13.2607 13.6403 13.9292
PS1 PS1 gd71 0 12.8058 13.2615 13.6409 13.9298
PS1 PS1 gd71 0 12.8058 13.262 13.6416 13.9305
PS1 PS1 gd71 0 12.8052 13.2612 13.6408 13.9298
PS1 PS1 gd71 0 12.8041 13.2608 13.6408 13.93
PS1 PS1 gd71 0 12.8051 13.2617 13.6417 13.931
PS1 PS1 gd71 0 12.8039 13.2605 13.6407 13.9302
PS1 PS1 gd71 0 12.8055 13.2617 13.6415 13.9307
PS1 PS1 gd71 0 12.8042 13.2605 13.6401 13.929
PS1 PS1 gd71 0 12.8056 13.2619 13.6417 13.9308
PS1 PS1 gd71 0 12.8048 13.2607 13.6403 13.9294
PS1 PS1 gd71 0 12.8048 13.2607 13.6403 13.9293
PS1 PS1 gd71 0 12.8048 13.2613 13.6413 13.9306
PS1 PS1 gd71 0 12.8051 13.2613 13.6408 13.9297
PS1 PS1 gd71 0 12.8048 13.2609 13.6405 13.9296
PS1 PS1 gd71 0 12.8044 13.2604 13.6401 13.9292
PS1 PS1 gd71 0 12.8044 13.2606 13.6402 13.9291
PS1 PS1 gd71 0 12.8049 13.2617 13.6417 13.931
PS1 PS1 gd71 0 12.8058 13.2612 13.6405 13.9293
PS1 PS1 gd71 0 12.804 13.2602 13.6399 13.929
PS1 PS1 gd71 0 12.8052 13.2614 13.641 13.93
PS1 PS1 gd71 0 12.8048 13.2613 13.6411 13.9303
PS1 PS1 gd71 0 12.8049 13.261 13.6406 13.9296
PS1 PS1 gd71 0 12.8052 13.2613 13.641 13.9301
PS1 PS1 gd71 0 12.8052 13.2622 13.6423 13.9316
PS1 PS1 gd71 0 12.8041 13.26 13.6395 13.9285
PS1 PS1 gd71 0 12.8048 13.2613 13.6412 13.9303
PS1 PS1 gd71 0 12.8042 13.2611 13.6412 13.9305
PS1 PS1 gd71 0 12.8054 13.2616 13.6414 13.9305
PS1 PS1 gd71 0 12.8046 13.2605 13.6401 13.9292
PS1 PS1 gd71 0 12.8048 13.2613 13.6411 13.9301
PS1 PS1 gd71 0 12.805 13.2609 13.6404 13.9294
PS1 PS1 gd71 0 12.8046 13.2609 13.6407 13.9299
PS1 PS1 gd71 0 12.8043 13.2607 13.6406 13.9297
PS1 PS1 gd71 0 12.8045 13.2606 13.6403 13.9293
PS1 PS1 gd71 0 12.8046 13.261 13.6409 13.9301
PS1 PS1 gd71 0 12.805 13.2614 13.6412 13.9304
PS1 PS1 gd71 0 12.8062 13.262 13.6415 13.9305
PS1 PS1 gd71 0 12.8046 13.2606 13.6402 13.9292
PS1 PS1 gd71 0 12.8048 13.2606 13.6399 13.9288
PS1 PS1 gd71 0 12.8044 13.2609 13.6408 13.9299
PS1 PS1 gd71 0 12.8054 13.2617 13.6415 13.9307
PS1 PS1 gd71 0 12.8054 13.2613 13.641 13.9302
PS1 PS1 gd71 0 12.8052 13.2617 13.6414 13.9305
PS1 PS1 gd71 0 12.8046 13.2605 13.6399 13.9287
PS1 PS1 gd71 0 12.8047 13.2611 13.641 13.9301
PS1 PS1 gd71 0 12.8047 13.2613 13.6413 13.9306
PS1 PS1 gd71 0 12.8046 13.261 13.6406 13.9296
PS1 PS1 gd71 0 12.8043 13.2608 13.6409 13.9302
PS1 PS1 gd71 0 12.8047 13.2601 13.6393 13.9281
PS1 PS1 gd71 0 12.8046 13.2614 13.6414 13.9306
PS1 PS1 gd71 0 12.8039 13.2608 13.641 13.9304
PS1 PS1 gd71 0 12.8045 13.2604 13.64 13.929
PS1 PS1 gd71 0 12.8056 13.2618 13.6414 13.9303
PS1 PS1 gd71 0 12.8057 13.2617 13.6413 13.9303
PS1 PS1 gd71 0 12.8049 13.2618 13.6419 13.9311
PS1 PS1 gd71 0 12.8053 13.2616 13.6414 13.9306
PS1 PS1 gd71 0 12.8051 13.261 13.6406 13.9297
PS1 PS1 gd71 0 12.8051 13.2607 13.6402 13.9292
PS1 PS1 gd71 0 12.8059 13.262 13.6414 13.9302
PS1 PS1 gd71 0 12.8049 13.2606 13.64 13.9289
PS1 PS1 gd71 0 12.8048 13.2611 13.6409 13.9301
PS1 PS1 gd71 0 12.8056 13.2613 13.6405 13.9293
PS1 PS1 gd71 0 12.8052 13.2612 13.6407 13.9296
PS1 PS1 gd71 0 12.8044 13.2604 13.6402 13.9293
PS1 PS1 gd71 0 12.8047 13.2616 13.6417 13.931
PS1 PS1 gd71 0 12.8061 13.2625 13.6424 13.9316
PS1 PS1 gd71 0 12.8051 13.2616 13.6416 13.9309
PS1 PS1 gd71 0 12.8047 13.2608 13.6405 13.9295
PS1 PS1 gd71 0 12.8047 13.2615 13.6416 13.9309
PS1 PS1 gd71 0 12.8048 13.2616 13.6417 13.9312
PS1 PS1 gd71 0 12.8044 13.2612 13.6413 13.9307
PS1 PS1 gd71 0 12.8051 13.2621 13.6423 13.9317
PS1 PS1 gd71 0 12.8042 13.2608 13.6409 13.9303
PS1 PS1 sdssj010322 0 19.0972 19.5553 19.9285 20.2073
PS1 PS1 sdssj010322 0 19.0964 19.5518 19.9236 20.2017
PS1 PS1 sdssj010322 0 19.0986 19.5547 19.9255 20.2025
PS1 PS1 sdssj010322 0 19.0931 19.5476 19.9193 20.1977
PS1 PS1 sdssj010322 0 19.104 19.5596 19.9313 20.2092
PS1 PS1 sdssj010322 0 19.1009 19.5614 19.9372 20.2181
PS1 PS1 sdssj010322 0 19.0949 19.5511 19.9253 20.2057
PS1 PS1 sdssj010322 0 19.0956 19.5484 19.9184 20.1953
PS1 PS1 sdssj010322 0 19.0951 19.5483 19.9183 20.1952
PS1 PS1 sdssj010322 0 19.0972 19.5541 19.9257 20.2032
PS1 PS1 sdssj010322 0 19.0946 19.5506 19.9244 20.2043
PS1 PS1 sdssj010322 0 19.0981 19.5525 19.9241 20.2024
PS1 PS1 sdssj010322 0 19.0943 19.5525 19.926 20.2051
PS1 PS1 sdssj010322 0 19.0987 19.5573 19.9314 20.2111
PS1 PS1 sdssj010322 0 19.0956 19.5519 19.9222 20.1984
PS1 PS1 sdssj010322 0 19.0952 19.5516 19.9244 20.2034
PS1 PS1 sdssj010322 0 19.0928 19.547 19.9176 20.1948
PS1 PS1 sdssj010322 0 19.0978 19.5538 19.9275 20.2074
PS1 PS1 sdssj010322 0 19.0978 19.5538 19.9247 20.2017
PS1 PS1 sdssj010322 0 19.0977 19.5515 19.9227 20.2007
PS1 PS1 sdssj010322 0 19.0953 19.5492 19.9214 20.2002
PS1 PS1 sdssj010322 0 19.0947 19.554 19.929 20.2095
PS1 PS1 sdssj010322 0 19.0957 19.5521 19.9244 20.2027
PS1 PS1 sdssj010322 0 19.0979 19.5558 19.9302 20.2104
PS1 PS1 sdssj010322 0 19.099 19.5542 19.9249 20.2019
PS1 PS1 sdssj010322 0 19.0996 19.5532 19.9238 20.2012
PS1 PS1 sdssj010322 0 19.0967 19.5543 19.9286 20.2086
PS1 PS1 sdssj010322 0 19.0982 19.5552 19.929 20.2086
PS1 PS1 sdssj010322 0 19.0944 19.5518 19.926 20.206
PS1 PS1 sdssj010322 0 19.0987 19.5541 19.9247 20.2016
PS1 PS1 sdssj010322 0 19.094 19.5495 19.9226 20.2021
PS1 PS1 sdssj010322 0 19.098 19.5541 19.9253 20.2027
PS1 PS1 sdssj010322 0 19.1019 19.5593 19.9317 20.21
PS1 PS1 sdssj010322 0 19.0927 19.5498 19.9238 20.2038
PS1 PS1 sdssj010322 0 19.1002 19.5593 19.9335 20.2131
PS1 PS1 sdssj010322 0 19.0967 19.5531 19.9269 20.2068
PS1 PS1 sdssj010322 0 19.103 19.5592 19.9298 20.2065
PS1 PS1 sdssj010322 0 19.0954 19.5515 19.9224 20.1994
PS1 PS1 sdssj010322 0 19.0993 19.5546 19.9262 20.2041
PS1 PS1 sdssj010322 0 19.0895 19.5516 19.9282 20.2093
PS1 PS1 sdssj010322 0 19.0944 19.5506 19.9258 20.2071
PS1 PS1 sdssj010322 0 19.0914 19.549 19.9242 20.2054
PS1 PS1 sdssj010322 0 19.1007 19.5607 19.9334 20.2113
PS1 PS1 sdssj010322 0 19.1037 19.5624 19.9345 20.212
PS1 PS1 sdssj010322 0 19.0938 19.5496 19.9226 20.2018
PS1 PS1 sdssj010322 0 19.0979 19.5538 19.9259 20.2041
PS1 PS1 sdssj010322 0 19.0967 19.5533 19.9254 20.2035
PS1 PS1 sdssj010322 0 19.0975 19.5553 19.928 20.2063
PS1 PS1 sdssj010322 0 19.0987 19.555 19.9285 20.2082
PS1 PS1 sdssj010322 0 19.0936 19.5483 19.9205 20.1991
PS1 PS1 sdssj010322 0 19.0982 19.5555 19.9276 20.2055
PS1 PS1 sdssj010322 0 19.0994 19.5571 19.9302 20.2091
PS1 PS1 sdssj010322 0 19.092 19.5506 19.9244 20.2037
PS1 PS1 sdssj010322 0 19.095 19.5528 19.9277 20.2084
PS1 PS1 sdssj010322 0 19.1013 19.5594 19.9323 20.2109
PS1 PS1 sdssj010322 0 19.0994 19.5577 19.9311 20.2101
PS1 PS1 sdssj010322 0 19.0992 19.5553 19.9279 20.2067
PS1 PS1 sdssj010322 0 19.0946 19.5547 19.9305 20.2114
PS1 PS1 sdssj010322 0 19.0976 19.5587 19.9348 20.2159
PS1 PS1 sdssj010322 0 19.0968 19.5578 19.9341 20.2154
PS1 PS1 sdssj010322 0 19.0919 19.5433 19.9129 20.1898
PS1 PS1 sdssj010322 0 19.0894 19.5501 19.9256 20.2061
PS1 PS1 sdssj010322 0 19.1004 19.5631 19.9379 20.2171
PS1 PS1 sdssj010322 0 19.0904 19.5462 19.9203 20.2007
PS1 PS1 sdssj010322 0 19.0936 19.5513 19.9258 20.2059
PS1 PS1 sdssj010322 0 19.0907 19.552 19.9297 20.2122
PS1 PS1 sdssj010322 0 19.1002 19.5574 19.9311 20.2108
PS1 PS1 sdssj010322 0 19.0949 19.5516 19.9235 20.2012
PS1 PS1 sdssj010322 0 19.0995 19.5548 19.9275 20.2065
PS1 PS1 sdssj010322 0 19.0963 19.5533 19.927 20.2066
PS1 PS1 sdssj010322 0 19.0964 19.553 19.9257 20.2043
PS1 PS1 sdssj010322 0 19.0931 19.5499 19.9221 20.2001
PS1 PS1 sdssj010322 0 19.1027 19.5579 19.9295 20.2074
PS1 PS1 sdssj010322 0 19.0955 19.5519 19.9234 20.2009
PS1 PS1 sdssj010322 0 19.0933 19.5477 19.9202 20.1992
PS1 PS1 sdssj010322 0 19.0923 19.5502 19.9238 20.2032
PS1 PS1 sdssj010322 0 19.0984 19.5525 19.9238 20.2017
PS1 PS1 sdssj010322 0 19.0951 19.5559 19.9314 20.2121
PS1 PS1 sdssj010322 0 19.098 19.5532 19.9249 20.203
PS1 PS1 sdssj010322 0 19.0982 19.5526 19.9237 20.2016
PS1 PS1 sdssj010322 0 19.1003 19.5565 19.9284 20.2065
PS1 PS1 sdssj010322 0 19.0933 19.55 19.9223 20.2007
PS1 PS1 sdssj010322 0 19.1023 19.5619 19.9362 20.2158
PS1 PS1 sdssj010322 0 19.1012 19.5594 19.9325 20.2111
PS1 PS1 sdssj010322 0 19.0969 19.5526 19.9254 20.2044
PS1 PS1 sdssj010322 0 19.0959 19.5512 19.9233 20.2018
PS1 PS1 sdssj010322 0 19.1026 19.5606 19.9337 20.2126
PS1 PS1 sdssj010322 0 19.0979 19.553 19.9266 20.2067
PS1 PS1 sdssj010322 0 19.0984 19.5553 19.9289 20.2085
PS1 PS1 sdssj010322 0 19.1022 19.5594 19.9323 20.211
PS1 PS1 sdssj010322 0 19.0932 19.5484 19.9203 20.1985
PS1 PS1 sdssj010322 0 19.0967 19.5519 19.9237 20.2018
PS1 PS1 sdssj010322 0 19.0972 19.5524 19.9237 20.2013
PS1 PS1 sdssj010322 0 19.102 19.5593 19.9323 20.2111
PS1 PS1 sdssj010322 0 19.0956 19.5517 19.9233 20.201
PS1 PS1 sdssj010322 0 19.0996 19.5546 19.9255 20.2028
PS1 PS1 sdssj010322 0 19.0916 19.5484 19.9219 20.2014
PS1 PS1 sdssj010322 0 19.0935 19.5519 19.9251 20.2038
PS1 PS1 sdssj010322 0 19.0956 19.5498 19.9208 20.1984
