survey version standard standard_catagory shift CFA3K-B CFA3K-V CFA3K-r CFA3K-i 
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd111721_v2.fits stis_ngsl_v2 0 8.718943492324827 7.9879319073423005 7.724881180656802 7.476569790923876
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd160762_v2.fits stis_ngsl_v2 0 3.604230758430591 3.722823064285777 3.9361742927442376 4.266764487855007
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd124186_v2.fits stis_ngsl_v2 0 7.296242008526053 6.165740789661427 5.730789501374994 5.397758276761995
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd146233_v2.fits stis_ngsl_v2 0 6.135897993105519 5.533691518467453 5.369360971136545 5.282107369330316
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd041357_v2.fits stis_ngsl_v2 0 5.578707741883327 5.326055475288747 5.343551483735365 5.443071638470671
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd025329_v2.fits stis_ngsl_v2 0 9.301776878410008 8.501464022538205 8.196943381338173 7.9374047029418024
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd072968_v2.fits stis_ngsl_v2 0 5.714475455864394 5.703817682144162 5.833635841529724 6.052502549529792
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_g115-58_v2.fits stis_ngsl_v2 0 12.599961512714133 12.161634372985919 12.037339050021455 11.971738319851974
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd004813_v2.fits stis_ngsl_v2 0 5.651636417919842 5.168492183752104 5.048483454337654 4.987957594780995
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd142926_v2.fits stis_ngsl_v2 0 5.64241584364171 5.687817153181701 5.861942679060349 6.154252078806139
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd164257_v2.fits stis_ngsl_v2 0 6.8649053338511825 6.748984271734233 6.828018989833599 6.983382458467326
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd196725_v2.fits stis_ngsl_v2 0 7.114075260455947 5.740393232269803 5.191910985574464 4.722265227481416
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd030614_v2.fits stis_ngsl_v2 0 4.287389038604046 4.244748846379064 4.3288890792104135 4.511152720926799
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd022484_v2.fits stis_ngsl_v2 0 4.801443960639381 4.279130899724233 4.145758627882228 4.0515656285714
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd079469_v2.fits stis_ngsl_v2 0 3.846350083352109 3.851324604392183 4.014904497567721 4.28057104754311
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_g18-39_v2.fits stis_ngsl_v2 0 10.833715389734147 10.389035667348313 10.257231279751863 10.144520508449444
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_g12-21_v2.fits stis_ngsl_v2 0 10.664234193823484 10.201132930022492 10.073256482398907 9.996213633477636
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd025893_v2.fits stis_ngsl_v2 0 7.979103655473547 7.225874856627982 6.957066163046542 6.77642200136824
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd132345_v2.fits stis_ngsl_v2 0 7.028752561003091 5.895684072418543 5.472680482685445 5.146386782825279
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd091316_v2.fits stis_ngsl_v2 0 3.688817002242518 3.795141943365533 3.987470824035914 4.283123894953307
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd117880_v2.fits stis_ngsl_v2 0 9.146210914077406 9.049059002161645 9.157119684530091 9.350814913628453
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_cd-621346_v2.fits stis_ngsl_v2 0 10.484782868846635 9.828865297742954 9.623739087436153 9.447486580578522
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_gl109_v2.fits stis_ngsl_v2 0 12.049431964415868 10.65534725129925 9.968646642849947 8.713976267044112
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd016031_v2.fits stis_ngsl_v2 0 10.175843149804374 9.773151261717661 9.65808512426793 9.563418697817996
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_bd371458_v2.fits stis_ngsl_v2 0 9.542775675385522 8.996244056490717 8.822035692319819 8.685026038682944
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd081797_v2.fits stis_ngsl_v2 0 3.4533711351018774 2.1664342425981684 1.6557980097230895 1.2386516953426758
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd067390_v2.fits stis_ngsl_v2 0 9.860470725951815 9.521415423579473 9.484684053767179 9.50249637548327
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd061603_v2.fits stis_ngsl_v2 0 7.353691921184107 5.9645596791394695 5.382812792334815 4.797620582626625
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd062412_v2.fits stis_ngsl_v2 0 6.534399942750986 5.637026978807736 5.329204722664522 5.0861890748307
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd031219_v2.fits stis_ngsl_v2 0 8.70791121954541 8.161140925463517 8.026943029311063 7.978499404241551
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd002857_v2.fits stis_ngsl_v2 0 10.448698755048744 10.315497302872075 10.403514530446092 10.527640744289736
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd114710_v2.fits stis_ngsl_v2 0 4.772037654252926 4.235506901381751 4.080865611181353 3.9826954177925105
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd198809_v2.fits stis_ngsl_v2 0 5.329285193603865 4.557565318895495 4.303576355407242 4.109549894180987
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_g88-27_v2.fits stis_ngsl_v2 0 11.128303377165794 10.695499945672644 10.572692653548234 10.486229334802951
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd210807_v2.fits stis_ngsl_v2 0 5.682337636324614 4.823086614269787 4.5384478057965945 4.333279147364402
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd201091_v2.fits stis_ngsl_v2 0 6.315389096971546 5.27319670203234 4.762421249871456 4.355075544135624
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd165341_v2.fits stis_ngsl_v2 0 4.997549267214953 4.237248987114892 3.9684902354710627 3.789329253687531
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd131873_v2.fits stis_ngsl_v2 0 3.45916249109912 2.138049248526834 1.591201381651122 1.091828994728215
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_cd-3018140_v2.fits stis_ngsl_v2 0 10.427290707046138 10.045724669138146 9.975547818872894 9.933112247337496
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd184266_v2.fits stis_ngsl_v2 0 8.160285675517349 7.61271842799955 7.424719289123495 7.263367218787185
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd057060_v2.fits stis_ngsl_v2 0 5.1272627630905125 5.243735313315412 5.41603630481933 5.697020263765411
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd045282_v2.fits stis_ngsl_v2 0 8.663789383826009 8.039912802552468 7.823974631061831 7.647917151511426
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd176437_v2.fits stis_ngsl_v2 0 3.2044822958554477 3.215425515251383 3.361349102068193 3.5812684007330704
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd185144_v2.fits stis_ngsl_v2 0 5.408044981096071 4.677672672966647 4.411383785400763 4.217101120126224
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd057727_v2.fits stis_ngsl_v2 0 5.859853168233264 5.022680584252779 4.735243590693398 4.51851047984139
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_g188-30_v2.fits stis_ngsl_v2 0 11.846116894706777 11.259443015631273 11.081320893920758 10.929596006957178
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_bd+112998_v2.fits stis_ngsl_v2 0 9.684385789635956 9.091986711728474 8.883421624097167 8.681072778809758
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd204155_v2.fits stis_ngsl_v2 0 9.018789721057198 8.488632107158395 8.33699261248362 8.216263446616447
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_g029-023_v2.fits stis_ngsl_v2 0 10.684985054251458 10.239577773983818 10.113006075976703 10.029434120527243
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd122956_v2.fits stis_ngsl_v2 0 8.176132808597961 7.262962528727595 6.91050431789903 6.575092255961544
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd128279_v2.fits stis_ngsl_v2 0 8.647449390875915 8.04562270521583 7.822462939884155 7.608415107355207
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd205811_v2.fits stis_ngsl_v2 0 6.206618286651337 6.148204813452519 6.2920381181111695 6.508219434334564
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd217107_v2.fits stis_ngsl_v2 0 6.85363363361587 6.169959510410074 5.957202529482502 5.819844724300045
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_g194-22_v2.fits stis_ngsl_v2 0 10.21413219131144 9.804353326499214 9.721029258013179 9.670088463902482
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd039587_v2.fits stis_ngsl_v2 0 4.925643620240762 4.368882337673359 4.21206345773641 4.122660619404457
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_g24-3_v2.fits stis_ngsl_v2 0 10.926098247071648 10.465112961289538 10.324078745645494 10.201811142649854
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd163810_v2.fits stis_ngsl_v2 0 10.494884130688112 9.964710645665711 9.804948813421856 9.695490292291266
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd108945_v2.fits stis_ngsl_v2 0 5.55243605249986 5.460752974700608 5.584506440015571 5.830015450516293
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd085380_v2.fits stis_ngsl_v2 0 6.958008453112195 6.4239353349847725 6.273553659342082 6.181006179140952
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd002665_v2.fits stis_ngsl_v2 0 8.486232194308174 7.758970236999954 7.487556649905948 7.226964333274222
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_lhs482_v2.fits stis_ngsl_v2 0 13.462311661759083 12.055499166133853 11.360704169484013 10.494245698481246
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd065354_v2.fits stis_ngsl_v2 0 8.306261328167396 6.8758265655380875 6.283405257238031 5.745435804519599
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd167006_v2.fits stis_ngsl_v2 0 6.432063760709588 4.952756291189843 4.285084697890153 3.3080859738479385
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd204867_v2.fits stis_ngsl_v2 0 3.6436919657327906 2.8838774458025402 2.6497090849999805 2.4901830538653664
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd222404_v2.fits stis_ngsl_v2 0 4.162583289512923 3.2224531053749037 2.8844509019660127 2.62567908667726
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd174240_v2.fits stis_ngsl_v2 0 6.263143973229098 6.2007272685217565 6.325702839568991 6.523819979829491
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd134113_v2.fits stis_ngsl_v2 0 8.800094311067044 8.262160075536382 8.097458431251365 7.96959609633585
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd105546_v2.fits stis_ngsl_v2 0 9.268127367340535 8.632486121751686 8.415203590742301 8.223850795742392
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd148293_v2.fits stis_ngsl_v2 0 6.287167447688563 5.273208003946738 4.910681808485415 4.630493651218111
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd212593_v2.fits stis_ngsl_v2 0 4.628036946759145 4.516091686590176 4.594473074063264 4.756595179257261
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd005544_v2.fits stis_ngsl_v2 0 8.678393885581153 7.6505711927339455 7.273847571507425 6.957445983101054
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd232078_v2.fits stis_ngsl_v2 0 10.265013462058048 8.518439170561845 7.732240532409155 6.941883252230782
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd196218_v2.fits stis_ngsl_v2 0 7.893031227234945 7.422315571593298 7.302902800025685 7.2171699653326025
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd076932_v2.fits stis_ngsl_v2 0 6.278514744053147 5.783768123077667 5.651067634019527 5.546280702639053
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd190404_v2.fits stis_ngsl_v2 0 8.083409045271411 7.32069638315598 7.026495081800655 6.816892362263045
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd000886_v2.fits stis_ngsl_v2 0 2.6209693285509794 2.794687910956004 3.0273212018004405 3.3781745716358573
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd167946_v2.fits stis_ngsl_v2 0 7.390615095544091 7.322878600733084 7.44037982684704 7.659708466927158
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd210745_v2.fits stis_ngsl_v2 0 4.787909224554105 3.383439257026741 2.841034637006676 2.4032257809535063
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd004727_v2.fits stis_ngsl_v2 0 4.402190312994665 4.488756158916381 4.680990280109083 4.98847302980002
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_g169-28_v2.fits stis_ngsl_v2 0 11.838460124346883 11.346088161776759 11.204388370192842 11.091107328148427
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd029391_v2.fits stis_ngsl_v2 0 5.4366554301196315 5.1630385911191325 5.172772699051248 5.242499829571639
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd009051_v2.fits stis_ngsl_v2 0 9.722807716823505 8.96527551141287 8.690501786570703 8.447028810030018
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd041667_v2.fits stis_ngsl_v2 0 9.394585544060385 8.504079597364314 8.175437282433787 7.854497889772888
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd065228_v2.fits stis_ngsl_v2 0 4.817565306509585 4.164072487323931 3.9715872091681175 3.8339234353529372
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd173819_v2.fits stis_ngsl_v2 0 7.328740702524665 5.969873526594313 5.430316877563663 4.675439441364412
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd005395_v2.fits stis_ngsl_v2 0 5.502255287495628 4.625823317054742 4.323800111114527 4.063768227212955
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd103036_v2.fits stis_ngsl_v2 0 9.289375275481463 8.172110615331345 7.726192756228213 7.33109213962338
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_gj825_v2.fits stis_ngsl_v2 0 7.99934182336015 6.72197305973528 6.069361260971633 5.387477623130466
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd043042_v2.fits stis_ngsl_v2 0 5.645341651024988 5.214550132210956 5.1234742788187555 5.115845368692079
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd143459_v2.fits stis_ngsl_v2 0 5.590255194252893 5.53517230313221 5.652449943065631 5.822899812986699
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd164402_v2.fits stis_ngsl_v2 0 5.668843842044157 5.662750034305446 5.787426239396258 6.0101346150465895
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd175640_v2.fits stis_ngsl_v2 0 6.162393183529104 6.163532771165958 6.311071698622233 6.558976788075605
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd146051_v2.fits stis_ngsl_v2 0 4.199180341322484 2.7920598700048385 2.1813961421745955 1.4505756840095971
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd105740_v2.fits stis_ngsl_v2 0 9.325087689957408 8.438282708287634 8.102342612824572 7.800192061858678
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd113002_v2.fits stis_ngsl_v2 0 9.4328641756754 8.737097605002603 8.49937003117245 8.287411449617261
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd174959_v2.fits stis_ngsl_v2 0 6.001952852946608 6.0554617301519365 6.226791063231386 6.506313614237251
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd074721_v2.fits stis_ngsl_v2 0 8.724599558016495 8.657844412486181 8.780805402027458 8.98084965892919
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hr0753_v2.fits stis_ngsl_v2 0 7.089422304967758 6.267572757079364 5.9141747435520005 5.680218625647059
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_bd511696_v2.fits stis_ngsl_v2 0 10.463961659097636 9.922213474159786 9.754122709322434 9.633127040269466
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd128801_v2.fits stis_ngsl_v2 0 8.748688734399282 8.740825358639828 8.883314659374804 9.122693084492711
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd027295_v2.fits stis_ngsl_v2 0 5.415037648290457 5.4571741074090845 5.637455884488067 5.90904062683498
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hr8086_v2.fits stis_ngsl_v2 0 7.311213230579024 6.099818684585717 5.481020013636763 4.911435554086027
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd010780_v2.fits stis_ngsl_v2 0 6.357960911351838 5.634917577763282 5.381278846982679 5.199714853343942
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd113092_v2.fits stis_ngsl_v2 0 6.5720089823698755 5.395903582858768 4.936231640797247 4.518969181023778
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd083212_v2.fits stis_ngsl_v2 0 9.327716477314672 8.350557371781523 7.973970786805375 7.623895291944241
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_bd413931_v2.fits stis_ngsl_v2 0 10.886622210330207 10.302795892610458 10.114401404349426 9.97375030721111
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd147394_v2.fits stis_ngsl_v2 0 3.7299778358841444 3.8322753322090546 4.041719167014592 4.352640562946111
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd102212_v2.fits stis_ngsl_v2 0 5.420577253468255 4.062064488331966 3.478336953353868 2.774104416455331
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd140232_v2.fits stis_ngsl_v2 0 6.000617378911882 5.796386956415418 5.831033041192783 5.936642484113269
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_bd+363168_v2.fits stis_ngsl_v2 0 12.631735553724868 8.149159718736161 6.391431023025416 5.0055135202926
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd197177_v2.fits stis_ngsl_v2 0 6.610706002979415 5.668168677500088 5.339813823465744 5.0796257438803964
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd205202_v2.fits stis_ngsl_v2 0 8.481135361365668 8.096399092587102 8.012723822670736 7.963668260392127
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd159181_v2.fits stis_ngsl_v2 0 3.6559479152246745 2.7895307440752046 2.4967880488872827 2.2569369575710434
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd149382_v2.fits stis_ngsl_v2 0 8.680580110063305 8.90808530653295 9.16732591489409 9.547968375745588
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd048279_v2.fits stis_ngsl_v2 0 8.048586964927418 7.912390964017224 7.960147119351974 8.076524458846707
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd161770_v2.fits stis_ngsl_v2 0 10.325331538294217 9.701545832432025 9.452242527866474 9.21891951772585
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd017925_v2.fits stis_ngsl_v2 0 6.867753957879034 6.0632176081089995 5.763430008986963 5.566319380077716
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_g20-15_v2.fits stis_ngsl_v2 0 11.185868993563519 10.6120179203504 10.400180704890666 10.21594199314192
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_g243-62_v2.fits stis_ngsl_v2 0 12.35896325573667 11.56568344162945 11.24187154191846 10.959673673452018
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd156283_v2.fits stis_ngsl_v2 0 4.461417207267256 3.178671008557434 2.6782966764517906 2.2498319035367205
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd166208_v2.fits stis_ngsl_v2 0 5.83685599571865 4.994036063979163 4.703777096076263 4.473860913227175
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd060319_v2.fits stis_ngsl_v2 0 9.397760592811588 8.906072987163029 8.77163950094073 8.673670666561991
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd052973_v2.fits stis_ngsl_v2 0 4.644527103072714 3.856189520556175 3.6051613815840153 3.4283740105657836
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd034797_v2.fits stis_ngsl_v2 0 6.446219931899367 6.505692736437151 6.676251993238258 6.948293273349553
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd175545_v2.fits stis_ngsl_v2 0 8.488168581284315 7.415163434869232 6.9960035829863125 6.659119739346083
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd095735_v2.fits stis_ngsl_v2 0 8.873281596664691 7.525764442837318 6.85665438974753 5.84371546161177
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd136726_v2.fits stis_ngsl_v2 0 6.266770495339215 5.030259106160404 4.530971810301385 4.116200288591775
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd040573_v2.fits stis_ngsl_v2 0 7.465343324454678 7.450072127303983 7.595961711423123 7.825172806124155
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd204041_v2.fits stis_ngsl_v2 0 6.59116099434535 6.421196042279334 6.487374474154255 6.6109743936118415
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd028946_v2.fits stis_ngsl_v2 0 8.640547873890617 7.923958226885638 7.679557046473978 7.501876363015914
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd143107_v2.fits stis_ngsl_v2 0 5.319534816961066 4.208786720851979 3.795477030719788 3.460992352644923
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_g202-65_v2.fits stis_ngsl_v2 0 11.842631158774504 11.545679696551833 11.53057578545496 11.567436787571689
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd204543_v2.fits stis_ngsl_v2 0 9.19772063384165 8.346032814134713 8.028949267336149 7.729266495233888
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd172230_v2.fits stis_ngsl_v2 0 7.416691034869291 7.155072839755796 7.1757733438060045 7.263628914382228
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd160922_v2.fits stis_ngsl_v2 0 5.16823245632106 4.752274388006182 4.668718767136213 4.637097560815968
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd082395_v2.fits stis_ngsl_v2 0 5.942577384219397 4.982991934974361 4.6436590285803705 4.384425563634228
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_g262-14_v2.fits stis_ngsl_v2 0 12.214363716587167 11.493978133666122 11.208966454298594 10.956766911242292
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd026297_v2.fits stis_ngsl_v2 0 8.516768427983129 7.491263357405547 7.08348219571099 6.697312213576862
