survey version standard standard_catagory shift ZTF-g ZTF-r ZTF-i ZTF-G ZTF-R ZTF-I 
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd126327_v2.fits stis_ngsl_v2 0 8.5759 6.1179 3.5675 8.5867 6.0837 3.5639
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd030834_v2.fits stis_ngsl_v2 0 5.3901 4.195 3.7723 5.3956 4.1863 3.7716
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd072324_v2.fits stis_ngsl_v2 0 6.7542 5.9941 5.7665 6.759 5.9891 5.7661
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd111721_v2.fits stis_ngsl_v2 0 8.292 7.6831 7.4619 8.2968 7.6783 7.4616
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd160762_v2.fits stis_ngsl_v2 0 3.5493 3.9782 4.3185 3.5471 3.9839 4.3192
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd124186_v2.fits stis_ngsl_v2 0 6.6715 5.673 5.3717 6.676 5.6667 5.3711
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd146233_v2.fits stis_ngsl_v2 0 5.7547 5.3481 5.2873 5.7585 5.3462 5.2872
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd041357_v2.fits stis_ngsl_v2 0 5.3481 5.3514 5.4696 5.3476 5.3531 5.4698
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd025329_v2.fits stis_ngsl_v2 0 8.8394 8.1525 7.9225 8.8441 8.1475 7.9222
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd072968_v2.fits stis_ngsl_v2 0 5.5875 5.859 6.0918 5.5853 5.863 6.0923
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_g115-58_v2.fits stis_ngsl_v2 0 12.3153 12.0209 11.9794 12.3172 12.0194 11.9795
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd004813_v2.fits stis_ngsl_v2 0 5.3304 5.0323 4.9964 5.3329 5.0309 4.9964
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd142926_v2.fits stis_ngsl_v2 0 5.5519 5.8974 6.2002 5.5501 5.9021 6.2008
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd164257_v2.fits stis_ngsl_v2 0 6.7024 6.8461 7.0126 6.7012 6.849 7.013
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd196725_v2.fits stis_ngsl_v2 0 6.3828 5.1162 4.6821 6.3886 5.1074 4.6814
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd030614_v2.fits stis_ngsl_v2 0 4.1873 4.349 4.5443 4.1868 4.352 4.5447
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd022484_v2.fits stis_ngsl_v2 0 4.4584 4.1264 4.0548 4.4616 4.1245 4.0548
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd079469_v2.fits stis_ngsl_v2 0 3.7291 4.0481 4.3249 3.727 4.0528 4.3254
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_g18-39_v2.fits stis_ngsl_v2 0 10.5418 10.2361 10.1457 10.5441 10.2339 10.1456
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_g12-21_v2.fits stis_ngsl_v2 0 10.3641 10.0545 10.0029 10.3665 10.0528 10.0028
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd025893_v2.fits stis_ngsl_v2 0 7.5326 6.9205 6.772 7.5368 6.9168 6.7718
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd132345_v2.fits stis_ngsl_v2 0 6.3994 5.4165 5.1201 6.4039 5.4104 5.1195
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd091316_v2.fits stis_ngsl_v2 0 3.6427 4.0243 4.3317 3.6412 4.0291 4.3323
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd117880_v2.fits stis_ngsl_v2 0 8.9888 9.1805 9.3845 8.9875 9.184 9.385
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_cd-621346_v2.fits stis_ngsl_v2 0 10.0905 9.5923 9.4403 10.0951 9.5888 9.4401
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_gl109_v2.fits stis_ngsl_v2 0 11.3097 9.832 8.58 11.3169 9.8151 8.5783
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd016031_v2.fits stis_ngsl_v2 0 9.9037 9.6389 9.5668 9.9054 9.637 9.5667
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_bd371458_v2.fits stis_ngsl_v2 0 9.2091 8.7961 8.6812 9.2126 8.7935 8.681
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd081797_v2.fits stis_ngsl_v2 0 2.7577 1.587 1.2021 2.7632 1.5792 1.2015
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd067390_v2.fits stis_ngsl_v2 0 9.599 9.4822 9.5185 9.5997 9.4824 9.5187
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd061603_v2.fits stis_ngsl_v2 0 6.6111 5.2987 4.741 6.617 5.2887 4.7401
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd062412_v2.fits stis_ngsl_v2 0 6.0133 5.2855 5.0721 6.0183 5.2808 5.0717
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd031219_v2.fits stis_ngsl_v2 0 8.3519 8.0109 7.9885 8.3548 8.0097 7.9885
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd002857_v2.fits stis_ngsl_v2 0 10.2714 10.4203 10.5504 10.2704 10.4226 10.5507
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd114710_v2.fits stis_ngsl_v2 0 4.425 4.0588 3.9872 4.428 4.0567 3.9872
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd198809_v2.fits stis_ngsl_v2 0 4.8695 4.2668 4.1023 4.8739 4.2629 4.102
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_g88-27_v2.fits stis_ngsl_v2 0 10.8427 10.5542 10.4895 10.8446 10.5524 10.4895
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd210807_v2.fits stis_ngsl_v2 0 5.1814 4.499 4.3243 5.1862 4.4949 4.324
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd201091_v2.fits stis_ngsl_v2 0 5.7637 4.6966 4.3208 5.7664 4.6895 4.3202
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd165341_v2.fits stis_ngsl_v2 0 4.548 3.9327 3.7842 4.5523 3.9291 3.784
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd131873_v2.fits stis_ngsl_v2 0 2.7503 1.5135 1.0483 2.7559 1.5044 1.0476
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_cd-3018140_v2.fits stis_ngsl_v2 0 10.1593 9.9655 9.9403 10.1609 9.9647 9.9403
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd184266_v2.fits stis_ngsl_v2 0 7.8265 7.3959 7.2587 7.8291 7.3928 7.2586
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd057060_v2.fits stis_ngsl_v2 0 5.0865 5.45 5.7409 5.0851 5.4545 5.7415
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd045282_v2.fits stis_ngsl_v2 0 8.2923 7.7915 7.6408 8.2963 7.7881 7.6405
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd176437_v2.fits stis_ngsl_v2 0 3.0994 3.389 3.6152 3.0979 3.3929 3.6157
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd185144_v2.fits stis_ngsl_v2 0 4.9738 4.374 4.2111 4.9782 4.3701 4.2109
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd057727_v2.fits stis_ngsl_v2 0 5.37 4.6944 4.5088 5.3749 4.6901 4.5085
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_g188-30_v2.fits stis_ngsl_v2 0 11.4832 11.0542 10.9248 11.4871 11.0513 10.9246
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_bd+112998_v2.fits stis_ngsl_v2 0 9.3254 8.8497 8.6709 9.3288 8.846 8.6706
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd204155_v2.fits stis_ngsl_v2 0 8.68 8.3143 8.2163 8.6835 8.312 8.2162
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_g029-023_v2.fits stis_ngsl_v2 0 10.3962 10.0949 10.0332 10.3983 10.0933 10.0331
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd122956_v2.fits stis_ngsl_v2 0 7.6671 6.8552 6.551 7.6728 6.8488 6.5506
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd128279_v2.fits stis_ngsl_v2 0 8.2929 7.7863 7.597 8.2964 7.7822 7.5968
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd205811_v2.fits stis_ngsl_v2 0 6.0536 6.3203 6.547 6.0517 6.3242 6.5475
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd217107_v2.fits stis_ngsl_v2 0 6.4324 5.9281 5.8184 6.4363 5.9254 5.8182
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_g194-22_v2.fits stis_ngsl_v2 0 9.9337 9.7091 9.6773 9.9358 9.7081 9.6773
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd039587_v2.fits stis_ngsl_v2 0 4.5696 4.1906 4.1283 4.5728 4.1887 4.1282
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_g24-3_v2.fits stis_ngsl_v2 0 10.6296 10.3015 10.2017 10.6317 10.2991 10.2016
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd163810_v2.fits stis_ngsl_v2 0 10.1636 9.7825 9.6965 10.1667 9.7803 9.6964
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd108945_v2.fits stis_ngsl_v2 0 5.3854 5.6133 5.872 5.3836 5.6178 5.8725
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd085380_v2.fits stis_ngsl_v2 0 6.6123 6.2524 6.1859 6.6152 6.2504 6.1859
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd002665_v2.fits stis_ngsl_v2 0 8.0693 7.4442 7.2104 8.0739 7.4393 7.21
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_lhs482_v2.fits stis_ngsl_v2 0 12.7745 11.2571 10.3968 12.7787 11.2456 10.3956
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd065354_v2.fits stis_ngsl_v2 0 7.5513 6.1998 5.6959 7.5571 6.19 5.695
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd167006_v2.fits stis_ngsl_v2 0 5.635 4.1685 3.2035 5.6432 4.1542 3.2022
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd204867_v2.fits stis_ngsl_v2 0 3.1861 2.6172 2.4884 3.19 2.614 2.4882
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd222404_v2.fits stis_ngsl_v2 0 3.6227 2.8384 2.6086 3.6273 2.8334 2.6082
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd174240_v2.fits stis_ngsl_v2 0 6.1168 6.3508 6.5592 6.1152 6.3544 6.5596
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd134113_v2.fits stis_ngsl_v2 0 8.4611 8.0729 7.9692 8.4645 8.0704 7.969
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd105546_v2.fits stis_ngsl_v2 0 8.8874 8.3812 8.2164 8.891 8.3775 8.2162
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd148293_v2.fits stis_ngsl_v2 0 5.7106 4.8611 4.6113 5.7153 4.8556 4.6109
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd212593_v2.fits stis_ngsl_v2 0 4.4853 4.6133 4.7837 4.4849 4.616 4.7841
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd005544_v2.fits stis_ngsl_v2 0 8.0974 7.2202 6.9343 8.1027 7.2142 6.9338
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd232078_v2.fits stis_ngsl_v2 0 9.3835 7.6102 6.8703 9.3894 7.5955 6.8691
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd196218_v2.fits stis_ngsl_v2 0 7.5766 7.2848 7.223 7.5789 7.283 7.223
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd076932_v2.fits stis_ngsl_v2 0 5.9581 5.631 5.5477 5.9611 5.629 5.5476
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd190404_v2.fits stis_ngsl_v2 0 7.6385 6.9871 6.8082 7.6426 6.983 6.8079
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd000886_v2.fits stis_ngsl_v2 0 2.5955 3.0722 3.4327 2.5931 3.0781 3.4334
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd167946_v2.fits stis_ngsl_v2 0 7.2476 7.4664 7.6993 7.2459 7.4703 7.6998
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd210745_v2.fits stis_ngsl_v2 0 4.0396 2.7688 2.3657 4.0457 2.7605 2.365
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd004727_v2.fits stis_ngsl_v2 0 4.3327 4.7191 5.0385 4.3305 4.7243 5.0391
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_g169-28_v2.fits stis_ngsl_v2 0 11.5219 11.1817 11.0913 11.5251 11.1796 11.0912
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd029391_v2.fits stis_ngsl_v2 0 5.1987 5.1783 5.2645 5.1988 5.1796 5.2648
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd009051_v2.fits stis_ngsl_v2 0 9.2854 8.648 8.4332 9.2904 8.6433 8.4328
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd041667_v2.fits stis_ngsl_v2 0 8.8844 8.123 7.8317 8.8901 8.117 7.8312
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd065228_v2.fits stis_ngsl_v2 0 4.4116 3.9443 3.834 4.4146 3.9414 3.8338
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd173819_v2.fits stis_ngsl_v2 0 6.5836 5.3387 4.5908 6.5915 5.3274 4.5897
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd005395_v2.fits stis_ngsl_v2 0 4.993 4.2791 4.0472 4.9984 4.2742 4.0469
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd103036_v2.fits stis_ngsl_v2 0 8.6834 7.6594 7.3014 8.6895 7.6518 7.3008
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_gj825_v2.fits stis_ngsl_v2 0 7.3595 5.9761 5.319 7.3631 5.9655 5.318
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd043042_v2.fits stis_ngsl_v2 0 5.3468 5.1136 5.1308 5.3486 5.1132 5.1308
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd143459_v2.fits stis_ngsl_v2 0 5.4513 5.6745 5.8539 5.4498 5.6777 5.8543
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd164402_v2.fits stis_ngsl_v2 0 5.578 5.8137 6.0497 5.5771 5.8174 6.0502
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd175640_v2.fits stis_ngsl_v2 0 6.0538 6.3413 6.6009 6.0522 6.3456 6.6014
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd146051_v2.fits stis_ngsl_v2 0 3.4442 2.0857 1.3756 3.4507 2.0741 1.3745
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd105740_v2.fits stis_ngsl_v2 0 8.8185 8.052 7.7791 8.8237 8.0463 7.7787
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd113002_v2.fits stis_ngsl_v2 0 9.0184 8.4626 8.2766 9.0229 8.4585 8.2763
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd174959_v2.fits stis_ngsl_v2 0 5.919 6.2611 6.5526 5.917 6.2659 6.5532
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd074721_v2.fits stis_ngsl_v2 0 8.5767 8.8061 9.0148 8.5751 8.8097 9.0153
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hr0753_v2.fits stis_ngsl_v2 0 6.6181 5.8704 5.6657 6.6214 5.8661 5.6654
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_bd511696_v2.fits stis_ngsl_v2 0 10.1269 9.7293 9.6343 10.1302 9.7269 9.6342
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd128801_v2.fits stis_ngsl_v2 0 8.632 8.9125 9.1627 8.6301 8.9167 9.1632
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd027295_v2.fits stis_ngsl_v2 0 5.3172 5.6726 5.9528 5.3152 5.6775 5.9534
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hr8086_v2.fits stis_ngsl_v2 0 6.7009 5.3973 4.8569 6.7036 5.388 4.8561
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd010780_v2.fits stis_ngsl_v2 0 5.9233 5.3462 5.1938 5.9275 5.3426 5.1936
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd113092_v2.fits stis_ngsl_v2 0 5.9269 4.8693 4.484 5.933 4.8615 4.4833
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd083212_v2.fits stis_ngsl_v2 0 8.7838 7.9159 7.5985 8.7895 7.9093 7.598
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_bd413931_v2.fits stis_ngsl_v2 0 10.533 10.0865 9.972 10.5371 10.0837 9.9719
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd147394_v2.fits stis_ngsl_v2 0 3.6636 4.0823 4.4009 3.6614 4.0877 4.4016
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd102212_v2.fits stis_ngsl_v2 0 4.6879 3.3857 2.7023 4.6947 3.3746 2.7012
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd140232_v2.fits stis_ngsl_v2 0 5.7897 5.8412 5.9636 5.7884 5.8431 5.9639
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_bd+363168_v2.fits stis_ngsl_v2 0 10.3323 6.1837 4.8452 10.3328 6.1581 4.8434
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd197177_v2.fits stis_ngsl_v2 0 6.0699 5.2932 5.0641 6.0749 5.2881 5.0637
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd205202_v2.fits stis_ngsl_v2 0 8.2085 8.0007 7.9717 8.21 7.9997 7.9717
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd159181_v2.fits stis_ngsl_v2 0 3.1526 2.4538 2.2452 3.1574 2.4492 2.2449
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd149382_v2.fits stis_ngsl_v2 0 8.6804 9.2167 9.6066 8.6778 9.2233 9.6074
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd048279_v2.fits stis_ngsl_v2 0 7.9108 7.9734 8.102 7.9109 7.9755 8.1023
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd161770_v2.fits stis_ngsl_v2 0 9.9639 9.4126 9.2066 9.967 9.4082 9.2063
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd017925_v2.fits stis_ngsl_v2 0 6.3987 5.7241 5.5602 6.4029 5.7201 5.5599
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_g20-15_v2.fits stis_ngsl_v2 0 10.8464 10.3673 10.2088 10.8493 10.3639 10.2086
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_g243-62_v2.fits stis_ngsl_v2 0 11.9006 11.1951 10.9411 11.9044 11.1898 10.9407
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd156283_v2.fits stis_ngsl_v2 0 3.7653 2.6093 2.2133 3.7708 2.6013 2.2126
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd166208_v2.fits stis_ngsl_v2 0 5.3429 4.6622 4.4617 5.3469 4.6577 4.4614
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd060319_v2.fits stis_ngsl_v2 0 9.0799 8.7519 8.6764 9.0828 8.75 8.6763
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd052973_v2.fits stis_ngsl_v2 0 4.173 3.5702 3.4254 4.1769 3.5666 3.4252
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd034797_v2.fits stis_ngsl_v2 0 6.3608 6.7105 6.9933 6.3586 6.7153 6.9939
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd175545_v2.fits stis_ngsl_v2 0 7.8925 6.9385 6.6337 7.8971 6.9321 6.6332
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd095735_v2.fits stis_ngsl_v2 0 8.1801 6.7408 5.7337 8.1864 6.7269 5.7323
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd136726_v2.fits stis_ngsl_v2 0 5.5969 4.4624 4.0821 5.6021 4.4546 4.0815
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd040573_v2.fits stis_ngsl_v2 0 7.3392 7.6248 7.8657 7.3371 7.6289 7.8662
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd204041_v2.fits stis_ngsl_v2 0 6.3956 6.5021 6.6381 6.3945 6.5044 6.6384
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd028946_v2.fits stis_ngsl_v2 0 8.2086 7.6451 7.4973 8.213 7.6415 7.4971
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd143107_v2.fits stis_ngsl_v2 0 4.7006 3.7385 3.4357 4.706 3.7321 3.4352
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_g202-65_v2.fits stis_ngsl_v2 0 11.6048 11.5305 11.5844 11.6056 11.5311 11.5845
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd204543_v2.fits stis_ngsl_v2 0 8.7157 7.9793 7.7093 8.7206 7.9736 7.7089
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd172230_v2.fits stis_ngsl_v2 0 7.1778 7.1838 7.2875 7.1774 7.1854 7.2877
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd160922_v2.fits stis_ngsl_v2 0 4.8747 4.6582 4.6478 4.8763 4.6575 4.6479
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd082395_v2.fits stis_ngsl_v2 0 5.3939 4.5966 4.3682 5.3991 4.5915 4.3679
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_g262-14_v2.fits stis_ngsl_v2 0 11.7912 11.1669 10.9409 11.7954 11.1624 10.9406
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd026297_v2.fits stis_ngsl_v2 0 7.9528 7.0199 6.669 7.9587 7.0126 6.6685
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd110885_v2.fits stis_ngsl_v2 0 9.4021 8.9653 8.832 9.4052 8.9622 8.8318
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd201377_v2.fits stis_ngsl_v2 0 6.6362 6.7329 6.8717 6.6353 6.7351 6.872
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_g13-35_v2.fits stis_ngsl_v2 0 9.7975 9.5266 9.4626 9.7994 9.5249 9.4625
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd050420_v2.fits stis_ngsl_v2 0 6.2075 6.1022 6.1309 6.2078 6.1022 6.1311
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd206778_v2.fits stis_ngsl_v2 0 3.1285 1.8583 1.4696 3.1346 1.85 1.4689
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_g188-22_v2.fits stis_ngsl_v2 0 10.243 9.9273 9.8603 10.2452 9.9254 9.8603
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd093813_v2.fits stis_ngsl_v2 0 3.6202 2.6399 2.3155 3.6258 2.6331 2.315
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd175865_v2.fits stis_ngsl_v2 0 4.6204 3.0552 1.3568 4.6308 3.0336 1.3547
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd006734_v2.fits stis_ngsl_v2 0 6.7784 6.1313 5.9351 6.7832 6.1269 5.9348
