survey version standard shift  SDSS-G SDSS-R SDSS-I SDSS-Z SDSS-g SDSS-r SDSS-i SDSS-z 
SDSS SDSS gd153 0 13.0691 13.5686 13.9427 14.2858 13.0741 13.5686 13.9427 14.2858
SDSS SDSS gd153 0 13.0702 13.5688 13.9424 14.2854 13.0752 13.5688 13.9424 14.2854
SDSS SDSS gd153 0 13.0697 13.5694 13.9439 14.2877 13.0747 13.5694 13.9439 14.2877
SDSS SDSS gd153 0 13.0692 13.5673 13.9408 14.2837 13.0742 13.5673 13.9408 14.2837
SDSS SDSS gd153 0 13.0704 13.569 13.9428 14.2859 13.0754 13.569 13.9428 14.2859
SDSS SDSS gd153 0 13.0689 13.5667 13.94 14.2828 13.0739 13.5667 13.94 14.2828
SDSS SDSS gd153 0 13.0707 13.5691 13.9425 14.285 13.0757 13.5691 13.9425 14.285
SDSS SDSS gd153 0 13.0707 13.5697 13.9438 14.2872 13.0757 13.5697 13.9438 14.2872
SDSS SDSS gd153 0 13.0703 13.5692 13.9432 14.2865 13.0754 13.5692 13.9432 14.2865
SDSS SDSS gd153 0 13.0711 13.569 13.942 14.2844 13.0761 13.569 13.942 14.2844
SDSS SDSS gd153 0 13.0722 13.5702 13.9436 14.2864 13.0772 13.5702 13.9436 14.2864
SDSS SDSS gd153 0 13.0701 13.5687 13.9425 14.2856 13.0751 13.5687 13.9425 14.2856
SDSS SDSS gd153 0 13.0712 13.5687 13.9417 14.2843 13.0762 13.5687 13.9417 14.2843
SDSS SDSS gd153 0 13.072 13.5698 13.9432 14.2861 13.077 13.5698 13.9432 14.2861
SDSS SDSS gd153 0 13.0702 13.5687 13.9423 14.2851 13.0753 13.5687 13.9423 14.2851
SDSS SDSS gd153 0 13.0699 13.5675 13.9407 14.2835 13.0749 13.5675 13.9407 14.2835
SDSS SDSS gd153 0 13.0684 13.5684 13.9431 14.2867 13.0735 13.5684 13.9431 14.2867
SDSS SDSS gd153 0 13.0716 13.5697 13.943 14.2855 13.0767 13.5697 13.943 14.2855
SDSS SDSS gd153 0 13.07 13.5684 13.942 14.285 13.075 13.5684 13.942 14.285
SDSS SDSS gd153 0 13.0712 13.5696 13.9434 14.2868 13.0762 13.5696 13.9434 14.2868
SDSS SDSS gd153 0 13.0708 13.5689 13.9419 14.2839 13.0758 13.5689 13.9419 14.2839
SDSS SDSS gd153 0 13.0695 13.5678 13.9414 14.2843 13.0745 13.5678 13.9414 14.2843
SDSS SDSS gd153 0 13.0706 13.5697 13.9436 14.2866 13.0756 13.5697 13.9436 14.2866
SDSS SDSS gd153 0 13.0692 13.5685 13.9426 14.2858 13.0742 13.5685 13.9426 14.2858
SDSS SDSS gd153 0 13.07 13.5686 13.9424 14.2855 13.075 13.5686 13.9424 14.2855
SDSS SDSS gd153 0 13.0705 13.569 13.9426 14.2854 13.0755 13.569 13.9426 14.2854
SDSS SDSS gd153 0 13.0692 13.5671 13.9406 14.2835 13.0742 13.5671 13.9406 14.2835
SDSS SDSS gd153 0 13.0706 13.5684 13.9416 14.2842 13.0756 13.5684 13.9416 14.2842
SDSS SDSS gd153 0 13.0698 13.5682 13.9419 14.285 13.0748 13.5682 13.9419 14.285
SDSS SDSS gd153 0 13.0701 13.5686 13.9422 14.285 13.0752 13.5686 13.9422 14.285
SDSS SDSS gd153 0 13.07 13.5672 13.9401 14.2825 13.075 13.5672 13.9401 14.2825
SDSS SDSS gd153 0 13.0693 13.5681 13.9419 14.2851 13.0743 13.5681 13.9419 14.2851
SDSS SDSS gd153 0 13.0707 13.5699 13.944 14.2873 13.0758 13.5699 13.944 14.2873
SDSS SDSS gd153 0 13.0698 13.5688 13.9428 14.286 13.0748 13.5688 13.9428 14.286
SDSS SDSS gd153 0 13.0701 13.5683 13.9418 14.2847 13.0751 13.5683 13.9418 14.2847
SDSS SDSS gd153 0 13.0701 13.568 13.9414 14.2842 13.0751 13.568 13.9414 14.2842
SDSS SDSS gd153 0 13.0712 13.5697 13.943 14.2855 13.0762 13.5697 13.943 14.2855
SDSS SDSS gd153 0 13.0706 13.569 13.9425 14.2853 13.0756 13.569 13.9425 14.2853
SDSS SDSS gd71 0 12.7722 13.2488 13.6138 13.9542 12.7766 13.2488 13.6138 13.9542
SDSS SDSS gd71 0 12.7706 13.2475 13.6126 13.9529 12.775 13.2475 13.6126 13.9529
SDSS SDSS gd71 0 12.7719 13.2473 13.6115 13.9511 12.7762 13.2473 13.6115 13.9511
SDSS SDSS gd71 0 12.7708 13.2465 13.611 13.9513 12.7751 13.2465 13.611 13.9513
SDSS SDSS gd71 0 12.7724 13.248 13.6123 13.9521 12.7767 13.248 13.6123 13.9521
SDSS SDSS gd71 0 12.7728 13.2492 13.6139 13.954 12.7771 13.2492 13.6139 13.954
SDSS SDSS gd71 0 12.7721 13.2481 13.6126 13.9525 12.7764 13.2481 13.6126 13.9525
SDSS SDSS gd71 0 12.7704 13.2481 13.6139 13.955 12.7747 13.2481 13.6139 13.955
SDSS SDSS gd71 0 12.7712 13.2474 13.6121 13.9521 12.7755 13.2474 13.6121 13.9521
SDSS SDSS gd71 0 12.7719 13.2483 13.6132 13.9535 12.7762 13.2483 13.6132 13.9535
SDSS SDSS gd71 0 12.7734 13.2496 13.6141 13.954 12.7778 13.2496 13.6141 13.954
SDSS SDSS gd71 0 12.7708 13.2464 13.6105 13.9501 12.7752 13.2464 13.6105 13.9501
SDSS SDSS gd71 0 12.7711 13.2473 13.6119 13.9519 12.7754 13.2473 13.6119 13.9519
SDSS SDSS gd71 0 12.773 13.249 13.6133 13.953 12.7773 13.249 13.6133 13.953
SDSS SDSS gd71 0 12.7698 13.2466 13.6116 13.9521 12.7742 13.2466 13.6116 13.9521
SDSS SDSS gd71 0 12.7718 13.2482 13.6129 13.9529 12.7761 13.2482 13.6129 13.9529
SDSS SDSS gd71 0 12.7704 13.2469 13.6119 13.9524 12.7747 13.2469 13.6119 13.9524
SDSS SDSS gd71 0 12.7719 13.2482 13.6129 13.9531 12.7762 13.2482 13.6129 13.9531
SDSS SDSS gd71 0 12.771 13.2462 13.6102 13.9498 12.7754 13.2462 13.6102 13.9498
SDSS SDSS gd71 0 12.7726 13.2484 13.6128 13.9526 12.7769 13.2484 13.6128 13.9526
SDSS SDSS gd71 0 12.7704 13.2467 13.6113 13.9513 12.7748 13.2467 13.6113 13.9513
SDSS SDSS gd71 0 12.7726 13.249 13.6138 13.9539 12.777 13.249 13.6138 13.9539
SDSS SDSS gd71 0 12.77 13.2465 13.6114 13.9516 12.7743 13.2465 13.6114 13.9516
SDSS SDSS gd71 0 12.7706 13.2471 13.6121 13.9524 12.7749 13.2471 13.6121 13.9524
SDSS SDSS gd71 0 12.7727 13.2481 13.6121 13.9518 12.777 13.2481 13.6121 13.9518
SDSS SDSS gd71 0 12.7723 13.2479 13.6123 13.9522 12.7767 13.2479 13.6123 13.9522
SDSS SDSS gd71 0 12.771 13.2481 13.6134 13.954 12.7753 13.2481 13.6134 13.954
SDSS SDSS gd71 0 12.7727 13.2482 13.6125 13.9525 12.777 13.2482 13.6125 13.9525
SDSS SDSS gd71 0 12.7709 13.2484 13.6141 13.955 12.7752 13.2484 13.6141 13.955
SDSS SDSS gd71 0 12.7712 13.2474 13.6122 13.9527 12.7755 13.2474 13.6122 13.9527
SDSS SDSS gd71 0 12.7711 13.2483 13.6135 13.954 12.7754 13.2483 13.6135 13.954
SDSS SDSS gd71 0 12.7721 13.2489 13.6141 13.9547 12.7764 13.2489 13.6141 13.9547
SDSS SDSS gd71 0 12.7703 13.2461 13.6108 13.9511 12.7746 13.2461 13.6108 13.9511
SDSS SDSS gd71 0 12.7715 13.2477 13.6124 13.9526 12.7758 13.2477 13.6124 13.9526
SDSS SDSS gd71 0 12.7705 13.2481 13.6135 13.9539 12.7749 13.2481 13.6135 13.9539
SDSS SDSS gd71 0 12.7732 13.2499 13.6147 13.9548 12.7776 13.2499 13.6147 13.9548
SDSS SDSS gd71 0 12.7719 13.2473 13.6115 13.9512 12.7762 13.2473 13.6115 13.9512
SDSS SDSS gd71 0 12.7708 13.2482 13.6137 13.9543 12.7751 13.2482 13.6137 13.9543
SDSS SDSS gd71 0 12.7727 13.2485 13.6131 13.9533 12.777 13.2485 13.6131 13.9533
SDSS SDSS gd71 0 12.772 13.2484 13.6131 13.9531 12.7764 13.2484 13.6131 13.9531
SDSS SDSS gd71 0 12.7719 13.248 13.6127 13.9529 12.7762 13.248 13.6127 13.9529
SDSS SDSS gd71 0 12.7705 13.247 13.6118 13.952 12.7749 13.247 13.6118 13.952
SDSS SDSS gd71 0 12.7703 13.2471 13.6124 13.953 12.7746 13.2471 13.6124 13.953
SDSS SDSS gd71 0 12.7722 13.2488 13.6137 13.9539 12.7765 13.2488 13.6137 13.9539
SDSS SDSS gd71 0 12.7719 13.2488 13.6139 13.9542 12.7762 13.2488 13.6139 13.9542
SDSS SDSS gd71 0 12.7703 13.2471 13.6123 13.9528 12.7747 13.2471 13.6123 13.9528
SDSS SDSS gd71 0 12.7717 13.248 13.6128 13.953 12.776 13.248 13.6128 13.953
SDSS SDSS gd71 0 12.7712 13.2486 13.614 13.9546 12.7756 13.2486 13.614 13.9546
SDSS SDSS gd71 0 12.772 13.2488 13.6139 13.9543 12.7763 13.2488 13.6139 13.9543
SDSS SDSS gd71 0 12.7717 13.248 13.6128 13.9529 12.7761 13.248 13.6128 13.9529
SDSS SDSS gd71 0 12.7695 13.2475 13.6133 13.9542 12.7739 13.2475 13.6133 13.9542
SDSS SDSS gd71 0 12.7717 13.2483 13.6132 13.9535 12.7761 13.2483 13.6132 13.9535
SDSS SDSS gd71 0 12.7724 13.2479 13.612 13.9516 12.7768 13.2479 13.612 13.9516
SDSS SDSS gd71 0 12.7708 13.2465 13.6109 13.9509 12.7751 13.2465 13.6109 13.9509
SDSS SDSS gd71 0 12.7727 13.2491 13.6138 13.9538 12.777 13.2491 13.6138 13.9538
SDSS SDSS gd71 0 12.7726 13.2487 13.6131 13.9529 12.777 13.2487 13.6131 13.9529
SDSS SDSS gd71 0 12.7714 13.2476 13.6122 13.9521 12.7757 13.2476 13.6122 13.9521
SDSS SDSS gd71 0 12.7713 13.2482 13.6134 13.954 12.7756 13.2482 13.6134 13.954
SDSS SDSS gd71 0 12.7721 13.2486 13.6135 13.954 12.7764 13.2486 13.6135 13.954
SDSS SDSS gd71 0 12.772 13.2475 13.6117 13.9515 12.7764 13.2475 13.6117 13.9515
SDSS SDSS gd71 0 12.7722 13.248 13.6123 13.9522 12.7766 13.248 13.6123 13.9522
