survey version standard standard_catagory shift PS1SN-g PS1SN-r PS1SN-i PS1SN-z 
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd132345_v2.fits stis_ngsl_v2 0 6.3358 5.4864 5.1784 5.0047
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd091316_v2.fits stis_ngsl_v2 0 3.6689 3.9915 4.2764 4.4916
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd117880_v2.fits stis_ngsl_v2 0 9.008 9.1634 9.3507 9.442
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_cd-621346_v2.fits stis_ngsl_v2 0 10.0642 9.6358 9.4698 9.4007
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_gl109_v2.fits stis_ngsl_v2 0 11.2168 10.01 8.7982 8.2655
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd016031_v2.fits stis_ngsl_v2 0 9.8984 9.669 9.5799 9.5716
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_bd371458_v2.fits stis_ngsl_v2 0 9.1916 8.8331 8.7055 8.6538
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd081797_v2.fits stis_ngsl_v2 0 2.6814 1.6713 1.2751 1.0614
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd067390_v2.fits stis_ngsl_v2 0 9.6009 9.4936 9.512 9.5518
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd061603_v2.fits stis_ngsl_v2 0 6.5244 5.403 4.842 4.5625
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd062412_v2.fits stis_ngsl_v2 0 5.9702 5.3421 5.1116 5.0109
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd031219_v2.fits stis_ngsl_v2 0 8.3372 8.0365 7.9909 8.012
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd002857_v2.fits stis_ngsl_v2 0 10.2879 10.4106 10.5331 10.5828
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd114710_v2.fits stis_ngsl_v2 0 4.4105 4.0916 3.9979 3.9976
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd198809_v2.fits stis_ngsl_v2 0 4.8364 4.3158 4.131 4.0692
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_g88-27_v2.fits stis_ngsl_v2 0 10.8348 10.5832 10.5023 10.4981
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd210807_v2.fits stis_ngsl_v2 0 5.1415 4.5505 4.3557 4.279
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd201091_v2.fits stis_ngsl_v2 0 5.7061 4.7783 4.3906 4.2118
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd165341_v2.fits stis_ngsl_v2 0 4.515 3.9802 3.8097 3.7607
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd131873_v2.fits stis_ngsl_v2 0 2.6697 1.6098 1.1315 0.8993
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_cd-3018140_v2.fits stis_ngsl_v2 0 10.1554 9.9854 9.9477 9.9553
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd184266_v2.fits stis_ngsl_v2 0 7.8097 7.4366 7.2833 7.2323
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd057060_v2.fits stis_ngsl_v2 0 5.1133 5.4192 5.693 5.8797
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd045282_v2.fits stis_ngsl_v2 0 8.2695 7.8359 7.6704 7.604
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd176437_v2.fits stis_ngsl_v2 0 3.1235 3.3671 3.5809 3.6672
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd185144_v2.fits stis_ngsl_v2 0 4.9432 4.4238 4.238 4.1856
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd057727_v2.fits stis_ngsl_v2 0 5.3318 4.7478 4.5413 4.4631
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_g188-30_v2.fits stis_ngsl_v2 0 11.4625 11.093 10.9498 10.8935
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_bd+112998_v2.fits stis_ngsl_v2 0 9.3054 8.8962 8.7045 8.6222
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd204155_v2.fits stis_ngsl_v2 0 8.6647 8.3481 8.2339 8.2087
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_g029-023_v2.fits stis_ngsl_v2 0 10.3873 10.1232 10.0446 10.0459
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd122956_v2.fits stis_ngsl_v2 0 7.6216 6.9262 6.6067 6.4535
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd128279_v2.fits stis_ngsl_v2 0 8.2708 7.8354 7.6324 7.5518
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd205811_v2.fits stis_ngsl_v2 0 6.0774 6.2985 6.5059 6.6481
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd217107_v2.fits stis_ngsl_v2 0 6.4065 5.9682 5.8382 5.8024
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_g194-22_v2.fits stis_ngsl_v2 0 9.9274 9.731 9.6849 9.6891
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd039587_v2.fits stis_ngsl_v2 0 4.5533 4.2226 4.1374 4.1399
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_g24-3_v2.fits stis_ngsl_v2 0 10.6194 10.3354 10.2194 10.1992
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd163810_v2.fits stis_ngsl_v2 0 10.1484 9.8156 9.7128 9.6888
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd108945_v2.fits stis_ngsl_v2 0 5.4075 5.5902 5.8262 5.9719
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd085380_v2.fits stis_ngsl_v2 0 6.598 6.2842 6.1961 6.199
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd002665_v2.fits stis_ngsl_v2 0 8.0375 7.5013 7.2534 7.1459
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_lhs482_v2.fits stis_ngsl_v2 0 12.6783 11.3846 10.5604 10.1675
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd065354_v2.fits stis_ngsl_v2 0 7.4602 6.3025 5.7899 5.5096
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd167006_v2.fits stis_ngsl_v2 0 5.5436 4.3198 3.3712 2.9415
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd204867_v2.fits stis_ngsl_v2 0 3.156 2.6615 2.5085 2.4672
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd222404_v2.fits stis_ngsl_v2 0 3.5754 2.8974 2.6527 2.5354
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd174240_v2.fits stis_ngsl_v2 0 6.1384 6.3322 6.5231 6.6347
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd134113_v2.fits stis_ngsl_v2 0 8.445 8.1086 7.9882 7.9703
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd105546_v2.fits stis_ngsl_v2 0 8.8641 8.4277 8.2454 8.1839
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd148293_v2.fits stis_ngsl_v2 0 5.6579 4.9239 4.6585 4.5281
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd212593_v2.fits stis_ngsl_v2 0 4.4985 4.6004 4.7605 4.8207
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd005544_v2.fits stis_ngsl_v2 0 8.0438 7.288 6.9877 6.8373
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd232078_v2.fits stis_ngsl_v2 0 9.2606 7.7615 7.0016 6.61
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd196218_v2.fits stis_ngsl_v2 0 7.5667 7.3137 7.2316 7.2422
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd076932_v2.fits stis_ngsl_v2 0 5.9452 5.6619 5.5636 5.5413
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd190404_v2.fits stis_ngsl_v2 0 7.605 7.0389 6.8395 6.7684
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd000886_v2.fits stis_ngsl_v2 0 2.6272 3.0307 3.3687 3.609
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd167946_v2.fits stis_ngsl_v2 0 7.2685 7.4465 7.657 7.799
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd210745_v2.fits stis_ngsl_v2 0 3.9514 2.857 2.4406 2.215
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd004727_v2.fits stis_ngsl_v2 0 4.3608 4.6852 4.9809 5.1928
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_g169-28_v2.fits stis_ngsl_v2 0 11.5097 11.2154 11.1088 11.0831
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd029391_v2.fits stis_ngsl_v2 0 5.2061 5.1811 5.2485 5.3249
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd009051_v2.fits stis_ngsl_v2 0 9.2521 8.7038 8.4723 8.3773
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd041667_v2.fits stis_ngsl_v2 0 8.8417 8.1908 7.8858 7.7367
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd065228_v2.fits stis_ngsl_v2 0 4.3892 3.9833 3.8516 3.8149
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd173819_v2.fits stis_ngsl_v2 0 6.5021 5.4567 4.7332 4.3516
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd005395_v2.fits stis_ngsl_v2 0 4.9511 4.3373 4.0904 3.9771
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd103036_v2.fits stis_ngsl_v2 0 8.6221 7.743 7.3659 7.1853
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_gj825_v2.fits stis_ngsl_v2 0 7.2786 6.0915 5.4374 5.152
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd043042_v2.fits stis_ngsl_v2 0 5.3416 5.1325 5.1257 5.173
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd143459_v2.fits stis_ngsl_v2 0 5.4729 5.6593 5.8242 5.9079
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd164402_v2.fits stis_ngsl_v2 0 5.5977 5.7924 6.0076 6.1671
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd175640_v2.fits stis_ngsl_v2 0 6.0771 6.3163 6.5551 6.7109
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd146051_v2.fits stis_ngsl_v2 0 3.3564 2.2066 1.5015 1.1725
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd105740_v2.fits stis_ngsl_v2 0 8.7757 8.1169 7.8295 7.6958
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd113002_v2.fits stis_ngsl_v2 0 8.9904 8.5122 8.3115 8.2291
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd174959_v2.fits stis_ngsl_v2 0 5.9451 6.2314 6.5006 6.6861
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd074721_v2.fits stis_ngsl_v2 0 8.5986 8.7871 8.9807 9.0778
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hr0753_v2.fits stis_ngsl_v2 0 6.581 5.9264 5.7057 5.5969
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_bd511696_v2.fits stis_ngsl_v2 0 10.1105 9.7652 9.6504 9.63
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd128801_v2.fits stis_ngsl_v2 0 8.6562 8.8888 9.1195 9.2564
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd027295_v2.fits stis_ngsl_v2 0 5.3445 5.6426 5.9047 6.0695
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hr8086_v2.fits stis_ngsl_v2 0 6.6262 5.5002 4.9557 4.7105
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd010780_v2.fits stis_ngsl_v2 0 5.8937 5.3933 5.2207 5.165
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd113092_v2.fits stis_ngsl_v2 0 5.8598 4.9532 4.5561 4.3515
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd083212_v2.fits stis_ngsl_v2 0 8.7338 7.99 7.6559 7.4978
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_bd413931_v2.fits stis_ngsl_v2 0 10.5122 10.1257 9.9927 9.9575
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd147394_v2.fits stis_ngsl_v2 0 3.6932 4.0459 4.3458 4.5415
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd102212_v2.fits stis_ngsl_v2 0 4.6059 3.5032 2.8233 2.5077
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd140232_v2.fits stis_ngsl_v2 0 5.804 5.839 5.9404 6.0393
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_bd+363168_v2.fits stis_ngsl_v2 0 10.0254 6.429 5.1217 4.3378
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd197177_v2.fits stis_ngsl_v2 0 6.0233 5.3531 5.1057 4.9968
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd205202_v2.fits stis_ngsl_v2 0 8.2055 8.0227 7.9776 7.9897
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd159181_v2.fits stis_ngsl_v2 0 3.1123 2.5102 2.2807 2.192
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd149382_v2.fits stis_ngsl_v2 0 8.7151 9.1707 9.5367 9.8081
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd048279_v2.fits stis_ngsl_v2 0 7.9205 7.9669 8.0809 8.1812
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd161770_v2.fits stis_ngsl_v2 0 9.9408 9.4658 9.2437 9.1522
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd017925_v2.fits stis_ngsl_v2 0 6.3624 5.7755 5.5871 5.5322
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_g20-15_v2.fits stis_ngsl_v2 0 10.8278 10.4126 10.2375 10.1732
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_g243-62_v2.fits stis_ngsl_v2 0 11.8647 11.256 10.9871 10.867
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd156283_v2.fits stis_ngsl_v2 0 3.6885 2.6946 2.2867 2.0733
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd166208_v2.fits stis_ngsl_v2 0 5.3056 4.7165 4.498 4.4048
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd060319_v2.fits stis_ngsl_v2 0 9.0673 8.7823 8.6897 8.6769
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd052973_v2.fits stis_ngsl_v2 0 4.1411 3.6174 3.4471 3.4004
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd034797_v2.fits stis_ngsl_v2 0 6.3883 6.6812 6.9432 7.1211
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd175545_v2.fits stis_ngsl_v2 0 7.834 7.0106 6.6901 6.5305
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd095735_v2.fits stis_ngsl_v2 0 8.0909 6.8885 5.9139 5.4767
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd136726_v2.fits stis_ngsl_v2 0 5.5245 4.5471 4.1515 3.9563
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd040573_v2.fits stis_ngsl_v2 0 7.3645 7.6021 7.8222 7.9723
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd204041_v2.fits stis_ngsl_v2 0 6.4119 6.495 6.6146 6.7086
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd028946_v2.fits stis_ngsl_v2 0 8.1791 7.6916 7.5223 7.4738
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd143107_v2.fits stis_ngsl_v2 0 4.6394 3.8098 3.4918 3.3323
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_g202-65_v2.fits stis_ngsl_v2 0 11.6089 11.5392 11.5754 11.6255
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd204543_v2.fits stis_ngsl_v2 0 8.6753 8.0437 7.7579 7.631
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd172230_v2.fits stis_ngsl_v2 0 7.1875 7.1839 7.2691 7.3326
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd160922_v2.fits stis_ngsl_v2 0 4.8701 4.6784 4.6492 4.6764
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd082395_v2.fits stis_ngsl_v2 0 5.3453 4.6566 4.4107 4.297
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_g262-14_v2.fits stis_ngsl_v2 0 11.7609 11.2226 10.9824 10.8856
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd026297_v2.fits stis_ngsl_v2 0 7.8984 7.1004 6.731 6.5634
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd110885_v2.fits stis_ngsl_v2 0 9.3837 9.0059 8.8551 8.8135
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd201377_v2.fits stis_ngsl_v2 0 6.6514 6.7275 6.8452 6.9506
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_g13-35_v2.fits stis_ngsl_v2 0 9.7908 9.5549 9.4756 9.4697
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd050420_v2.fits stis_ngsl_v2 0 6.2116 6.1152 6.1256 6.1537
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd206778_v2.fits stis_ngsl_v2 0 3.0419 1.9476 1.5372 1.3416
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_g188-22_v2.fits stis_ngsl_v2 0 10.2327 9.9581 9.8702 9.8695
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd093813_v2.fits stis_ngsl_v2 0 3.5583 2.715 2.3748 2.2103
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd175865_v2.fits stis_ngsl_v2 0 4.5415 3.3033 1.6275 0.8823
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd006734_v2.fits stis_ngsl_v2 0 6.7428 6.185 5.9692 5.8912
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd038237_v2.fits stis_ngsl_v2 0 7.1306 7.2146 7.3513 7.4542
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd072184_v2.fits stis_ngsl_v2 0 6.2823 5.5405 5.2756 5.144
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd052089_v2.fits stis_ngsl_v2 0 1.3366 1.7272 2.0222 2.2492
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd086322_v2.fits stis_ngsl_v2 0 7.2642 6.5803 6.3174 6.2015
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd137909_v2.fits stis_ngsl_v2 0 3.8097 3.8273 3.9783 4.0992
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd173158_v2.fits stis_ngsl_v2 0 8.5568 7.3608 6.8137 6.5033
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd121146_v2.fits stis_ngsl_v2 0 6.8218 5.9905 5.6623 5.5035
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_bd+75d325_v2.fits stis_ngsl_v2 0 9.2964 9.7765 10.176 10.4663
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd017361_v2.fits stis_ngsl_v2 0 4.9149 4.1729 3.8988 3.7747
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_bd592723_v2.fits stis_ngsl_v2 0 10.6175 10.3541 10.2593 10.2456
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd166229_v2.fits stis_ngsl_v2 0 5.9045 5.1444 4.8653 4.7197
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd164967_v2.fits stis_ngsl_v2 0 7.1606 7.2645 7.397 7.4948
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd224926_v2.fits stis_ngsl_v2 0 4.9604 5.2682 5.5457 5.7401
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_cd-259286_v2.fits stis_ngsl_v2 0 11.1144 10.8419 10.757 10.7318
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd071160_v2.fits stis_ngsl_v2 0 8.5461 7.4778 6.9979 6.7463
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd106304_v2.fits stis_ngsl_v2 0 8.9579 9.1611 9.3636 9.4654
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_g187-40_v2.fits stis_ngsl_v2 0 10.721 10.4286 10.3343 10.3283
