survey version standard standard_catagory shift ASASSN-g ASASSN-j ASASSN-i ASASSN-h 
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_g88-27_v2.fits stis_ngsl_v2 0 11.163 10.713 10.588 10.499
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd210807_v2.fits stis_ngsl_v2 0 5.836 4.832 4.544 4.346
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd201091_v2.fits stis_ngsl_v2 0 6.518 5.269 4.762 4.365
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd165341_v2.fits stis_ngsl_v2 0 5.128 4.247 3.975 3.802
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd131873_v2.fits stis_ngsl_v2 0 3.743 2.133 1.588 1.103
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_cd-3018140_v2.fits stis_ngsl_v2 0 10.454 10.065 9.994 9.947
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd184266_v2.fits stis_ngsl_v2 0 8.214 7.627 7.437 7.276
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd057060_v2.fits stis_ngsl_v2 0 5.068 5.275 5.448 5.713
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd045282_v2.fits stis_ngsl_v2 0 8.739 8.053 7.834 7.66
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd176437_v2.fits stis_ngsl_v2 0 3.168 3.245 3.393 3.598
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd185144_v2.fits stis_ngsl_v2 0 5.53 4.688 4.419 4.229
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd057727_v2.fits stis_ngsl_v2 0 6.008 5.031 4.741 4.531
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_g188-30_v2.fits stis_ngsl_v2 0 11.921 11.274 11.094 10.943
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_bd+112998_v2.fits stis_ngsl_v2 0 9.753 9.105 8.895 8.693
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd204155_v2.fits stis_ngsl_v2 0 9.083 8.504 8.351 8.229
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_g029-023_v2.fits stis_ngsl_v2 0 10.72 10.256 10.127 10.043
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd122956_v2.fits stis_ngsl_v2 0 8.319 7.269 6.915 6.586
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd128279_v2.fits stis_ngsl_v2 0 8.71 8.058 7.832 7.621
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd205811_v2.fits stis_ngsl_v2 0 6.193 6.176 6.324 6.524
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd217107_v2.fits stis_ngsl_v2 0 6.968 6.182 5.966 5.832
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_g194-22_v2.fits stis_ngsl_v2 0 10.247 9.823 9.739 9.684
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd039587_v2.fits stis_ngsl_v2 0 5.001 4.384 4.225 4.135
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_g24-3_v2.fits stis_ngsl_v2 0 10.964 10.481 10.339 10.215
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd163810_v2.fits stis_ngsl_v2 0 10.552 9.98 9.818 9.709
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd108945_v2.fits stis_ngsl_v2 0 5.547 5.488 5.615 5.846
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd085380_v2.fits stis_ngsl_v2 0 7.028 6.439 6.287 6.193
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd002665_v2.fits stis_ngsl_v2 0 8.579 7.769 7.495 7.238
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_lhs482_v2.fits stis_ngsl_v2 0 13.717 12.041 11.364 10.498
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd065354_v2.fits stis_ngsl_v2 0 8.613 6.868 6.278 5.757
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd167006_v2.fits stis_ngsl_v2 0 6.738 4.944 4.288 3.308
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd204867_v2.fits stis_ngsl_v2 0 3.774 2.895 2.658 2.502
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd222404_v2.fits stis_ngsl_v2 0 4.345 3.228 2.888 2.639
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd174240_v2.fits stis_ngsl_v2 0 6.245 6.228 6.357 6.54
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd134113_v2.fits stis_ngsl_v2 0 8.863 8.277 8.11 7.982
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd105546_v2.fits stis_ngsl_v2 0 9.347 8.645 8.425 8.236
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd148293_v2.fits stis_ngsl_v2 0 6.49 5.278 4.913 4.644
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd212593_v2.fits stis_ngsl_v2 0 4.602 4.542 4.622 4.774
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd005544_v2.fits stis_ngsl_v2 0 8.882 7.655 7.276 6.97
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd232078_v2.fits stis_ngsl_v2 0 10.613 8.501 7.725 6.95
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd196218_v2.fits stis_ngsl_v2 0 7.947 7.44 7.318 7.23
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd076932_v2.fits stis_ngsl_v2 0 6.332 5.8 5.666 5.559
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd190404_v2.fits stis_ngsl_v2 0 8.212 7.329 7.033 6.828
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd000886_v2.fits stis_ngsl_v2 0 2.556 2.828 3.064 3.395
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd167946_v2.fits stis_ngsl_v2 0 7.37 7.35 7.471 7.676
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd210745_v2.fits stis_ngsl_v2 0 5.089 3.378 2.835 2.418
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd004727_v2.fits stis_ngsl_v2 0 4.353 4.52 4.715 5.005
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_g169-28_v2.fits stis_ngsl_v2 0 11.889 11.362 11.218 11.104
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd029391_v2.fits stis_ngsl_v2 0 5.458 5.186 5.196 5.257
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd009051_v2.fits stis_ngsl_v2 0 9.832 8.975 8.698 8.459
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd041667_v2.fits stis_ngsl_v2 0 9.546 8.512 8.181 7.866
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd065228_v2.fits stis_ngsl_v2 0 4.918 4.178 3.984 3.846
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd173819_v2.fits stis_ngsl_v2 0 7.602 5.967 5.434 4.683
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd005395_v2.fits stis_ngsl_v2 0 5.66 4.634 4.33 4.076
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd103036_v2.fits stis_ngsl_v2 0 9.488 8.173 7.726 7.342
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_gj825_v2.fits stis_ngsl_v2 0 8.235 6.711 6.069 5.393
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd043042_v2.fits stis_ngsl_v2 0 5.692 5.232 5.14 5.129
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd143459_v2.fits stis_ngsl_v2 0 5.568 5.563 5.683 5.839
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd164402_v2.fits stis_ngsl_v2 0 5.625 5.691 5.817 6.026
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd175640_v2.fits stis_ngsl_v2 0 6.128 6.193 6.343 6.575
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd146051_v2.fits stis_ngsl_v2 0 4.5 2.785 2.18 1.456
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd105740_v2.fits stis_ngsl_v2 0 9.48 8.445 8.107 7.811
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd113002_v2.fits stis_ngsl_v2 0 9.533 8.749 8.508 8.3
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd174959_v2.fits stis_ngsl_v2 0 5.958 6.086 6.26 6.523
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd074721_v2.fits stis_ngsl_v2 0 8.706 8.685 8.811 8.997
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hr0753_v2.fits stis_ngsl_v2 0 7.246 6.273 5.918 5.692
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_bd511696_v2.fits stis_ngsl_v2 0 10.524 9.937 9.767 9.646
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd128801_v2.fits stis_ngsl_v2 0 8.717 8.769 8.915 9.139
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd027295_v2.fits stis_ngsl_v2 0 5.378 5.488 5.671 5.926
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hr8086_v2.fits stis_ngsl_v2 0 7.538 6.09 5.479 4.919
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd010780_v2.fits stis_ngsl_v2 0 6.481 5.645 5.389 5.212
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd113092_v2.fits stis_ngsl_v2 0 6.81 5.396 4.936 4.53
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd083212_v2.fits stis_ngsl_v2 0 9.493 8.355 7.977 7.635
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_bd413931_v2.fits stis_ngsl_v2 0 10.954 10.317 10.126 9.986
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd147394_v2.fits stis_ngsl_v2 0 3.681 3.864 4.078 4.369
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd102212_v2.fits stis_ngsl_v2 0 5.705 4.056 3.478 2.779
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd140232_v2.fits stis_ngsl_v2 0 6.012 5.82 5.856 5.952
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_bd+363168_v2.fits stis_ngsl_v2 0 14.934 8.076 6.315 5.054
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd197177_v2.fits stis_ngsl_v2 0 6.787 5.675 5.344 5.092
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd205202_v2.fits stis_ngsl_v2 0 8.513 8.115 8.03 7.977
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd159181_v2.fits stis_ngsl_v2 0 3.808 2.798 2.503 2.268
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd149382_v2.fits stis_ngsl_v2 0 8.608 8.943 9.206 9.565
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd048279_v2.fits stis_ngsl_v2 0 8.018 7.937 7.986 8.091
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd161770_v2.fits stis_ngsl_v2 0 10.391 9.713 9.461 9.231
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd017925_v2.fits stis_ngsl_v2 0 7.012 6.071 5.769 5.578
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_g20-15_v2.fits stis_ngsl_v2 0 11.241 10.625 10.411 10.228
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_g243-62_v2.fits stis_ngsl_v2 0 12.494 11.573 11.248 10.971
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd156283_v2.fits stis_ngsl_v2 0 4.738 3.176 2.675 2.263
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd166208_v2.fits stis_ngsl_v2 0 5.985 5.003 4.71 4.486
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd060319_v2.fits stis_ngsl_v2 0 9.449 8.923 8.786 8.687
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd052973_v2.fits stis_ngsl_v2 0 4.783 3.867 3.613 3.439
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd034797_v2.fits stis_ngsl_v2 0 6.405 6.536 6.71 6.965
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd175545_v2.fits stis_ngsl_v2 0 8.703 7.417 6.996 6.672
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd095735_v2.fits stis_ngsl_v2 0 9.113 7.517 6.866 5.843
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd136726_v2.fits stis_ngsl_v2 0 6.527 5.028 4.528 4.128
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd040573_v2.fits stis_ngsl_v2 0 7.439 7.479 7.628 7.841
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd204041_v2.fits stis_ngsl_v2 0 6.593 6.446 6.515 6.626
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd028946_v2.fits stis_ngsl_v2 0 8.761 7.935 7.688 7.514
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd143107_v2.fits stis_ngsl_v2 0 5.547 4.211 3.796 3.473
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_g202-65_v2.fits stis_ngsl_v2 0 11.86 11.567 11.552 11.581
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd204543_v2.fits stis_ngsl_v2 0 9.326 8.354 8.035 7.74
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd172230_v2.fits stis_ngsl_v2 0 7.441 7.178 7.2 7.278
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd160922_v2.fits stis_ngsl_v2 0 5.212 4.771 4.686 4.65
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd082395_v2.fits stis_ngsl_v2 0 6.127 4.989 4.646 4.397
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_g262-14_v2.fits stis_ngsl_v2 0 12.327 11.503 11.217 10.968
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd026297_v2.fits stis_ngsl_v2 0 8.691 7.494 7.086 6.708
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd110885_v2.fits stis_ngsl_v2 0 9.815 9.197 9.006 8.848
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd201377_v2.fits stis_ngsl_v2 0 6.841 6.684 6.746 6.858
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_g13-35_v2.fits stis_ngsl_v2 0 10.104 9.676 9.56 9.472
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd050420_v2.fits stis_ngsl_v2 0 6.476 6.166 6.126 6.13
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd206778_v2.fits stis_ngsl_v2 0 4.173 2.471 1.925 1.516
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_g188-22_v2.fits stis_ngsl_v2 0 10.584 10.096 9.962 9.868
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd093813_v2.fits stis_ngsl_v2 0 4.473 3.126 2.7 2.355
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd175865_v2.fits stis_ngsl_v2 0 5.63 3.988 3.258 1.511
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd006734_v2.fits stis_ngsl_v2 0 7.379 6.461 6.179 5.958
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd038237_v2.fits stis_ngsl_v2 0 7.33 7.16 7.235 7.364
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd072184_v2.fits stis_ngsl_v2 0 7.11 5.902 5.529 5.261
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd052089_v2.fits stis_ngsl_v2 0 1.264 1.534 1.759 2.046
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd086322_v2.fits stis_ngsl_v2 0 8.032 6.915 6.57 6.303
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd137909_v2.fits stis_ngsl_v2 0 4.065 3.804 3.845 3.994
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd173158_v2.fits stis_ngsl_v2 0 9.635 7.941 7.334 6.775
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd121146_v2.fits stis_ngsl_v2 0 7.693 6.403 5.976 5.643
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_bd+75d325_v2.fits stis_ngsl_v2 0 9.145 9.536 9.814 10.208
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd017361_v2.fits stis_ngsl_v2 0 5.737 4.534 4.161 3.884
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_bd592723_v2.fits stis_ngsl_v2 0 10.942 10.49 10.358 10.255
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd166229_v2.fits stis_ngsl_v2 0 6.754 5.514 5.132 4.849
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd164967_v2.fits stis_ngsl_v2 0 7.322 7.207 7.285 7.41
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd224926_v2.fits stis_ngsl_v2 0 4.959 5.114 5.297 5.569
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_cd-259286_v2.fits stis_ngsl_v2 0 11.453 10.98 10.846 10.753
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd071160_v2.fits stis_ngsl_v2 0 9.617 8.006 7.456 6.968
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd106304_v2.fits stis_ngsl_v2 0 9.051 9.051 9.186 9.38
