survey version standard shift  PS1SN-g PS1SN-r PS1SN-i PS1SN-z 
PS1SN PS1SN g191b2b 0 11.5474 12.0343 12.4275 12.7203
PS1SN PS1SN g191b2b 0 11.5479 12.0347 12.4278 12.7206
PS1SN PS1SN g191b2b 0 11.5477 12.0345 12.4276 12.7203
PS1SN PS1SN g191b2b 0 11.547 12.0334 12.4265 12.7194
PS1SN PS1SN g191b2b 0 11.547 12.0339 12.427 12.7197
PS1SN PS1SN g191b2b 0 11.5475 12.0343 12.4274 12.7201
PS1SN PS1SN g191b2b 0 11.5477 12.0347 12.4279 12.7207
PS1SN PS1SN g191b2b 0 11.5474 12.0342 12.4272 12.7198
PS1SN PS1SN g191b2b 0 11.5473 12.0339 12.4271 12.7199
PS1SN PS1SN g191b2b 0 11.5478 12.0346 12.4277 12.7205
PS1SN PS1SN g191b2b 0 11.5473 12.0341 12.4271 12.7199
PS1SN PS1SN g191b2b 0 11.5475 12.0344 12.4275 12.7202
PS1SN PS1SN g191b2b 0 11.5468 12.0332 12.4262 12.7189
PS1SN PS1SN g191b2b 0 11.5472 12.034 12.427 12.7197
PS1SN PS1SN g191b2b 0 11.5476 12.0344 12.4275 12.7202
PS1SN PS1SN g191b2b 0 11.5474 12.0341 12.4273 12.7201
PS1SN PS1SN g191b2b 0 11.5475 12.0343 12.4274 12.72
PS1SN PS1SN g191b2b 0 11.5473 12.034 12.4271 12.7199
PS1SN PS1SN g191b2b 0 11.5471 12.0339 12.427 12.7197
PS1SN PS1SN g191b2b 0 11.548 12.0347 12.4278 12.7207
PS1SN PS1SN g191b2b 0 11.5466 12.0332 12.4263 12.719
PS1SN PS1SN g191b2b 0 11.5472 12.0339 12.4269 12.7197
PS1SN PS1SN g191b2b 0 11.5472 12.0338 12.427 12.7199
PS1SN PS1SN g191b2b 0 11.5476 12.0343 12.4273 12.7198
PS1SN PS1SN g191b2b 0 11.5466 12.0331 12.4261 12.7189
PS1SN PS1SN g191b2b 0 11.5464 12.0328 12.4256 12.7183
PS1SN PS1SN g191b2b 0 11.5476 12.0345 12.4277 12.7206
PS1SN PS1SN g191b2b 0 11.5481 12.0345 12.4274 12.72
PS1SN PS1SN g191b2b 0 11.5478 12.0345 12.4276 12.7203
PS1SN PS1SN g191b2b 0 11.5474 12.0342 12.4272 12.72
PS1SN PS1SN g191b2b 0 11.5467 12.0335 12.4266 12.7192
PS1SN PS1SN g191b2b 0 11.5476 12.0342 12.4272 12.7199
PS1SN PS1SN g191b2b 0 11.5469 12.0334 12.4265 12.7193
PS1SN PS1SN g191b2b 0 11.5477 12.0345 12.4275 12.7201
PS1SN PS1SN g191b2b 0 11.5469 12.0333 12.4263 12.7191
PS1SN PS1SN g191b2b 0 11.5474 12.0339 12.427 12.7199
PS1SN PS1SN g191b2b 0 11.5478 12.0346 12.4276 12.7203
PS1SN PS1SN g191b2b 0 11.5472 12.0338 12.4269 12.7197
PS1SN PS1SN g191b2b 0 11.5476 12.0341 12.4272 12.7201
PS1SN PS1SN g191b2b 0 11.5473 12.0339 12.4269 12.7197
PS1SN PS1SN g191b2b 0 11.5472 12.0337 12.4268 12.7196
PS1SN PS1SN g191b2b 0 11.5474 12.0339 12.427 12.7198
PS1SN PS1SN g191b2b 0 11.548 12.0347 12.4276 12.7203
PS1SN PS1SN g191b2b 0 11.548 12.0348 12.428 12.7207
PS1SN PS1SN g191b2b 0 11.5473 12.0338 12.4268 12.7195
PS1SN PS1SN g191b2b 0 11.5473 12.0342 12.4273 12.72
PS1SN PS1SN g191b2b 0 11.5471 12.0339 12.4269 12.7197
PS1SN PS1SN g191b2b 0 11.5478 12.0344 12.4275 12.7204
PS1SN PS1SN g191b2b 0 11.5465 12.0331 12.4262 12.719
PS1SN PS1SN g191b2b 0 11.5481 12.0351 12.4283 12.7211
PS1SN PS1SN g191b2b 0 11.5472 12.034 12.4271 12.7197
PS1SN PS1SN g191b2b 0 11.5471 12.034 12.4271 12.72
PS1SN PS1SN g191b2b 0 11.547 12.0336 12.4266 12.7193
PS1SN PS1SN g191b2b 0 11.548 12.0347 12.4278 12.7206
PS1SN PS1SN g191b2b 0 11.5478 12.0345 12.4277 12.7205
PS1SN PS1SN g191b2b 0 11.5471 12.0338 12.4268 12.7195
PS1SN PS1SN g191b2b 0 11.5465 12.0332 12.4261 12.7188
PS1SN PS1SN g191b2b 0 11.5472 12.0337 12.4266 12.7194
PS1SN PS1SN g191b2b 0 11.5473 12.0343 12.4274 12.7201
PS1SN PS1SN g191b2b 0 11.5471 12.0338 12.4267 12.7194
PS1SN PS1SN g191b2b 0 11.5476 12.0346 12.4277 12.7204
PS1SN PS1SN g191b2b 0 11.5475 12.0341 12.4271 12.7197
PS1SN PS1SN g191b2b 0 11.5474 12.0343 12.4274 12.7201
PS1SN PS1SN g191b2b 0 11.5476 12.0342 12.4272 12.72
PS1SN PS1SN g191b2b 0 11.5465 12.0329 12.4259 12.7188
PS1SN PS1SN g191b2b 0 11.5473 12.0342 12.4273 12.7199
PS1SN PS1SN g191b2b 0 11.5471 12.034 12.427 12.7196
PS1SN PS1SN g191b2b 0 11.5472 12.0338 12.4269 12.7198
PS1SN PS1SN g191b2b 0 11.5474 12.0338 12.4267 12.7194
PS1SN PS1SN g191b2b 0 11.5468 12.0338 12.427 12.7198
PS1SN PS1SN g191b2b 0 11.5479 12.0348 12.428 12.7207
PS1SN PS1SN gd153 0 13.1403 13.6017 13.9825 14.2716
PS1SN PS1SN gd153 0 13.1408 13.6022 13.9827 14.2713
PS1SN PS1SN gd153 0 13.1406 13.6015 13.9818 14.2704
PS1SN PS1SN gd153 0 13.1406 13.601 13.9811 14.2695
PS1SN PS1SN gd153 0 13.1418 13.6022 13.9825 14.2712
PS1SN PS1SN gd153 0 13.1404 13.601 13.9811 14.2694
PS1SN PS1SN gd153 0 13.1395 13.6006 13.9811 14.2698
PS1SN PS1SN gd153 0 13.1412 13.6017 13.9818 14.2703
PS1SN PS1SN gd153 0 13.1409 13.6014 13.9815 14.2699
PS1SN PS1SN gd153 0 13.1416 13.6014 13.981 14.2691
PS1SN PS1SN gd153 0 13.1402 13.6014 13.9821 14.2712
PS1SN PS1SN gd153 0 13.1416 13.601 13.9807 14.269
PS1SN PS1SN gd153 0 13.1399 13.6003 13.9805 14.269
PS1SN PS1SN gd153 0 13.1414 13.6016 13.9815 14.2697
PS1SN PS1SN gd153 0 13.1398 13.6007 13.9811 14.2697
PS1SN PS1SN gd153 0 13.1402 13.6012 13.9818 14.2705
PS1SN PS1SN gd153 0 13.1403 13.601 13.9813 14.2699
PS1SN PS1SN gd153 0 13.1407 13.6005 13.9803 14.2687
PS1SN PS1SN gd153 0 13.1398 13.601 13.9816 14.2703
PS1SN PS1SN gd153 0 13.1401 13.6008 13.9812 14.2699
PS1SN PS1SN gd153 0 13.1402 13.6012 13.9818 14.2708
PS1SN PS1SN gd153 0 13.1405 13.6013 13.9815 14.2699
PS1SN PS1SN gd153 0 13.1407 13.601 13.981 14.2693
PS1SN PS1SN gd153 0 13.1413 13.6013 13.9811 14.2693
PS1SN PS1SN gd153 0 13.1403 13.6018 13.9826 14.2716
PS1SN PS1SN gd153 0 13.1405 13.6011 13.9816 14.2705
PS1SN PS1SN gd153 0 13.1413 13.602 13.9826 14.2716
PS1SN PS1SN gd153 0 13.1402 13.6018 13.9828 14.272
PS1SN PS1SN gd153 0 13.1397 13.6008 13.9816 14.2705
PS1SN PS1SN gd153 0 13.1422 13.6015 13.9808 14.2688
PS1SN PS1SN gd153 0 13.1409 13.6018 13.9822 14.2708
PS1SN PS1SN gd153 0 13.1413 13.6017 13.9816 14.2698
PS1SN PS1SN gd153 0 13.1419 13.6019 13.9817 14.2699
PS1SN PS1SN gd153 0 13.1402 13.601 13.9812 14.2697
PS1SN PS1SN gd153 0 13.1405 13.6008 13.9809 14.2693
PS1SN PS1SN gd153 0 13.141 13.6014 13.9816 14.2701
PS1SN PS1SN gd153 0 13.1401 13.6005 13.9807 14.2692
PS1SN PS1SN gd153 0 13.1412 13.6016 13.9817 14.2702
PS1SN PS1SN gd153 0 13.141 13.602 13.9824 14.271
PS1SN PS1SN gd153 0 13.1401 13.6009 13.9813 14.27
PS1SN PS1SN gd153 0 13.141 13.6014 13.9816 14.27
PS1SN PS1SN gd153 0 13.1402 13.6003 13.9802 14.2686
PS1SN PS1SN gd153 0 13.1402 13.601 13.9813 14.2699
PS1SN PS1SN gd153 0 13.1412 13.6019 13.9822 14.2708
PS1SN PS1SN gd153 0 13.1406 13.6017 13.9822 14.2709
PS1SN PS1SN gd153 0 13.1411 13.6019 13.982 14.2704
PS1SN PS1SN gd153 0 13.1422 13.6022 13.9818 14.27
PS1SN PS1SN gd153 0 13.1404 13.6012 13.9815 14.2702
PS1SN PS1SN gd153 0 13.1412 13.6018 13.9821 14.2706
PS1SN PS1SN gd153 0 13.1406 13.601 13.9811 14.2697
PS1SN PS1SN gd153 0 13.1401 13.6014 13.9819 14.2705
PS1SN PS1SN gd153 0 13.1406 13.6012 13.9813 14.2697
PS1SN PS1SN gd153 0 13.1404 13.6009 13.9812 14.2698
PS1SN PS1SN gd153 0 13.1407 13.6018 13.9823 14.271
PS1SN PS1SN gd153 0 13.1409 13.6017 13.9821 14.2707
PS1SN PS1SN gd153 0 13.141 13.6016 13.9816 14.2698
PS1SN PS1SN gd153 0 13.1408 13.6017 13.9823 14.2712
PS1SN PS1SN gd153 0 13.1398 13.6012 13.982 14.2708
PS1SN PS1SN gd153 0 13.1404 13.6011 13.9813 14.2697
PS1SN PS1SN gd153 0 13.1405 13.6012 13.9817 14.2706
PS1SN PS1SN gd153 0 13.1399 13.6008 13.981 14.2694
PS1SN PS1SN gd153 0 13.1407 13.601 13.9811 14.2697
PS1SN PS1SN gd153 0 13.1407 13.6017 13.9823 14.2711
PS1SN PS1SN gd153 0 13.1405 13.6015 13.9818 14.2702
PS1SN PS1SN gd153 0 13.1405 13.6015 13.9819 14.2705
PS1SN PS1SN gd153 0 13.1413 13.602 13.9822 14.2707
PS1SN PS1SN gd153 0 13.1413 13.6016 13.9816 14.2699
PS1SN PS1SN gd153 0 13.14 13.6012 13.9817 14.2704
PS1SN PS1SN gd153 0 13.1395 13.6008 13.9814 14.2701
PS1SN PS1SN gd153 0 13.1413 13.6016 13.9816 14.2701
PS1SN PS1SN gd153 0 13.141 13.601 13.9807 14.2689
PS1SN PS1SN gd153 0 13.1404 13.6015 13.982 14.2707
PS1SN PS1SN gd153 0 13.1402 13.6011 13.9815 14.2701
PS1SN PS1SN gd153 0 13.1408 13.6014 13.9817 14.2705
PS1SN PS1SN gd153 0 13.1415 13.6024 13.9826 14.2708
PS1SN PS1SN gd153 0 13.141 13.601 13.981 14.2696
PS1SN PS1SN gd153 0 13.1395 13.6009 13.9817 14.2706
PS1SN PS1SN gd153 0 13.1395 13.6006 13.9813 14.2703
PS1SN PS1SN gd153 0 13.1419 13.6022 13.9822 14.2706
PS1SN PS1SN gd153 0 13.1407 13.6017 13.9822 14.2709
PS1SN PS1SN gd153 0 13.1396 13.6007 13.9815 14.2705
PS1SN PS1SN gd153 0 13.1415 13.6021 13.9823 14.2708
PS1SN PS1SN gd153 0 13.1409 13.6017 13.9821 14.2706
PS1SN PS1SN gd153 0 13.1411 13.6016 13.9818 14.2704
PS1SN PS1SN gd153 0 13.1401 13.6008 13.9809 14.2692
PS1SN PS1SN gd153 0 13.1415 13.6021 13.9822 14.2708
PS1SN PS1SN gd153 0 13.1401 13.6012 13.9815 14.27
PS1SN PS1SN gd153 0 13.1413 13.6022 13.9824 14.2708
PS1SN PS1SN gd153 0 13.1412 13.6015 13.9816 14.2701
PS1SN PS1SN gd153 0 13.1401 13.6009 13.9814 14.2702
PS1SN PS1SN gd153 0 13.1413 13.6017 13.9814 14.2695
PS1SN PS1SN gd153 0 13.1407 13.6014 13.9817 14.2702
PS1SN PS1SN gd153 0 13.1414 13.6016 13.9816 14.27
PS1SN PS1SN gd153 0 13.141 13.6011 13.9811 14.2696
PS1SN PS1SN gd153 0 13.141 13.6019 13.982 14.2703
PS1SN PS1SN gd153 0 13.1415 13.6016 13.9816 14.2699
PS1SN PS1SN gd153 0 13.1407 13.6014 13.9817 14.2704
PS1SN PS1SN gd153 0 13.1406 13.6016 13.9822 14.2711
PS1SN PS1SN gd71 0 12.8339 13.2791 13.6522 13.9396
PS1SN PS1SN gd71 0 12.8335 13.2789 13.6521 13.9395
PS1SN PS1SN gd71 0 12.8334 13.2784 13.6512 13.9382
PS1SN PS1SN gd71 0 12.8352 13.2799 13.6527 13.9398
PS1SN PS1SN gd71 0 12.8345 13.2794 13.6523 13.9395
PS1SN PS1SN gd71 0 12.834 13.2791 13.652 13.9392
PS1SN PS1SN gd71 0 12.8343 13.2794 13.6524 13.9396
PS1SN PS1SN gd71 0 12.8348 13.2793 13.6519 13.9388
PS1SN PS1SN gd71 0 12.834 13.2787 13.6513 13.9383
PS1SN PS1SN gd71 0 12.8347 13.2793 13.652 13.9389
PS1SN PS1SN gd71 0 12.8336 13.279 13.6521 13.9394
PS1SN PS1SN gd71 0 12.8352 13.2796 13.652 13.9389
PS1SN PS1SN gd71 0 12.834 13.2785 13.651 13.9379
PS1SN PS1SN gd71 0 12.8341 13.279 13.6519 13.939
PS1SN PS1SN gd71 0 12.8345 13.279 13.6514 13.9383
PS1SN PS1SN gd71 0 12.8341 13.2786 13.6513 13.9384
PS1SN PS1SN gd71 0 12.834 13.2784 13.6511 13.9383
PS1SN PS1SN gd71 0 12.834 13.2792 13.6521 13.9391
PS1SN PS1SN gd71 0 12.8338 13.2783 13.6509 13.938
PS1SN PS1SN gd71 0 12.8339 13.279 13.6519 13.939
PS1SN PS1SN gd71 0 12.8347 13.2792 13.6516 13.9386
PS1SN PS1SN gd71 0 12.8341 13.2791 13.6521 13.9393
PS1SN PS1SN gd71 0 12.8344 13.279 13.6517 13.9388
PS1SN PS1SN gd71 0 12.8331 13.2782 13.6511 13.9383
PS1SN PS1SN gd71 0 12.8348 13.2797 13.6525 13.9395
PS1SN PS1SN gd71 0 12.8355 13.28 13.6524 13.9394
PS1SN PS1SN gd71 0 12.8342 13.2787 13.6513 13.9382
PS1SN PS1SN gd71 0 12.8352 13.2795 13.6519 13.9388
PS1SN PS1SN gd71 0 12.8353 13.28 13.6526 13.9395
PS1SN PS1SN gd71 0 12.8346 13.2792 13.6518 13.9388
PS1SN PS1SN gd71 0 12.8336 13.2788 13.6518 13.939
PS1SN PS1SN gd71 0 12.8346 13.2797 13.6527 13.94
PS1SN PS1SN gd71 0 12.8333 13.2785 13.6517 13.9392
PS1SN PS1SN gd71 0 12.835 13.2797 13.6525 13.9397
PS1SN PS1SN gd71 0 12.8337 13.2785 13.6511 13.938
PS1SN PS1SN gd71 0 12.8351 13.2799 13.6527 13.9398
PS1SN PS1SN gd71 0 12.8342 13.2787 13.6513 13.9384
PS1SN PS1SN gd71 0 12.8342 13.2787 13.6513 13.9383
PS1SN PS1SN gd71 0 12.8343 13.2793 13.6523 13.9396
PS1SN PS1SN gd71 0 12.8345 13.2793 13.6518 13.9387
PS1SN PS1SN gd71 0 12.8343 13.2789 13.6515 13.9386
PS1SN PS1SN gd71 0 12.8338 13.2784 13.6511 13.9382
PS1SN PS1SN gd71 0 12.8338 13.2786 13.6512 13.9381
PS1SN PS1SN gd71 0 12.8344 13.2797 13.6527 13.94
PS1SN PS1SN gd71 0 12.8352 13.2792 13.6515 13.9383
PS1SN PS1SN gd71 0 12.8334 13.2782 13.6509 13.938
PS1SN PS1SN gd71 0 12.8346 13.2794 13.652 13.939
PS1SN PS1SN gd71 0 12.8343 13.2793 13.6521 13.9393
PS1SN PS1SN gd71 0 12.8343 13.279 13.6516 13.9386
PS1SN PS1SN gd71 0 12.8347 13.2793 13.652 13.9391
PS1SN PS1SN gd71 0 12.8347 13.2802 13.6533 13.9406
PS1SN PS1SN gd71 0 12.8336 13.278 13.6505 13.9375
PS1SN PS1SN gd71 0 12.8342 13.2793 13.6522 13.9393
PS1SN PS1SN gd71 0 12.8336 13.2791 13.6522 13.9395
PS1SN PS1SN gd71 0 12.8349 13.2796 13.6524 13.9395
PS1SN PS1SN gd71 0 12.834 13.2785 13.6511 13.9382
PS1SN PS1SN gd71 0 12.8342 13.2793 13.6521 13.9391
PS1SN PS1SN gd71 0 12.8344 13.2789 13.6514 13.9384
PS1SN PS1SN gd71 0 12.834 13.2789 13.6517 13.9389
PS1SN PS1SN gd71 0 12.8337 13.2787 13.6516 13.9387
PS1SN PS1SN gd71 0 12.8339 13.2786 13.6513 13.9383
PS1SN PS1SN gd71 0 12.8341 13.279 13.6519 13.9391
PS1SN PS1SN gd71 0 12.8344 13.2794 13.6522 13.9394
PS1SN PS1SN gd71 0 12.8356 13.28 13.6525 13.9395
PS1SN PS1SN gd71 0 12.834 13.2786 13.6512 13.9382
PS1SN PS1SN gd71 0 12.8343 13.2786 13.6509 13.9378
PS1SN PS1SN gd71 0 12.8339 13.2789 13.6518 13.9389
PS1SN PS1SN gd71 0 12.8348 13.2797 13.6525 13.9397
PS1SN PS1SN gd71 0 12.8348 13.2793 13.652 13.9392
PS1SN PS1SN gd71 0 12.8346 13.2797 13.6524 13.9395
PS1SN PS1SN gd71 0 12.834 13.2785 13.6509 13.9377
PS1SN PS1SN gd71 0 12.8342 13.2791 13.652 13.9391
PS1SN PS1SN gd71 0 12.8341 13.2793 13.6523 13.9396
PS1SN PS1SN gd71 0 12.8341 13.279 13.6516 13.9386
PS1SN PS1SN gd71 0 12.8337 13.2788 13.6519 13.9392
PS1SN PS1SN gd71 0 12.8342 13.2781 13.6503 13.9371
PS1SN PS1SN gd71 0 12.8341 13.2794 13.6524 13.9396
PS1SN PS1SN gd71 0 12.8333 13.2788 13.652 13.9394
PS1SN PS1SN gd71 0 12.8339 13.2784 13.651 13.938
PS1SN PS1SN gd71 0 12.8351 13.2798 13.6524 13.9393
PS1SN PS1SN gd71 0 12.8352 13.2797 13.6523 13.9393
PS1SN PS1SN gd71 0 12.8344 13.2798 13.6529 13.9401
PS1SN PS1SN gd71 0 12.8348 13.2796 13.6524 13.9396
PS1SN PS1SN gd71 0 12.8345 13.279 13.6516 13.9387
PS1SN PS1SN gd71 0 12.8345 13.2787 13.6512 13.9382
PS1SN PS1SN gd71 0 12.8353 13.28 13.6524 13.9392
PS1SN PS1SN gd71 0 12.8343 13.2786 13.651 13.9379
PS1SN PS1SN gd71 0 12.8342 13.2791 13.6519 13.9391
PS1SN PS1SN gd71 0 12.835 13.2793 13.6515 13.9383
PS1SN PS1SN gd71 0 12.8346 13.2792 13.6517 13.9386
PS1SN PS1SN gd71 0 12.8338 13.2784 13.6512 13.9383
PS1SN PS1SN gd71 0 12.8342 13.2796 13.6527 13.94
PS1SN PS1SN gd71 0 12.8356 13.2805 13.6534 13.9406
PS1SN PS1SN gd71 0 12.8346 13.2796 13.6526 13.9399
PS1SN PS1SN gd71 0 12.8342 13.2788 13.6515 13.9385
PS1SN PS1SN gd71 0 12.8341 13.2795 13.6526 13.9399
PS1SN PS1SN gd71 0 12.8342 13.2796 13.6527 13.9402
PS1SN PS1SN gd71 0 12.8338 13.2792 13.6523 13.9397
PS1SN PS1SN sdssj010322 0 19.1285 19.5733 19.9395 20.2163
PS1SN PS1SN sdssj010322 0 19.1276 19.5698 19.9346 20.2107
PS1SN PS1SN sdssj010322 0 19.1299 19.5727 19.9365 20.2115
PS1SN PS1SN sdssj010322 0 19.1243 19.5656 19.9303 20.2067
PS1SN PS1SN sdssj010322 0 19.1353 19.5776 19.9423 20.2182
PS1SN PS1SN sdssj010322 0 19.1324 19.5794 19.9482 20.2271
PS1SN PS1SN sdssj010322 0 19.1262 19.5691 19.9363 20.2147
PS1SN PS1SN sdssj010322 0 19.1267 19.5664 19.9294 20.2043
PS1SN PS1SN sdssj010322 0 19.1263 19.5663 19.9293 20.2042
PS1SN PS1SN sdssj010322 0 19.1285 19.5721 19.9367 20.2122
PS1SN PS1SN sdssj010322 0 19.1259 19.5686 19.9354 20.2133
PS1SN PS1SN sdssj010322 0 19.1293 19.5705 19.9351 20.2114
PS1SN PS1SN sdssj010322 0 19.1257 19.5705 19.937 20.2141
PS1SN PS1SN sdssj010322 0 19.13 19.5753 19.9424 20.2201
PS1SN PS1SN sdssj010322 0 19.1268 19.5699 19.9332 20.2074
PS1SN PS1SN sdssj010322 0 19.1264 19.5696 19.9354 20.2124
PS1SN PS1SN sdssj010322 0 19.1239 19.565 19.9286 20.2038
PS1SN PS1SN sdssj010322 0 19.1291 19.5718 19.9385 20.2164
PS1SN PS1SN sdssj010322 0 19.129 19.5718 19.9357 20.2107
PS1SN PS1SN sdssj010322 0 19.1288 19.5695 19.9337 20.2097
PS1SN PS1SN sdssj010322 0 19.1264 19.5672 19.9324 20.2092
PS1SN PS1SN sdssj010322 0 19.1261 19.572 19.94 20.2185
PS1SN PS1SN sdssj010322 0 19.127 19.5701 19.9354 20.2117
PS1SN PS1SN sdssj010322 0 19.1292 19.5738 19.9412 20.2194
PS1SN PS1SN sdssj010322 0 19.1302 19.5722 19.9359 20.2109
PS1SN PS1SN sdssj010322 0 19.1308 19.5712 19.9348 20.2102
PS1SN PS1SN sdssj010322 0 19.128 19.5723 19.9396 20.2176
PS1SN PS1SN sdssj010322 0 19.1295 19.5732 19.94 20.2176
PS1SN PS1SN sdssj010322 0 19.1257 19.5698 19.937 20.215
PS1SN PS1SN sdssj010322 0 19.13 19.5721 19.9357 20.2106
PS1SN PS1SN sdssj010322 0 19.1252 19.5675 19.9336 20.2111
PS1SN PS1SN sdssj010322 0 19.1293 19.5721 19.9363 20.2117
PS1SN PS1SN sdssj010322 0 19.1332 19.5773 19.9427 20.219
PS1SN PS1SN sdssj010322 0 19.124 19.5678 19.9348 20.2128
PS1SN PS1SN sdssj010322 0 19.1316 19.5773 19.9445 20.2221
PS1SN PS1SN sdssj010322 0 19.1279 19.5711 19.9379 20.2158
PS1SN PS1SN sdssj010322 0 19.1342 19.5772 19.9408 20.2155
PS1SN PS1SN sdssj010322 0 19.1267 19.5695 19.9334 20.2084
PS1SN PS1SN sdssj010322 0 19.1305 19.5726 19.9372 20.2131
PS1SN PS1SN sdssj010322 0 19.121 19.5696 19.9392 20.2183
PS1SN PS1SN sdssj010322 0 19.1257 19.5686 19.9368 20.2161
PS1SN PS1SN sdssj010322 0 19.1227 19.567 19.9352 20.2144
PS1SN PS1SN sdssj010322 0 19.1321 19.5787 19.9444 20.2203
PS1SN PS1SN sdssj010322 0 19.135 19.5804 19.9455 20.221
PS1SN PS1SN sdssj010322 0 19.125 19.5676 19.9336 20.2108
PS1SN PS1SN sdssj010322 0 19.1291 19.5718 19.9369 20.2131
PS1SN PS1SN sdssj010322 0 19.128 19.5713 19.9364 20.2125
PS1SN PS1SN sdssj010322 0 19.1288 19.5733 19.939 20.2153
PS1SN PS1SN sdssj010322 0 19.1299 19.573 19.9395 20.2172
PS1SN PS1SN sdssj010322 0 19.1249 19.5663 19.9315 20.2081
PS1SN PS1SN sdssj010322 0 19.1295 19.5735 19.9386 20.2145
PS1SN PS1SN sdssj010322 0 19.1307 19.5751 19.9412 20.2181
PS1SN PS1SN sdssj010322 0 19.1233 19.5686 19.9354 20.2127
PS1SN PS1SN sdssj010322 0 19.1264 19.5708 19.9387 20.2174
PS1SN PS1SN sdssj010322 0 19.1327 19.5774 19.9433 20.2199
PS1SN PS1SN sdssj010322 0 19.1307 19.5757 19.9421 20.2191
PS1SN PS1SN sdssj010322 0 19.1305 19.5733 19.9389 20.2157
PS1SN PS1SN sdssj010322 0 19.126 19.5727 19.9415 20.2204
PS1SN PS1SN sdssj010322 0 19.129 19.5767 19.9458 20.2249
PS1SN PS1SN sdssj010322 0 19.1282 19.5758 19.9451 20.2244
PS1SN PS1SN sdssj010322 0 19.1231 19.5613 19.9239 20.1988
PS1SN PS1SN sdssj010322 0 19.1208 19.5681 19.9366 20.2151
PS1SN PS1SN sdssj010322 0 19.1319 19.5811 19.9489 20.2261
PS1SN PS1SN sdssj010322 0 19.1217 19.5642 19.9313 20.2097
PS1SN PS1SN sdssj010322 0 19.1249 19.5693 19.9368 20.2149
PS1SN PS1SN sdssj010322 0 19.1221 19.57 19.9407 20.2212
PS1SN PS1SN sdssj010322 0 19.1315 19.5754 19.9421 20.2198
PS1SN PS1SN sdssj010322 0 19.1262 19.5696 19.9345 20.2102
PS1SN PS1SN sdssj010322 0 19.1308 19.5728 19.9385 20.2155
PS1SN PS1SN sdssj010322 0 19.1276 19.5713 19.938 20.2156
PS1SN PS1SN sdssj010322 0 19.1277 19.571 19.9367 20.2133
PS1SN PS1SN sdssj010322 0 19.1244 19.5679 19.9331 20.2091
PS1SN PS1SN sdssj010322 0 19.1339 19.5759 19.9405 20.2164
PS1SN PS1SN sdssj010322 0 19.1268 19.5699 19.9344 20.2099
PS1SN PS1SN sdssj010322 0 19.1245 19.5657 19.9312 20.2082
PS1SN PS1SN sdssj010322 0 19.1236 19.5682 19.9348 20.2122
PS1SN PS1SN sdssj010322 0 19.1296 19.5705 19.9348 20.2107
PS1SN PS1SN sdssj010322 0 19.1265 19.5739 19.9424 20.2211
PS1SN PS1SN sdssj010322 0 19.1293 19.5712 19.9359 20.212
PS1SN PS1SN sdssj010322 0 19.1293 19.5706 19.9347 20.2106
PS1SN PS1SN sdssj010322 0 19.1316 19.5745 19.9394 20.2155
PS1SN PS1SN sdssj010322 0 19.1246 19.568 19.9333 20.2097
PS1SN PS1SN sdssj010322 0 19.1337 19.5799 19.9472 20.2248
PS1SN PS1SN sdssj010322 0 19.1325 19.5774 19.9435 20.2201
