survey version standard standard_catagory shift CSP_TAMU_20180316_u CSP_TAMU_20180316_g CSP_TAMU_20180316_r CSP_TAMU_20180316_i CSP_TAMU_20180316_B CSP_TAMU_20180316_V CSP_TAMU_20180316_o CSP_TAMU_20180316_m CSP_TAMU_20180316_n CSP_TAMU_20180316_Y CSP_TAMU_20180316_y 
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_g115-58_v2.fits stis_ngsl_v2 -300 -13.597 -12.481 -12.071 -11.978 -12.814 -12.253 -12.245 -12.250 -12.253 -11.309 -11.280
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd004813_v2.fits stis_ngsl_v2 -300 -6.813 -5.530 -5.082 -4.993 -5.919 -5.256 -5.248 -5.252 -5.256 -4.420 -4.408
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd142926_v2.fits stis_ngsl_v2 -300 -6.379 -5.572 -5.798 -6.095 -5.739 -5.640 -5.646 -5.633 -5.640 -5.855 -5.854
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd164257_v2.fits stis_ngsl_v2 -300 -8.292 -6.790 -6.798 -6.951 -7.052 -6.745 -6.746 -6.738 -6.745 -6.451 -6.443
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd196725_v2.fits stis_ngsl_v2 -300 -10.565 -6.870 -5.355 -4.799 -7.878 -6.056 -6.021 -6.051 -6.056 -3.643 -3.608
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd030614_v2.fits stis_ngsl_v2 -300 -4.223 -4.189 -4.295 -4.474 -4.282 -4.239 -4.240 -4.233 -4.239 -4.152 -4.143
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd022484_v2.fits stis_ngsl_v2 -300 -6.086 -4.674 -4.185 -4.065 -5.095 -4.371 -4.363 -4.368 -4.371 -3.409 -3.392
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd079469_v2.fits stis_ngsl_v2 -300 -4.869 -3.782 -3.955 -4.226 -3.988 -3.814 -3.818 -3.805 -3.814 -3.934 -3.931
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_g18-39_v2.fits stis_ngsl_v2 -300 -11.816 -10.713 -10.298 -10.161 -11.054 -10.478 -10.470 -10.474 -10.478 -9.564 -9.555
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_g12-21_v2.fits stis_ngsl_v2 -300 -11.640 -10.541 -10.110 -10.005 -10.889 -10.294 -10.285 -10.291 -10.294 -9.496 -9.495
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd025893_v2.fits stis_ngsl_v2 -300 -9.686 -7.832 -7.033 -6.803 -8.404 -7.377 -7.362 -7.373 -7.377 -6.084 -6.065
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd132345_v2.fits stis_ngsl_v2 -300 -10.116 -6.829 -5.594 -5.198 -7.695 -6.139 -6.113 -6.135 -6.139 -4.190 -4.158
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd091316_v2.fits stis_ngsl_v2 -300 -3.540 -3.600 -3.920 -4.222 -3.652 -3.740 -3.746 -3.734 -3.740 -4.090 -4.088
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd117880_v2.fits stis_ngsl_v2 -300 -10.572 -9.074 -9.116 -9.310 -9.330 -9.041 -9.043 -9.034 -9.041 -8.885 -8.882
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_cd-621346_v2.fits stis_ngsl_v2 -300 -11.937 -10.336 -9.686 -9.477 -10.814 -9.957 -9.945 -9.955 -9.957 -8.709 -8.691
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_gl109_v2.fits stis_ngsl_v2 -300 -15.091 -11.826 -10.179 -8.987 -12.724 -10.995 -10.956 -10.986 -10.995 -7.349 -7.325
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd016031_v2.fits stis_ngsl_v2 -300 -11.112 -10.060 -9.694 -9.577 -10.379 -9.853 -9.846 -9.849 -9.853 -8.974 -8.962
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_bd371458_v2.fits stis_ngsl_v2 -300 -10.652 -9.407 -8.874 -8.708 -9.793 -9.111 -9.100 -9.108 -9.111 -7.999 -7.983
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd081797_v2.fits stis_ngsl_v2 -300 -6.894 -3.228 -1.804 -1.307 -4.200 -2.454 -2.423 -2.449 -2.454 -0.255 -0.229
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd067390_v2.fits stis_ngsl_v2 -300 -11.267 -9.760 -9.492 -9.495 -10.108 -9.572 -9.568 -9.567 -9.572 -8.925 -8.910
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd061603_v2.fits stis_ngsl_v2 -300 -11.115 -7.116 -5.558 -4.902 -8.155 -6.282 -6.247 -6.276 -6.282 -3.690 -3.659
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd062412_v2.fits stis_ngsl_v2 -300 -8.730 -6.361 -5.420 -5.124 -7.044 -5.817 -5.799 -5.814 -5.817 -4.264 -4.238
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd031219_v2.fits stis_ngsl_v2 -300 -10.070 -8.580 -8.062 -7.981 -9.022 -8.260 -8.251 -8.256 -8.260 -7.413 -7.402
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd002857_v2.fits stis_ngsl_v2 -300 -12.035 -10.372 -10.372 -10.503 -10.649 -10.312 -10.313 -10.305 -10.312 -10.097 -10.106
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd114710_v2.fits stis_ngsl_v2 -300 -6.037 -4.645 -4.125 -3.995 -5.070 -4.335 -4.326 -4.331 -4.335 -3.366 -3.351
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd198809_v2.fits stis_ngsl_v2 -300 -7.153 -5.172 -4.379 -4.139 -5.756 -4.709 -4.694 -4.707 -4.709 -3.387 -3.368
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_g88-27_v2.fits stis_ngsl_v2 -300 -12.103 -11.009 -10.608 -10.498 -11.343 -10.783 -10.775 -10.779 -10.783 -9.948 -9.944
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd210807_v2.fits stis_ngsl_v2 -300 -7.702 -5.513 -4.621 -4.364 -6.158 -4.996 -4.978 -4.994 -4.996 -3.590 -3.571
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd201091_v2.fits stis_ngsl_v2 -300 -8.820 -6.168 -4.900 -4.432 -6.921 -5.528 -5.500 -5.514 -5.528 -3.412 -3.387
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd165341_v2.fits stis_ngsl_v2 -300 -6.707 -4.850 -4.044 -3.816 -5.427 -4.390 -4.375 -4.386 -4.390 -3.107 -3.091
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd131873_v2.fits stis_ngsl_v2 -300 -6.999 -3.233 -1.754 -1.178 -4.219 -2.439 -2.406 -2.433 -2.439 -0.065 -0.038
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_cd-3018140_v2.fits stis_ngsl_v2 -300 -11.397 -10.313 -9.994 -9.939 -10.630 -10.115 -10.109 -10.112 -10.115 -9.430 -9.429
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd184266_v2.fits stis_ngsl_v2 -300 -9.627 -8.032 -7.481 -7.290 -8.436 -7.733 -7.721 -7.730 -7.733 -6.574 -6.560
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd057060_v2.fits stis_ngsl_v2 -300 -4.867 -5.038 -5.355 -5.641 -5.078 -5.185 -5.191 -5.178 -5.185 -5.416 -5.409
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd045282_v2.fits stis_ngsl_v2 -300 -9.919 -8.521 -7.888 -7.678 -8.957 -8.172 -8.159 -8.170 -8.172 -6.975 -6.963
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd176437_v2.fits stis_ngsl_v2 -300 -4.521 -3.136 -3.310 -3.537 -3.344 -3.179 -3.183 -3.172 -3.179 -3.110 -3.103
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd185144_v2.fits stis_ngsl_v2 -300 -7.003 -5.263 -4.488 -4.247 -5.816 -4.824 -4.809 -4.819 -4.824 -3.504 -3.485
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd057727_v2.fits stis_ngsl_v2 -300 -7.823 -5.695 -4.819 -4.552 -6.326 -5.191 -5.174 -5.188 -5.191 -3.772 -3.753
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_g188-30_v2.fits stis_ngsl_v2 -300 -13.009 -11.708 -11.133 -10.955 -12.132 -11.374 -11.363 -11.371 -11.374 -10.270 -10.262
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_bd+112998_v2.fits stis_ngsl_v2 -300 -11.156 -9.549 -8.949 -8.717 -9.982 -9.216 -9.204 -9.214 -9.216 -7.928 -7.911
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd204155_v2.fits stis_ngsl_v2 -300 -10.199 -8.889 -8.382 -8.235 -9.295 -8.588 -8.579 -8.585 -8.588 -7.482 -7.456
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_g029-023_v2.fits stis_ngsl_v2 -300 -11.674 -10.565 -10.149 -10.040 -10.902 -10.332 -10.324 -10.328 -10.332 -9.438 -9.425
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd122956_v2.fits stis_ngsl_v2 -300 -10.238 -7.997 -7.020 -6.636 -8.620 -7.466 -7.445 -7.464 -7.466 -5.735 -5.720
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd128279_v2.fits stis_ngsl_v2 -300 -9.818 -8.507 -7.892 -7.646 -8.912 -8.180 -8.167 -8.178 -8.180 -6.868 -6.850
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd205811_v2.fits stis_ngsl_v2 -300 -7.412 -6.139 -6.240 -6.462 -6.385 -6.122 -6.125 -6.113 -6.122 -6.083 -6.075
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd217107_v2.fits stis_ngsl_v2 -300 -8.518 -6.713 -6.017 -5.839 -7.251 -6.299 -6.286 -6.295 -6.299 -5.131 -5.112
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_g194-22_v2.fits stis_ngsl_v2 -300 -11.156 -10.095 -9.744 -9.678 -10.422 -9.879 -9.872 -9.876 -9.879 -9.054 -9.037
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd039587_v2.fits stis_ngsl_v2 -300 -6.187 -4.796 -4.256 -4.133 -5.230 -4.473 -4.463 -4.469 -4.473 -3.519 -3.505
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_g24-3_v2.fits stis_ngsl_v2 -300 -11.912 -10.804 -10.367 -10.221 -11.144 -10.562 -10.553 -10.558 -10.562 -9.552 -9.535
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd163810_v2.fits stis_ngsl_v2 -300 -11.542 -10.364 -9.851 -9.712 -10.749 -10.072 -10.062 -10.069 -10.072 -9.039 -9.023
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd108945_v2.fits stis_ngsl_v2 -300 -6.953 -5.483 -5.537 -5.779 -5.754 -5.442 -5.444 -5.434 -5.442 -5.416 -5.411
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd085380_v2.fits stis_ngsl_v2 -300 -8.287 -6.832 -6.316 -6.193 -7.258 -6.524 -6.514 -6.520 -6.524 -5.571 -5.555
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd002665_v2.fits stis_ngsl_v2 -300 -9.979 -8.331 -7.571 -7.274 -8.819 -7.920 -7.904 -7.918 -7.920 -6.416 -6.397
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_lhs482_v2.fits stis_ngsl_v2 -300 -16.330 -13.275 -11.540 -10.694 -14.148 -12.437 -12.392 -12.420 -12.437 -9.284 -9.257
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd065354_v2.fits stis_ngsl_v2 -300 -11.897 -8.057 -6.462 -5.839 -9.102 -7.210 -7.173 -7.204 -7.210 -4.598 -4.563
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd167006_v2.fits stis_ngsl_v2 -300 -10.402 -6.184 -4.494 -3.506 -7.226 -5.303 -5.263 -5.295 -5.303 -2.019 -1.989
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd204867_v2.fits stis_ngsl_v2 -300 -5.687 -3.487 -2.719 -2.511 -4.079 -3.028 -3.014 -3.026 -3.028 -1.793 -1.776
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd222404_v2.fits stis_ngsl_v2 -300 -6.550 -3.990 -2.982 -2.667 -4.711 -3.415 -3.395 -3.411 -3.415 -1.781 -1.756
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd174240_v2.fits stis_ngsl_v2 -300 -7.564 -6.195 -6.280 -6.482 -6.437 -6.180 -6.183 -6.172 -6.180 -6.042 -6.032
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd134113_v2.fits stis_ngsl_v2 -300 -9.971 -8.670 -8.146 -7.990 -9.073 -8.367 -8.357 -8.364 -8.367 -7.295 -7.278
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd105546_v2.fits stis_ngsl_v2 -300 -10.746 -9.125 -8.481 -8.256 -9.579 -8.766 -8.753 -8.764 -8.766 -7.542 -7.530
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd148293_v2.fits stis_ngsl_v2 -300 -8.961 -6.100 -5.016 -4.674 -6.878 -5.483 -5.461 -5.480 -5.483 -3.757 -3.729
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd212593_v2.fits stis_ngsl_v2 -300 -5.457 -4.538 -4.562 -4.724 -4.741 -4.520 -4.520 -4.515 -4.520 -4.256 -4.248
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd005544_v2.fits stis_ngsl_v2 -300 -11.285 -8.487 -7.386 -7.009 -9.267 -7.865 -7.842 -7.862 -7.865 -6.055 -6.029
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd232078_v2.fits stis_ngsl_v2 -300 -14.299 -9.964 -7.978 -7.088 -11.104 -8.969 -8.916 -8.959 -8.969 -5.629 -5.598
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd196218_v2.fits stis_ngsl_v2 -300 -9.089 -7.773 -7.338 -7.227 -8.159 -7.506 -7.499 -7.503 -7.506 -6.613 -6.597
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd076932_v2.fits stis_ngsl_v2 -300 -7.376 -6.152 -5.690 -5.563 -6.530 -5.877 -5.868 -5.874 -5.877 -4.902 -4.887
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd190404_v2.fits stis_ngsl_v2 -300 -9.763 -7.940 -7.109 -6.851 -8.504 -7.479 -7.463 -7.474 -7.479 -6.097 -6.082
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd000886_v2.fits stis_ngsl_v2 -300 -2.550 -2.544 -2.946 -3.307 -2.597 -2.719 -2.727 -2.711 -2.719 -3.195 -3.193
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd167946_v2.fits stis_ngsl_v2 -300 -8.447 -7.321 -7.394 -7.613 -7.547 -7.310 -7.312 -7.302 -7.310 -7.260 -7.255
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd210745_v2.fits stis_ngsl_v2 -300 -8.191 -4.534 -3.002 -2.470 -5.564 -3.703 -3.668 -3.699 -3.703 -1.360 -1.325
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd004727_v2.fits stis_ngsl_v2 -300 -4.727 -4.330 -4.612 -4.925 -4.452 -4.434 -4.440 -4.426 -4.434 -4.757 -4.755
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_g169-28_v2.fits stis_ngsl_v2 -300 -12.873 -11.711 -11.246 -11.109 -12.080 -11.442 -11.433 -11.439 -11.442 -10.512 -10.506
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd029391_v2.fits stis_ngsl_v2 -300 -6.693 -5.343 -5.165 -5.225 -5.664 -5.193 -5.191 -5.187 -5.193 -4.709 -4.696
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd009051_v2.fits stis_ngsl_v2 -300 -11.381 -9.564 -8.774 -8.489 -10.093 -9.126 -9.110 -9.124 -9.126 -7.682 -7.665
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd041667_v2.fits stis_ngsl_v2 -300 -11.478 -9.218 -8.278 -7.913 -9.861 -8.689 -8.671 -8.687 -8.689 -7.001 -6.982
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd065228_v2.fits stis_ngsl_v2 -300 -6.677 -4.676 -4.029 -3.853 -5.195 -4.285 -4.274 -4.283 -4.285 -3.130 -3.112
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd173819_v2.fits stis_ngsl_v2 -300 -11.139 -7.082 -5.597 -4.831 -8.053 -6.275 -6.242 -6.273 -6.275 -3.445 -3.410
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd005395_v2.fits stis_ngsl_v2 -300 -7.577 -5.331 -4.414 -4.108 -5.989 -4.801 -4.784 -4.799 -4.801 -3.228 -3.204
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd103036_v2.fits stis_ngsl_v2 -300 -12.130 -9.082 -7.861 -7.400 -9.858 -8.427 -8.400 -8.425 -8.427 -6.443 -6.425
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_gj825_v2.fits stis_ngsl_v2 -300 -10.783 -7.823 -6.246 -5.530 -8.660 -7.061 -7.023 -7.046 -7.061 -4.332 -4.309
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd043042_v2.fits stis_ngsl_v2 -300 -6.833 -5.531 -5.146 -5.111 -5.902 -5.290 -5.283 -5.286 -5.290 -4.600 -4.591
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd143459_v2.fits stis_ngsl_v2 -300 -6.846 -5.521 -5.611 -5.788 -5.754 -5.516 -5.518 -5.508 -5.516 -5.311 -5.302
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd164402_v2.fits stis_ngsl_v2 -300 -5.607 -5.574 -5.741 -5.964 -5.665 -5.641 -5.644 -5.636 -5.641 -5.673 -5.667
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd175640_v2.fits stis_ngsl_v2 -300 -6.971 -6.091 -6.257 -6.507 -6.276 -6.131 -6.135 -6.124 -6.131 -6.200 -6.195
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd146051_v2.fits stis_ngsl_v2 -300 -8.026 -3.964 -2.368 -1.592 -4.994 -3.119 -3.082 -3.111 -3.119 -0.284 -0.255
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd105740_v2.fits stis_ngsl_v2 -300 -11.375 -9.156 -8.204 -7.853 -9.801 -8.625 -8.606 -8.622 -8.625 -6.932 -6.909
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd113002_v2.fits stis_ngsl_v2 -300 -11.039 -9.284 -8.572 -8.324 -9.791 -8.878 -8.864 -8.876 -8.878 -7.501 -7.479
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd174959_v2.fits stis_ngsl_v2 -300 -6.459 -5.929 -6.165 -6.448 -6.071 -6.011 -6.016 -6.003 -6.011 -6.220 -6.217
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd074721_v2.fits stis_ngsl_v2 -300 -10.183 -8.657 -8.735 -8.941 -8.906 -8.640 -8.643 -8.633 -8.640 -8.487 -8.479
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hr0753_v2.fits stis_ngsl_v2 -300 -9.206 -6.954 -6.009 -5.720 -7.592 -6.443 -6.425 -6.434 -6.443 -4.863 -4.844
