survey version standard standard_catagory shift CFA4P1-B CFA4P1-V CFA4P1-r CFA4P1-i 
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_g88-27_v2.fits stis_ngsl_v2 0 11.136 10.697 10.573 10.486
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd210807_v2.fits stis_ngsl_v2 0 5.716 4.816 4.536 4.336
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd201091_v2.fits stis_ngsl_v2 0 6.357 5.251 4.757 4.361
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd165341_v2.fits stis_ngsl_v2 0 5.026 4.23 3.967 3.791
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd131873_v2.fits stis_ngsl_v2 0 3.517 2.117 1.584 1.1
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_cd-3018140_v2.fits stis_ngsl_v2 0 10.433 10.05 9.977 9.933
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd184266_v2.fits stis_ngsl_v2 0 8.174 7.611 7.424 7.265
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd057060_v2.fits stis_ngsl_v2 0 5.105 5.258 5.422 5.691
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd045282_v2.fits stis_ngsl_v2 0 8.68 8.037 7.822 7.65
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd176437_v2.fits stis_ngsl_v2 0 3.202 3.229 3.367 3.577
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd185144_v2.fits stis_ngsl_v2 0 5.434 4.671 4.409 4.218
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd057727_v2.fits stis_ngsl_v2 0 5.892 5.016 4.733 4.521
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_g188-30_v2.fits stis_ngsl_v2 0 11.861 11.258 11.08 10.931
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_bd+112998_v2.fits stis_ngsl_v2 0 9.701 9.09 8.882 8.683
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd204155_v2.fits stis_ngsl_v2 0 9.032 8.489 8.337 8.217
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_g029-023_v2.fits stis_ngsl_v2 0 10.693 10.241 10.113 10.03
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd122956_v2.fits stis_ngsl_v2 0 8.208 7.254 6.906 6.58
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd128279_v2.fits stis_ngsl_v2 0 8.661 8.043 7.82 7.611
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd205811_v2.fits stis_ngsl_v2 0 6.208 6.161 6.298 6.503
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd217107_v2.fits stis_ngsl_v2 0 6.878 6.166 5.956 5.82
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_g194-22_v2.fits stis_ngsl_v2 0 10.221 9.808 9.722 9.67
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd039587_v2.fits stis_ngsl_v2 0 4.942 4.368 4.212 4.122
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_g24-3_v2.fits stis_ngsl_v2 0 10.934 10.466 10.324 10.202
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd163810_v2.fits stis_ngsl_v2 0 10.507 9.964 9.805 9.696
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd108945_v2.fits stis_ngsl_v2 0 5.556 5.472 5.591 5.824
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd085380_v2.fits stis_ngsl_v2 0 6.973 6.424 6.273 6.18
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd002665_v2.fits stis_ngsl_v2 0 8.507 7.754 7.485 7.23
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_lhs482_v2.fits stis_ngsl_v2 0 13.514 12.023 11.351 10.509
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd065354_v2.fits stis_ngsl_v2 0 8.369 6.852 6.276 5.755
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd167006_v2.fits stis_ngsl_v2 0 6.495 4.929 4.274 3.321
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd204867_v2.fits stis_ngsl_v2 0 3.673 2.879 2.648 2.49
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd222404_v2.fits stis_ngsl_v2 0 4.202 3.212 2.881 2.63
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd174240_v2.fits stis_ngsl_v2 0 6.264 6.213 6.331 6.519
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd134113_v2.fits stis_ngsl_v2 0 8.814 8.262 8.097 7.97
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd105546_v2.fits stis_ngsl_v2 0 9.286 8.63 8.413 8.225
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd148293_v2.fits stis_ngsl_v2 0 6.331 5.262 4.907 4.635
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd212593_v2.fits stis_ngsl_v2 0 4.624 4.526 4.599 4.754
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd005544_v2.fits stis_ngsl_v2 0 8.722 7.639 7.27 6.963
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd232078_v2.fits stis_ngsl_v2 0 10.335 8.486 7.721 6.956
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd196218_v2.fits stis_ngsl_v2 0 7.905 7.424 7.303 7.216
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd076932_v2.fits stis_ngsl_v2 0 6.29 5.785 5.651 5.547
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd190404_v2.fits stis_ngsl_v2 0 8.11 7.312 7.024 6.819
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd000886_v2.fits stis_ngsl_v2 0 2.601 2.812 3.035 3.37
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd167946_v2.fits stis_ngsl_v2 0 7.39 7.334 7.446 7.654
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd210745_v2.fits stis_ngsl_v2 0 4.85 3.362 2.834 2.412
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd004727_v2.fits stis_ngsl_v2 0 4.39 4.504 4.688 4.981
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_g169-28_v2.fits stis_ngsl_v2 0 11.849 11.347 11.204 11.092
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd029391_v2.fits stis_ngsl_v2 0 5.444 5.17 5.176 5.24
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd009051_v2.fits stis_ngsl_v2 0 9.747 8.96 8.688 8.45
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd041667_v2.fits stis_ngsl_v2 0 9.428 8.496 8.171 7.859
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd065228_v2.fits stis_ngsl_v2 0 4.841 4.162 3.971 3.834
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd173819_v2.fits stis_ngsl_v2 0 7.387 5.952 5.422 4.689
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd005395_v2.fits stis_ngsl_v2 0 5.537 4.618 4.321 4.067
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd103036_v2.fits stis_ngsl_v2 0 9.333 8.158 7.721 7.337
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_gj825_v2.fits stis_ngsl_v2 0 8.047 6.693 6.06 5.398
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd043042_v2.fits stis_ngsl_v2 0 5.656 5.217 5.125 5.114
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd143459_v2.fits stis_ngsl_v2 0 5.59 5.547 5.657 5.819
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd164402_v2.fits stis_ngsl_v2 0 5.652 5.675 5.793 6.005
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd175640_v2.fits stis_ngsl_v2 0 6.157 6.176 6.317 6.553
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd146051_v2.fits stis_ngsl_v2 0 4.26 2.769 2.172 1.461
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd105740_v2.fits stis_ngsl_v2 0 9.358 8.429 8.099 7.804
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd113002_v2.fits stis_ngsl_v2 0 9.455 8.733 8.497 8.29
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd174959_v2.fits stis_ngsl_v2 0 5.992 6.069 6.233 6.5
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd074721_v2.fits stis_ngsl_v2 0 8.726 8.67 8.786 8.976
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hr0753_v2.fits stis_ngsl_v2 0 7.122 6.255 5.911 5.683
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_bd511696_v2.fits stis_ngsl_v2 0 10.476 9.921 9.753 9.634
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd128801_v2.fits stis_ngsl_v2 0 8.747 8.753 8.889 9.117
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd027295_v2.fits stis_ngsl_v2 0 5.409 5.472 5.644 5.903
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hr8086_v2.fits stis_ngsl_v2 0 7.357 6.072 5.473 4.92
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd010780_v2.fits stis_ngsl_v2 0 6.384 5.629 5.379 5.201
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd113092_v2.fits stis_ngsl_v2 0 6.622 5.38 4.93 4.526
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd083212_v2.fits stis_ngsl_v2 0 9.364 8.34 7.969 7.629
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_bd413931_v2.fits stis_ngsl_v2 0 10.9 10.301 10.113 9.974
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd147394_v2.fits stis_ngsl_v2 0 3.719 3.848 4.049 4.346
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd102212_v2.fits stis_ngsl_v2 0 5.479 4.04 3.47 2.784
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd140232_v2.fits stis_ngsl_v2 0 6.006 5.804 5.835 5.933
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_bd+363168_v2.fits stis_ngsl_v2 0 12.844 8.06 6.367 5.057
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd197177_v2.fits stis_ngsl_v2 0 6.649 5.659 5.336 5.083
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd205202_v2.fits stis_ngsl_v2 0 8.49 8.1 8.014 7.963
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd159181_v2.fits stis_ngsl_v2 0 3.689 2.782 2.494 2.259
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd149382_v2.fits stis_ngsl_v2 0 8.654 8.926 9.175 9.54
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd048279_v2.fits stis_ngsl_v2 0 8.036 7.921 7.964 8.073
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd161770_v2.fits stis_ngsl_v2 0 10.34 9.697 9.45 9.222
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd017925_v2.fits stis_ngsl_v2 0 6.899 6.054 5.761 5.568
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_g20-15_v2.fits stis_ngsl_v2 0 11.198 10.609 10.399 10.218
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_g243-62_v2.fits stis_ngsl_v2 0 12.387 11.556 11.239 10.963
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd156283_v2.fits stis_ngsl_v2 0 4.519 3.16 2.672 2.258
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd166208_v2.fits stis_ngsl_v2 0 5.869 4.987 4.701 4.477
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd060319_v2.fits stis_ngsl_v2 0 9.409 8.907 8.772 8.674
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd052973_v2.fits stis_ngsl_v2 0 4.675 3.851 3.603 3.428
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd034797_v2.fits stis_ngsl_v2 0 6.438 6.52 6.683 6.942
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd175545_v2.fits stis_ngsl_v2 0 8.534 7.4 6.991 6.664
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd095735_v2.fits stis_ngsl_v2 0 8.922 7.5 6.845 5.858
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd136726_v2.fits stis_ngsl_v2 0 6.321 5.011 4.525 4.123
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd040573_v2.fits stis_ngsl_v2 0 7.464 7.463 7.602 7.82
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd204041_v2.fits stis_ngsl_v2 0 6.595 6.43 6.492 6.608
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd028946_v2.fits stis_ngsl_v2 0 8.666 7.919 7.678 7.503
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd143107_v2.fits stis_ngsl_v2 0 5.368 4.195 3.791 3.466
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_g202-65_v2.fits stis_ngsl_v2 0 11.847 11.552 11.533 11.564
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd204543_v2.fits stis_ngsl_v2 0 9.227 8.338 8.025 7.733
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd172230_v2.fits stis_ngsl_v2 0 7.426 7.162 7.179 7.261
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd160922_v2.fits stis_ngsl_v2 0 5.179 4.755 4.67 4.636
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd082395_v2.fits stis_ngsl_v2 0 5.982 4.973 4.64 4.388
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_g262-14_v2.fits stis_ngsl_v2 0 12.238 11.487 11.206 10.96
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd026297_v2.fits stis_ngsl_v2 0 8.555 7.479 7.078 6.702
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd110885_v2.fits stis_ngsl_v2 0 9.766 9.181 8.993 8.837
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd201377_v2.fits stis_ngsl_v2 0 6.841 6.668 6.724 6.839
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_g13-35_v2.fits stis_ngsl_v2 0 10.08 9.661 9.545 9.459
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd050420_v2.fits stis_ngsl_v2 0 6.463 6.15 6.108 6.114
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd206778_v2.fits stis_ngsl_v2 0 3.934 2.455 1.925 1.51
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_g188-22_v2.fits stis_ngsl_v2 0 10.551 10.081 9.947 9.855
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd093813_v2.fits stis_ngsl_v2 0 4.292 3.11 2.695 2.349
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd175865_v2.fits stis_ngsl_v2 0 5.452 3.977 3.215 1.542
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd006734_v2.fits stis_ngsl_v2 0 7.273 6.445 6.169 5.948
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd038237_v2.fits stis_ngsl_v2 0 7.328 7.144 7.212 7.345
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd072184_v2.fits stis_ngsl_v2 0 6.95 5.885 5.524 5.252
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd052089_v2.fits stis_ngsl_v2 0 1.308 1.518 1.73 2.023
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd086322_v2.fits stis_ngsl_v2 0 7.891 6.899 6.563 6.294
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd137909_v2.fits stis_ngsl_v2 0 4.047 3.788 3.825 3.974
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd173158_v2.fits stis_ngsl_v2 0 9.429 7.925 7.331 6.775
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd121146_v2.fits stis_ngsl_v2 0 7.522 6.386 5.971 5.636
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_bd+75d325_v2.fits stis_ngsl_v2 0 9.198 9.52 9.782 10.181
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd017361_v2.fits stis_ngsl_v2 0 5.581 4.518 4.155 3.876
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_bd592723_v2.fits stis_ngsl_v2 0 10.917 10.474 10.343 10.242
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd166229_v2.fits stis_ngsl_v2 0 6.588 5.497 5.127 4.841
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd164967_v2.fits stis_ngsl_v2 0 7.329 7.191 7.261 7.391
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd224926_v2.fits stis_ngsl_v2 0 4.996 5.098 5.27 5.545
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_cd-259286_v2.fits stis_ngsl_v2 0 11.428 10.964 10.831 10.741
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd071160_v2.fits stis_ngsl_v2 0 9.392 7.99 7.452 6.965
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd106304_v2.fits stis_ngsl_v2 0 9.074 9.036 9.16 9.36
