survey version standard shift  DES-g DES-r DES-i DES-z 
DES DES gd71 0 12.8189 13.3463 13.724 14.0431
DES DES gd71 0 12.8178 13.344 13.7211 14.0398
DES DES gd71 0 12.8185 13.3454 13.7229 14.0418
DES DES gd71 0 12.8178 13.3453 13.7229 14.042
DES DES gd71 0 12.8191 13.3458 13.723 14.0419
DES DES gd71 0 12.8183 13.3446 13.7218 14.0406
DES DES gd71 0 12.8185 13.3453 13.7227 14.0415
DES DES gd71 0 12.8187 13.3449 13.7221 14.0409
DES DES gd71 0 12.8183 13.345 13.7224 14.0414
DES DES gd71 0 12.818 13.3449 13.7223 14.0412
DES DES gd71 0 12.8182 13.3447 13.722 14.0408
DES DES gd71 0 12.8183 13.3452 13.7226 14.0415
DES DES gd71 0 12.8186 13.3455 13.7229 14.0418
DES DES gd71 0 12.8199 13.3461 13.7231 14.042
DES DES gd71 0 12.8182 13.3447 13.7218 14.0405
DES DES gd71 0 12.8185 13.3446 13.7216 14.0402
DES DES gd71 0 12.8181 13.345 13.7225 14.0413
DES DES gd71 0 12.8191 13.3459 13.7232 14.0422
DES DES gd71 0 12.8191 13.3454 13.7227 14.0417
DES DES gd71 0 12.8189 13.3458 13.7231 14.0419
DES DES gd71 0 12.8183 13.3445 13.7215 14.0401
DES DES gd71 0 12.8184 13.3452 13.7227 14.0415
DES DES gd71 0 12.8183 13.3455 13.7231 14.042
DES DES gd71 0 12.8183 13.3451 13.7223 14.041
DES DES gd71 0 12.818 13.345 13.7226 14.0417
DES DES gd71 0 12.8184 13.3441 13.7209 14.0395
DES DES gd71 0 12.8183 13.3455 13.7231 14.0421
DES DES gd71 0 12.8176 13.345 13.7227 14.0419
DES DES gd71 0 12.8182 13.3445 13.7216 14.0405
DES DES gd71 0 12.8193 13.3458 13.723 14.0417
DES DES gd71 0 12.8194 13.3458 13.723 14.0418
DES DES gd71 0 12.8186 13.3459 13.7236 14.0426
DES DES gd71 0 12.819 13.3457 13.7231 14.0421
DES DES gd71 0 12.8188 13.3451 13.7223 14.0412
DES DES gd71 0 12.8188 13.3448 13.7218 14.0407
DES DES gd71 0 12.8195 13.346 13.723 14.0415
DES DES gd71 0 12.8185 13.3446 13.7216 14.0402
DES DES gd71 0 12.8185 13.3452 13.7226 14.0415
DES DES gd71 0 12.8193 13.3453 13.7221 14.0406
DES DES gd71 0 12.8188 13.3453 13.7224 14.0411
DES DES gd71 0 12.8181 13.3445 13.7219 14.0408
DES DES gd71 0 12.8184 13.3458 13.7235 14.0425
DES DES gd71 0 12.8198 13.3466 13.7241 14.0431
DES DES gd71 0 12.8188 13.3458 13.7233 14.0424
DES DES gd71 0 12.8184 13.3449 13.7221 14.041
DES DES gd71 0 12.8184 13.3457 13.7233 14.0424
DES DES gd71 0 12.8184 13.3458 13.7235 14.0427
DES DES gd71 0 12.8181 13.3454 13.723 14.0422
DES DES sdssj010322 0 19.11 19.6369 20.0078 20.3172
DES DES sdssj010322 0 19.1092 19.633 20.0027 20.3114
DES DES sdssj010322 0 19.1114 19.6358 20.0044 20.3117
DES DES sdssj010322 0 19.1059 19.6288 19.9985 20.3074
DES DES sdssj010322 0 19.1168 19.6408 20.0104 20.3189
DES DES sdssj010322 0 19.1137 19.6432 20.0171 20.3287
DES DES sdssj010322 0 19.1076 19.6325 20.005 20.3161
DES DES sdssj010322 0 19.1084 19.6293 19.9972 20.3045
DES DES sdssj010322 0 19.1079 19.6292 19.9971 20.3044
DES DES sdssj010322 0 19.11 19.6354 20.0047 20.3127
DES DES sdssj010322 0 19.1074 19.632 20.0039 20.3145
DES DES sdssj010322 0 19.1109 19.6337 20.0033 20.312
DES DES sdssj010322 0 19.1071 19.634 20.0054 20.315
DES DES sdssj010322 0 19.1114 19.6389 20.0109 20.3212
DES DES sdssj010322 0 19.1083 19.6331 20.0008 20.3073
DES DES sdssj010322 0 19.108 19.633 20.0038 20.3132
DES DES sdssj010322 0 19.1056 19.6281 19.9965 20.3041
DES DES sdssj010322 0 19.1106 19.6352 20.007 20.3178
DES DES sdssj010322 0 19.1106 19.635 20.0036 20.311
DES DES sdssj010322 0 19.1105 19.6327 20.0018 20.3104
DES DES sdssj010322 0 19.1081 19.6304 20.0007 20.3101
DES DES sdssj010322 0 19.1075 19.6358 20.0087 20.3199
DES DES sdssj010322 0 19.1085 19.6334 20.0036 20.3124
DES DES sdssj010322 0 19.1107 19.6374 20.0099 20.3208
DES DES sdssj010322 0 19.1118 19.6352 20.0038 20.3111
DES DES sdssj010322 0 19.1124 19.6342 20.0028 20.3107
DES DES sdssj010322 0 19.1095 19.636 20.0082 20.3189
DES DES sdssj010322 0 19.111 19.6367 20.0085 20.3188
DES DES sdssj010322 0 19.1072 19.6334 20.0056 20.3162
DES DES sdssj010322 0 19.1115 19.6352 20.0036 20.3109
DES DES sdssj010322 0 19.1068 19.6309 20.0021 20.3122
DES DES sdssj010322 0 19.1108 19.6353 20.0043 20.3121
DES DES sdssj010322 0 19.1147 19.6407 20.0109 20.3197
DES DES sdssj010322 0 19.1055 19.6313 20.0034 20.314
DES DES sdssj010322 0 19.1129 19.6409 20.013 20.3232
DES DES sdssj010322 0 19.1094 19.6346 20.0065 20.3171
DES DES sdssj010322 0 19.1158 19.6404 20.0086 20.3156
DES DES sdssj010322 0 19.1082 19.6327 20.0012 20.3086
DES DES sdssj010322 0 19.112 19.6359 20.0053 20.3138
DES DES sdssj010322 0 19.1022 19.6336 20.0081 20.3199
DES DES sdssj010322 0 19.1072 19.6323 20.0057 20.318
DES DES sdssj010322 0 19.1041 19.6306 20.0041 20.316
DES DES sdssj010322 0 19.1134 19.6422 20.0125 20.3208
DES DES sdssj010322 0 19.1164 19.6438 20.0135 20.3214
DES DES sdssj010322 0 19.1065 19.6309 20.002 20.3118
DES DES sdssj010322 0 19.1107 19.6351 20.0051 20.3138
DES DES sdssj010322 0 19.1095 19.6346 20.0046 20.3132
DES DES sdssj010322 0 19.1102 19.6368 20.0072 20.316
DES DES sdssj010322 0 19.1115 19.6365 20.008 20.3183
DES DES sdssj010322 0 19.1064 19.6296 19.9997 20.309
DES DES sdssj010322 0 19.111 19.6369 20.0067 20.3149
DES DES sdssj010322 0 19.1121 19.6386 20.0095 20.3189
DES DES sdssj010322 0 19.1047 19.6323 20.0038 20.3137
DES DES sdssj010322 0 19.1078 19.6344 20.0075 20.3189
DES DES sdssj010322 0 19.1141 19.6409 20.0116 20.3207
DES DES sdssj010322 0 19.1121 19.6392 20.0105 20.3201
DES DES sdssj010322 0 19.112 19.6366 20.0072 20.3165
DES DES sdssj010322 0 19.1073 19.6366 20.0103 20.3219
DES DES sdssj010322 0 19.1103 19.6407 20.0147 20.3264
DES DES sdssj010322 0 19.1095 19.6398 20.0141 20.326
DES DES sdssj010322 0 19.1047 19.6241 19.9917 20.2991
DES DES sdssj010322 0 19.1022 19.632 20.0053 20.3163
DES DES sdssj010322 0 19.1132 19.6449 20.0173 20.3269
DES DES sdssj010322 0 19.1032 19.6276 20.0 20.3112
DES DES sdssj010322 0 19.1063 19.6329 20.0054 20.3163
DES DES sdssj010322 0 19.1034 19.6341 20.0099 20.3233
DES DES sdssj010322 0 19.113 19.639 20.0107 20.321
DES DES sdssj010322 0 19.1077 19.6329 20.0025 20.3107
DES DES sdssj010322 0 19.1123 19.6361 20.0068 20.3166
DES DES sdssj010322 0 19.1091 19.6348 20.0065 20.3167
DES DES sdssj010322 0 19.1092 19.6344 20.0049 20.3142
DES DES sdssj010322 0 19.1059 19.6313 20.0012 20.3097
DES DES sdssj010322 0 19.1154 19.6391 20.0086 20.317
DES DES sdssj010322 0 19.1083 19.6332 20.0024 20.3104
DES DES sdssj010322 0 19.1061 19.629 19.9995 20.3092
DES DES sdssj010322 0 19.105 19.6318 20.0033 20.3132
DES DES sdssj010322 0 19.1112 19.6336 20.0029 20.3114
DES DES sdssj010322 0 19.1078 19.6378 20.0112 20.3225
DES DES sdssj010322 0 19.1108 19.6343 20.004 20.3126
DES DES sdssj010322 0 19.111 19.6338 20.0028 20.3111
DES DES sdssj010322 0 19.1131 19.6378 20.0075 20.3162
DES DES sdssj010322 0 19.1061 19.6313 20.0015 20.3103
DES DES sdssj010322 0 19.1151 19.6436 20.0157 20.3259
DES DES sdssj010322 0 19.1139 19.6409 20.0118 20.3209
DES DES sdssj010322 0 19.1097 19.6339 20.0047 20.3144
DES DES sdssj010322 0 19.1087 19.6325 20.0025 20.3117
DES DES sdssj010322 0 19.1154 19.6421 20.0131 20.3224
DES DES sdssj010322 0 19.1107 19.6345 20.0062 20.317
DES DES sdssj010322 0 19.1112 19.6368 20.0084 20.3186
DES DES sdssj010322 0 19.1149 19.6409 20.0116 20.3209
DES DES sdssj010322 0 19.106 19.6295 19.9994 20.3082
DES DES sdssj010322 0 19.1095 19.6332 20.0029 20.3115
DES DES sdssj010322 0 19.1099 19.6336 20.0027 20.3108
DES DES sdssj010322 0 19.1147 19.6408 20.0116 20.321
DES DES sdssj010322 0 19.1084 19.633 20.0023 20.3105
DES DES sdssj010322 0 19.1124 19.6357 20.0044 20.3121
DES DES sdssj010322 0 19.1044 19.6298 20.0014 20.3115
DES DES sdssj010322 0 19.1063 19.6334 20.0044 20.3137
DES DES sdssj022817 0 19.8317 20.2277 20.5366 20.81
DES DES sdssj022817 0 19.8314 20.2306 20.5416 20.817
DES DES sdssj022817 0 19.8361 20.237 20.5506 20.8283
DES DES sdssj022817 0 19.8275 20.2244 20.5372 20.8152
DES DES sdssj022817 0 19.8443 20.2349 20.5426 20.8169
DES DES sdssj022817 0 19.8391 20.2365 20.546 20.8211
DES DES sdssj022817 0 19.8391 20.2336 20.5422 20.8161
DES DES sdssj022817 0 19.836 20.2299 20.5412 20.8191
DES DES sdssj022817 0 19.8356 20.2289 20.54 20.8179
DES DES sdssj022817 0 19.8425 20.2328 20.5398 20.8143
DES DES sdssj022817 0 19.8273 20.2306 20.5453 20.8226
DES DES sdssj022817 0 19.8432 20.2321 20.5409 20.8172
DES DES sdssj022817 0 19.8415 20.2348 20.544 20.8194
DES DES sdssj022817 0 19.8435 20.2373 20.5474 20.824
DES DES sdssj022817 0 19.8308 20.2299 20.5423 20.8191
DES DES sdssj022817 0 19.8348 20.2309 20.5408 20.8163
DES DES sdssj022817 0 19.8367 20.234 20.5445 20.8198
DES DES sdssj022817 0 19.836 20.2329 20.5452 20.8221
DES DES sdssj022817 0 19.8322 20.2305 20.54 20.8141
DES DES sdssj022817 0 19.8335 20.2275 20.5357 20.8093
DES DES sdssj022817 0 19.8416 20.2388 20.5489 20.8237
DES DES sdssj022817 0 19.8275 20.229 20.5419 20.8179
DES DES sdssj022817 0 19.8422 20.2297 20.5374 20.8132
DES DES sdssj022817 0 19.8399 20.2327 20.5405 20.8151
DES DES sdssj022817 0 19.8306 20.2335 20.5481 20.8265
DES DES sdssj022817 0 19.8315 20.2312 20.5444 20.8214
DES DES sdssj022817 0 19.8378 20.2364 20.5457 20.8202
DES DES sdssj022817 0 19.8453 20.2401 20.5493 20.8245
DES DES sdssj022817 0 19.847 20.2405 20.5489 20.8238
DES DES sdssj022817 0 19.8346 20.2298 20.5398 20.815
DES DES sdssj022817 0 19.833 20.2315 20.5445 20.8218
DES DES sdssj022817 0 19.84 20.2268 20.5322 20.806
DES DES sdssj022817 0 19.8454 20.2368 20.5446 20.8186
DES DES sdssj022817 0 19.83 20.2291 20.5394 20.8137
DES DES sdssj022817 0 19.8436 20.2385 20.5505 20.8288
DES DES sdssj022817 0 19.8362 20.2371 20.5486 20.8236
DES DES sdssj022817 0 19.8382 20.2358 20.5467 20.8222
DES DES sdssj022817 0 19.8276 20.2263 20.5375 20.8132
DES DES sdssj022817 0 19.8376 20.2384 20.5497 20.8249
DES DES sdssj022817 0 19.8317 20.2276 20.5402 20.8187
DES DES sdssj022817 0 19.8311 20.2267 20.5379 20.8144
DES DES sdssj022817 0 19.8319 20.2279 20.5388 20.8149
DES DES sdssj022817 0 19.8326 20.2318 20.5444 20.822
DES DES sdssj022817 0 19.8332 20.2306 20.5406 20.8156
DES DES sdssj022817 0 19.8265 20.2261 20.5397 20.8174
DES DES sdssj022817 0 19.8504 20.2399 20.5464 20.8204
DES DES sdssj022817 0 19.8419 20.2296 20.5365 20.8109
DES DES sdssj022817 0 19.8285 20.2293 20.5445 20.824
DES DES sdssj022817 0 19.8309 20.2297 20.5424 20.8198
DES DES sdssj022817 0 19.8438 20.2379 20.5478 20.8241
DES DES sdssj022817 0 19.8351 20.2283 20.5375 20.8127
DES DES sdssj022817 0 19.8379 20.2303 20.5395 20.8144
DES DES sdssj022817 0 19.8347 20.231 20.5425 20.8188
DES DES sdssj022817 0 19.8469 20.2356 20.5422 20.8164
DES DES sdssj022817 0 19.8368 20.2291 20.5412 20.8199
DES DES sdssj022817 0 19.8354 20.225 20.5368 20.8155
DES DES sdssj022817 0 19.8438 20.2383 20.5458 20.8204
