survey version standard standard_catagory shift ZTFS-g ZTFS-r ZTFS-i 
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd160762_v2.fits stis_ngsl_v2 10 3.552 3.976 4.321
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd124186_v2.fits stis_ngsl_v2 10 6.66 5.676 5.37
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd146233_v2.fits stis_ngsl_v2 10 5.75 5.349 5.287
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd041357_v2.fits stis_ngsl_v2 10 5.346 5.351 5.47
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd025329_v2.fits stis_ngsl_v2 10 8.832 8.155 7.921
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd072968_v2.fits stis_ngsl_v2 10 5.588 5.857 6.093
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_g115-58_v2.fits stis_ngsl_v2 10 12.312 12.022 11.98
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd004813_v2.fits stis_ngsl_v2 10 5.327 5.033 4.996
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd142926_v2.fits stis_ngsl_v2 10 5.553 5.895 6.202
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd164257_v2.fits stis_ngsl_v2 10 6.702 6.845 7.014
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd196725_v2.fits stis_ngsl_v2 10 6.368 5.12 4.68
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd030614_v2.fits stis_ngsl_v2 10 4.188 4.348 4.546
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd022484_v2.fits stis_ngsl_v2 10 4.454 4.127 4.055
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd079469_v2.fits stis_ngsl_v2 10 3.73 4.046 4.327
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_g18-39_v2.fits stis_ngsl_v2 10 10.538 10.237 10.145
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_g12-21_v2.fits stis_ngsl_v2 10 10.361 10.055 10.003
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd025893_v2.fits stis_ngsl_v2 10 7.526 6.922 6.771
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd132345_v2.fits stis_ngsl_v2 10 6.387 5.419 5.118
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd091316_v2.fits stis_ngsl_v2 10 3.645 4.022 4.334
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd117880_v2.fits stis_ngsl_v2 10 8.989 9.179 9.386
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_cd-621346_v2.fits stis_ngsl_v2 10 10.085 9.594 9.44
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_gl109_v2.fits stis_ngsl_v2 10 11.295 9.839 8.574
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd016031_v2.fits stis_ngsl_v2 10 9.901 9.64 9.567
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_bd371458_v2.fits stis_ngsl_v2 10 9.205 8.797 8.681
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd081797_v2.fits stis_ngsl_v2 10 2.744 1.591 1.2
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd067390_v2.fits stis_ngsl_v2 10 9.597 9.482 9.519
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd061603_v2.fits stis_ngsl_v2 10 6.596 5.303 4.738
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd062412_v2.fits stis_ngsl_v2 10 6.005 5.288 5.071
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd031219_v2.fits stis_ngsl_v2 10 8.347 8.012 7.989
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd002857_v2.fits stis_ngsl_v2 10 10.271 10.419 10.551
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd114710_v2.fits stis_ngsl_v2 10 4.421 4.06 3.987
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd198809_v2.fits stis_ngsl_v2 10 4.862 4.269 4.102
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_g88-27_v2.fits stis_ngsl_v2 10 10.839 10.555 10.489
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd210807_v2.fits stis_ngsl_v2 10 5.173 4.501 4.323
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd201091_v2.fits stis_ngsl_v2 10 5.753 4.7 4.319
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd165341_v2.fits stis_ngsl_v2 10 4.541 3.934 3.784
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd131873_v2.fits stis_ngsl_v2 10 2.736 1.518 1.046
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_cd-3018140_v2.fits stis_ngsl_v2 10 10.157 9.966 9.94
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd184266_v2.fits stis_ngsl_v2 10 7.822 7.397 7.258
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd057060_v2.fits stis_ngsl_v2 10 5.089 5.448 5.743
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd045282_v2.fits stis_ngsl_v2 10 8.287 7.793 7.64
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd176437_v2.fits stis_ngsl_v2 10 3.101 3.387 3.616
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd185144_v2.fits stis_ngsl_v2 10 4.967 4.376 4.211
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd057727_v2.fits stis_ngsl_v2 10 5.362 4.696 4.508
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_g188-30_v2.fits stis_ngsl_v2 10 11.478 11.056 10.924
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_bd+112998_v2.fits stis_ngsl_v2 10 9.321 8.851 8.67
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd204155_v2.fits stis_ngsl_v2 10 8.676 8.315 8.216
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_g029-023_v2.fits stis_ngsl_v2 10 10.393 10.096 10.033
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd122956_v2.fits stis_ngsl_v2 10 7.659 6.858 6.55
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd128279_v2.fits stis_ngsl_v2 10 8.288 7.788 7.596
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd205811_v2.fits stis_ngsl_v2 10 6.054 6.318 6.548
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd217107_v2.fits stis_ngsl_v2 10 6.426 5.929 5.818
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_g194-22_v2.fits stis_ngsl_v2 10 9.931 9.71 9.677
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd039587_v2.fits stis_ngsl_v2 10 4.565 4.192 4.128
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_g24-3_v2.fits stis_ngsl_v2 10 10.626 10.303 10.201
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd163810_v2.fits stis_ngsl_v2 10 10.159 9.783 9.696
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd108945_v2.fits stis_ngsl_v2 10 5.385 5.611 5.874
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd085380_v2.fits stis_ngsl_v2 10 6.608 6.253 6.186
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd002665_v2.fits stis_ngsl_v2 10 8.063 7.446 7.209
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_lhs482_v2.fits stis_ngsl_v2 10 12.76 11.263 10.393
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd065354_v2.fits stis_ngsl_v2 10 7.536 6.204 5.693
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd167006_v2.fits stis_ngsl_v2 10 5.62 4.174 3.198
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd204867_v2.fits stis_ngsl_v2 10 3.179 2.619 2.488
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd222404_v2.fits stis_ngsl_v2 10 3.613 2.841 2.607
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd174240_v2.fits stis_ngsl_v2 10 6.117 6.349 6.56
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd134113_v2.fits stis_ngsl_v2 10 8.457 8.074 7.969
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd105546_v2.fits stis_ngsl_v2 10 8.882 8.383 8.216
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd148293_v2.fits stis_ngsl_v2 10 5.7 4.864 4.61
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd212593_v2.fits stis_ngsl_v2 10 4.485 4.612 4.785
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd005544_v2.fits stis_ngsl_v2 10 8.087 7.223 6.933
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd232078_v2.fits stis_ngsl_v2 10 9.366 7.617 6.867
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd196218_v2.fits stis_ngsl_v2 10 7.573 7.286 7.223
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd076932_v2.fits stis_ngsl_v2 10 5.954 5.632 5.547
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd190404_v2.fits stis_ngsl_v2 10 7.632 6.989 6.807
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd000886_v2.fits stis_ngsl_v2 10 2.598 3.069 3.435
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd167946_v2.fits stis_ngsl_v2 10 7.248 7.465 7.701
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd210745_v2.fits stis_ngsl_v2 10 4.025 2.773 2.363
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd004727_v2.fits stis_ngsl_v2 10 4.335 4.717 5.04
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_g169-28_v2.fits stis_ngsl_v2 10 11.518 11.183 11.091
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd029391_v2.fits stis_ngsl_v2 10 5.197 5.178 5.265
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd009051_v2.fits stis_ngsl_v2 10 9.279 8.65 8.432
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd041667_v2.fits stis_ngsl_v2 10 8.876 8.126 7.83
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd065228_v2.fits stis_ngsl_v2 10 4.406 3.946 3.834
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd173819_v2.fits stis_ngsl_v2 10 6.57 5.343 4.586
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd005395_v2.fits stis_ngsl_v2 10 4.985 4.281 4.046
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd103036_v2.fits stis_ngsl_v2 10 8.673 7.663 7.3
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_gj825_v2.fits stis_ngsl_v2 10 7.346 5.981 5.316
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd043042_v2.fits stis_ngsl_v2 10 5.344 5.114 5.131
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd143459_v2.fits stis_ngsl_v2 10 5.452 5.673 5.855
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd164402_v2.fits stis_ngsl_v2 10 5.579 5.812 6.051
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd175640_v2.fits stis_ngsl_v2 10 6.055 6.339 6.602
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd146051_v2.fits stis_ngsl_v2 10 3.43 2.091 1.371
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd105740_v2.fits stis_ngsl_v2 10 8.81 8.055 7.778
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd113002_v2.fits stis_ngsl_v2 10 9.012 8.464 8.276
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd174959_v2.fits stis_ngsl_v2 10 5.921 6.259 6.554
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd074721_v2.fits stis_ngsl_v2 10 8.577 8.804 9.016
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hr0753_v2.fits stis_ngsl_v2 10 6.61 5.873 5.665
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_bd511696_v2.fits stis_ngsl_v2 10 10.123 9.73 9.634
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd128801_v2.fits stis_ngsl_v2 10 8.633 8.911 9.164
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd027295_v2.fits stis_ngsl_v2 10 5.319 5.67 5.954
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hr8086_v2.fits stis_ngsl_v2 10 6.688 5.402 4.854
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd010780_v2.fits stis_ngsl_v2 10 5.917 5.348 5.193
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd113092_v2.fits stis_ngsl_v2 10 5.915 4.873 4.482
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd083212_v2.fits stis_ngsl_v2 10 8.775 7.919 7.597
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_bd413931_v2.fits stis_ngsl_v2 10 10.528 10.088 9.972
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd147394_v2.fits stis_ngsl_v2 10 3.666 4.08 4.403
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd102212_v2.fits stis_ngsl_v2 10 4.674 3.39 2.698
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd140232_v2.fits stis_ngsl_v2 10 5.788 5.84 5.965
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_bd+363168_v2.fits stis_ngsl_v2 10 10.295 6.193 4.836
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd197177_v2.fits stis_ngsl_v2 10 6.061 5.296 5.063
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd205202_v2.fits stis_ngsl_v2 10 8.206 8.001 7.972
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd159181_v2.fits stis_ngsl_v2 10 3.144 2.456 2.244
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd149382_v2.fits stis_ngsl_v2 10 8.684 9.214 9.609
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd048279_v2.fits stis_ngsl_v2 10 7.911 7.972 8.103
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd161770_v2.fits stis_ngsl_v2 10 9.959 9.415 9.206
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd017925_v2.fits stis_ngsl_v2 10 6.391 5.726 5.56
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_g20-15_v2.fits stis_ngsl_v2 10 10.842 10.369 10.208
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_g243-62_v2.fits stis_ngsl_v2 10 11.893 11.197 10.94
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd156283_v2.fits stis_ngsl_v2 10 3.752 2.613 2.211
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd166208_v2.fits stis_ngsl_v2 10 5.335 4.664 4.461
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd060319_v2.fits stis_ngsl_v2 10 9.076 8.753 8.676
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd052973_v2.fits stis_ngsl_v2 10 4.166 3.572 3.425
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd034797_v2.fits stis_ngsl_v2 10 6.362 6.708 6.995
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd175545_v2.fits stis_ngsl_v2 10 7.882 6.941 6.632
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd095735_v2.fits stis_ngsl_v2 10 8.166 6.747 5.728
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd136726_v2.fits stis_ngsl_v2 10 5.584 4.466 4.08
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd040573_v2.fits stis_ngsl_v2 10 7.34 7.623 7.867
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd204041_v2.fits stis_ngsl_v2 10 6.395 6.501 6.639
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd028946_v2.fits stis_ngsl_v2 10 8.202 7.647 7.497
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd143107_v2.fits stis_ngsl_v2 10 4.689 3.742 3.434
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_g202-65_v2.fits stis_ngsl_v2 10 11.603 11.53 11.585
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd204543_v2.fits stis_ngsl_v2 10 8.708 7.982 7.708
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd172230_v2.fits stis_ngsl_v2 10 7.176 7.183 7.288
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd160922_v2.fits stis_ngsl_v2 10 4.871 4.659 4.648
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd082395_v2.fits stis_ngsl_v2 10 5.384 4.599 4.367
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_g262-14_v2.fits stis_ngsl_v2 10 11.785 11.169 10.94
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd026297_v2.fits stis_ngsl_v2 10 7.943 7.023 6.667
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd110885_v2.fits stis_ngsl_v2 10 9.397 8.967 8.832
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd201377_v2.fits stis_ngsl_v2 10 6.635 6.732 6.873
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_g13-35_v2.fits stis_ngsl_v2 10 9.794 9.527 9.462
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd050420_v2.fits stis_ngsl_v2 10 6.205 6.102 6.131
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd206778_v2.fits stis_ngsl_v2 10 3.114 1.862 1.467
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_g188-22_v2.fits stis_ngsl_v2 10 10.239 9.928 9.86
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd093813_v2.fits stis_ngsl_v2 10 3.609 2.643 2.314
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd175865_v2.fits stis_ngsl_v2 10 4.608 3.063 1.347
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd006734_v2.fits stis_ngsl_v2 10 6.771 6.133 5.934
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd038237_v2.fits stis_ngsl_v2 10 7.115 7.223 7.381
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd072184_v2.fits stis_ngsl_v2 10 6.325 5.48 5.227
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd052089_v2.fits stis_ngsl_v2 10 1.308 1.761 2.081
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd086322_v2.fits stis_ngsl_v2 10 7.302 6.52 6.272
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd137909_v2.fits stis_ngsl_v2 10 3.797 3.834 4.013
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd173158_v2.fits stis_ngsl_v2 10 8.635 7.255 6.71
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd121146_v2.fits stis_ngsl_v2 10 6.869 5.92 5.603
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_bd+75d325_v2.fits stis_ngsl_v2 10 9.266 9.824 10.255
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd017361_v2.fits stis_ngsl_v2 10 4.957 4.111 3.851
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_bd592723_v2.fits stis_ngsl_v2 10 10.623 10.324 10.243
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd166229_v2.fits stis_ngsl_v2 10 5.948 5.083 4.812
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd164967_v2.fits stis_ngsl_v2 10 7.143 7.272 7.425
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd224926_v2.fits stis_ngsl_v2 10 4.935 5.297 5.601
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_cd-259286_v2.fits stis_ngsl_v2 10 11.12 10.813 10.742
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd071160_v2.fits stis_ngsl_v2 10 8.613 7.386 6.907
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd106304_v2.fits stis_ngsl_v2 10 8.937 9.18 9.401
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_g187-40_v2.fits stis_ngsl_v2 10 10.73 10.398 10.322
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd019787_v2.fits stis_ngsl_v2 10 4.739 3.975 3.754
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_g231-52_v2.fits stis_ngsl_v2 10 10.661 10.235 10.108
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd141851_v2.fits stis_ngsl_v2 10 5.056 5.18 5.345
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd082734_v2.fits stis_ngsl_v2 10 5.39 4.658 4.458
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd163641_v2.fits stis_ngsl_v2 10 6.147 6.387 6.61
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd176232_v2.fits stis_ngsl_v2 10 6.021 6.064 6.218
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd005256_v2.fits stis_ngsl_v2 10 9.022 8.487 8.332
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd003712_v2.fits stis_ngsl_v2 10 3.088 2.354 2.11
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd101013_v2.fits stis_ngsl_v2 10 6.514 5.772 5.564
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd109387_v2.fits stis_ngsl_v2 10 3.641 3.923 4.138
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd118055_v2.fits stis_ngsl_v2 10 9.438 8.368 7.929
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd194093_v2.fits stis_ngsl_v2 10 2.426 2.039 1.962
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd191277_v2.fits stis_ngsl_v2 10 5.892 4.955 4.658
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd010380_v2.fits stis_ngsl_v2 10 5.024 3.91 3.513
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd034816_v2.fits stis_ngsl_v2 10 4.047 4.562 4.954
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd000319_v2.fits stis_ngsl_v2 10 5.863 6.004 6.162
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd105452_v2.fits stis_ngsl_v2 10 4.045 3.956 4.007
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd111464_v2.fits stis_ngsl_v2 10 7.201 6.03 5.581
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd019656_v2.fits stis_ngsl_v2 10 5.09 4.256 4.014
